timestamp,track,mp3_file
00:00,Nico Moreno & Samuel Moriero - See Me Coming [ALL NIGHT LONG],01. See Me Coming.mp3
03:21,Habstrakt - Tonight (Samplifire Remix / Samuel Moriero Remix) [SELF RELEASED],02. Tonight (Samuel Moriero Remix).mp3
04:50,Samuel Moriero - Watch Out [BOUNCE & BASS],03. WATCH OUT.mp3
05:45,ID - ID,04. ID
07:17,Kendrick Lamar - HUMBLE. (Skrillex Remix / Samuel Moriero Remix) [AFTERMATH (INTERSCOPE)],05. HUMBLE (Samuel Moriero REMIX).mp3
08:48,ID - ID,06. ID
10:36,Samuel Moriero - People Stomping [BOUNCE & BASS],07. People Stomping.mp3
13:30,Malaa & Samuel Moriero - F THE POLICE [BOUNCE & BASS],08. F THE POLICE.mp3
16:47,Garcia Sauvage - Rodeo [ERROR 303],09. Rodeo.mp3
19:07,Dr. Rude - The Sound [DIRTY WORKZ],10. The Sound.mp3
21:01,Samuel Moriero - LIKE ME [BOUNCE & BASS],11. LIKE ME.mp3
24:10,Samuel Moriero - PRESSURE [BOUNCE & BASS],12. PRESSURE.mp3
25:57,Jayron - TURN IT UP! [SELF RELEASED],13. TURN IT UP!.mp3
28:27,Restricted & Nik Sitz - Tunnel Vision (Junkie Kid Remix) [REVIVE],14. Tunnel Vision - Junkie Kid Remix.mp3
30:45,DJSM & Samuel Moriero - Emergency [BOUNCE & BASS],15. EMERGENCY.mp3
32:33,Derb - Derb (Derbus) (ID Remix) [TRACID BETA FILEZ],16. ID
35:09,ID - ID,17. ID
37:57,ECZODIA - Die [SELF RELEASED],18. Die.mp3
40:15,Onlynumbers - Dying For You [SELF RELEASED],19a. Dying For You.mp3
40:15,Samuel Moriero - Call You [BOUNCE & BASS],19b. Call You.mp3
42:21,Vortek's & Samuel Moriero - I Set Fire [SELF RELEASED],20. I SET FIRE.mp3
44:57,Fraw ft. Teal - THE CHRONONAUT [GEARBOX],21. The Chrononaut.mp3
46:39,Manji - GO CRAZY [SELF RELEASED],22. GO CRAZY.mp3
48:14,Samuel Moriero - Bass Kick [REVIVE],23. Bass Kick.mp3
51:15,Samuel Moriero - PUMP THIS BASS [BOUNCE & BASS],24. PUMP THIS BASS.mp3
54:10,Bountyhunter - Woops (Anderex Edit),25. Woops (Anderex Edit).mp3
56:46,Vasto - Explosive [SPOONTECH],26. Explosive.mp3
58:00,Samuel Moriero - Back Now [ETURIA BEAT],27. Back Now.mp3
1:01:24,Samuel Moriero - Fkn Raw [ETRURIA BEAT],28. Fkn Raw.mp3
1:04:15,Dutch Disorder - Heroine (Samuel Moriero Remix) [FREE],29. HEROINE - Samuel Moriero Remix.mp3
1:06:19,Darren Styles & TNT - Hard Beat (Revelation Bootleg),30. Hard Beat (Revelation Bootleg).mp3
1:09:09,DJ Vortex - Fuck U (Kruelty Remix) [HARDFORUM],31. Fuck U 2025 - Kruelty Remix.mp3
1:10:29,Anderex - Gucci Bag (Revelation Live Edit) [GEARBOX],32. GUCCI BAG - Revelation Live Edit.mp3
1:11:47,ECZODIA - ANNIHILATE [RAW],33. ANNIHILATE.mp3
1:14:22,Kruelty & Vieze Asbak - BLOW IT UP [IDENTITY RECORDS],34. BLOW IT UP.mp3
1:15:34,Samuel Moriero & DØMINA - Danger Zone [VERKNIPT],35. DANGER ZONE.mp3
1:15:34,ID - ID,36. ID
1:16:49,Paul Elstak & Ricardo Moreno & Boogshe - ANNIHILATIØN [I LOVE BEATZ],37. Annihilatiøn.mp3
1:19:26,Storah - Gasoline [GEARBOX REVOLUTIONS],38. Gasoline.mp3
1:21:24,MJU ft. Ph4ntam - OVERTHROW [FREE FOR ALL],39. OVERTHROW.mp3
1:22:48,Hardwell & Sub Zero Project ft. Lil Jon - Brace For Impact [REVEALED],40. Brace For Impact.mp3
1:25:01,RÜFÜS DU SOL - Innerbloom (Samuel Moriero Edit),41a. ID
1:25:01,Milleniumkid & JBS - Vielleicht Vielleicht (Acappella) [WARNER MUSIC],41b. Vielleicht Vielleicht.mp3
