SystemMeasureIndex,SystemRowIndex,Left,Top,Height,Width,Image
1,1,114,131,68,88,Wagner_WWV086B_140.png
2,1,202,131,68,187,Wagner_WWV086B_140.png
3,1,390,131,68,189,Wagner_WWV086B_140.png
4,2,57,260,70,189,Wagner_WWV086B_140.png
5,2,247,260,70,167,Wagner_WWV086B_140.png
6,2,415,260,70,163,Wagner_WWV086B_140.png
7,3,55,396,68,196,Wagner_WWV086B_140.png
8,3,253,396,68,171,Wagner_WWV086B_140.png
9,3,425,396,68,153,Wagner_WWV086B_140.png
10,4,56,533,69,189,Wagner_WWV086B_140.png
11,4,246,533,69,163,Wagner_WWV086B_140.png
12,4,410,533,69,167,Wagner_WWV086B_140.png
13,5,54,667,70,192,Wagner_WWV086B_140.png
14,5,247,667,70,163,Wagner_WWV086B_140.png
15,5,410,667,70,166,Wagner_WWV086B_140.png
1,1,41,68,72,190,Wagner_WWV086B_141.png
2,1,232,68,72,163,Wagner_WWV086B_141.png
3,1,396,68,72,166,Wagner_WWV086B_141.png
4,2,42,188,68,191,Wagner_WWV086B_141.png
5,2,234,188,68,164,Wagner_WWV086B_141.png
6,2,399,188,68,162,Wagner_WWV086B_141.png
7,3,42,309,67,183,Wagner_WWV086B_141.png
8,3,226,309,67,166,Wagner_WWV086B_141.png
9,3,394,309,67,167,Wagner_WWV086B_141.png
10,4,42,433,68,190,Wagner_WWV086B_141.png
11,4,233,433,68,164,Wagner_WWV086B_141.png
12,4,397,433,68,163,Wagner_WWV086B_141.png
13,5,42,555,65,187,Wagner_WWV086B_141.png
14,5,230,555,65,159,Wagner_WWV086B_141.png
15,5,390,555,65,171,Wagner_WWV086B_141.png
16,6,42,681,62,190,Wagner_WWV086B_141.png
17,6,233,681,62,162,Wagner_WWV086B_141.png
18,6,396,681,62,165,Wagner_WWV086B_141.png
1,1,47,63,61,193,Wagner_WWV086B_142.png
2,1,241,63,61,161,Wagner_WWV086B_142.png
3,1,403,63,61,168,Wagner_WWV086B_142.png
4,2,50,223,65,196,Wagner_WWV086B_142.png
5,2,247,223,65,160,Wagner_WWV086B_142.png
6,2,408,223,65,162,Wagner_WWV086B_142.png
7,3,50,335,64,192,Wagner_WWV086B_142.png
8,3,243,335,64,163,Wagner_WWV086B_142.png
9,3,407,335,64,163,Wagner_WWV086B_142.png
10,4,50,455,67,186,Wagner_WWV086B_142.png
11,4,238,455,67,161,Wagner_WWV086B_142.png
12,4,400,455,67,168,Wagner_WWV086B_142.png
13,5,47,583,62,181,Wagner_WWV086B_142.png
14,5,229,583,62,150,Wagner_WWV086B_142.png
15,5,380,583,62,188,Wagner_WWV086B_142.png
16,6,49,689,63,206,Wagner_WWV086B_142.png
17,6,256,689,63,157,Wagner_WWV086B_142.png
18,6,414,689,63,154,Wagner_WWV086B_142.png
1,1,26,79,58,217,Wagner_WWV086B_143.png
2,1,244,79,58,165,Wagner_WWV086B_143.png
3,1,410,79,58,137,Wagner_WWV086B_143.png
4,2,27,199,65,137,Wagner_WWV086B_143.png
5,2,165,199,65,105,Wagner_WWV086B_143.png
6,2,272,199,65,103,Wagner_WWV086B_143.png
7,2,376,199,65,171,Wagner_WWV086B_143.png
8,3,27,326,64,198,Wagner_WWV086B_143.png
9,3,226,326,64,176,Wagner_WWV086B_143.png
10,3,404,326,64,143,Wagner_WWV086B_143.png
11,4,27,447,67,202,Wagner_WWV086B_143.png
12,4,230,447,67,158,Wagner_WWV086B_143.png
13,4,389,447,67,158,Wagner_WWV086B_143.png
14,5,28,566,65,198,Wagner_WWV086B_143.png
15,5,228,566,65,159,Wagner_WWV086B_143.png
16,5,388,566,65,159,Wagner_WWV086B_143.png
17,6,28,683,64,200,Wagner_WWV086B_143.png
18,6,229,683,64,160,Wagner_WWV086B_143.png
19,6,390,683,64,157,Wagner_WWV086B_143.png
1,1,44,56,65,202,Wagner_WWV086B_144.png
2,1,247,56,65,143,Wagner_WWV086B_144.png
3,1,391,56,65,178,Wagner_WWV086B_144.png
4,2,44,197,62,208,Wagner_WWV086B_144.png
5,2,253,197,62,150,Wagner_WWV086B_144.png
6,2,404,197,62,164,Wagner_WWV086B_144.png
7,3,45,317,62,190,Wagner_WWV086B_144.png
8,3,237,317,62,152,Wagner_WWV086B_144.png
9,3,390,317,62,151,Wagner_WWV086B_144.png
10,4,43,436,66,147,Wagner_WWV086B_144.png
11,4,191,436,66,119,Wagner_WWV086B_144.png
12,4,311,436,66,132,Wagner_WWV086B_144.png
13,4,445,436,66,122,Wagner_WWV086B_144.png
14,5,43,560,62,139,Wagner_WWV086B_144.png
15,5,183,560,62,124,Wagner_WWV086B_144.png
16,5,308,560,62,119,Wagner_WWV086B_144.png
17,5,428,560,62,138,Wagner_WWV086B_144.png
18,6,45,676,66,154,Wagner_WWV086B_144.png
19,6,201,676,66,128,Wagner_WWV086B_144.png
20,6,330,676,66,125,Wagner_WWV086B_144.png
21,6,456,676,66,110,Wagner_WWV086B_144.png
1,1,45,77,67,137,Wagner_WWV086B_145.png
2,1,183,77,67,115,Wagner_WWV086B_145.png
3,1,299,77,67,137,Wagner_WWV086B_145.png
4,1,436,77,67,129,Wagner_WWV086B_145.png
5,2,45,202,65,128,Wagner_WWV086B_145.png
6,2,175,203,64,110,Wagner_WWV086B_145.png
7,2,287,202,65,155,Wagner_WWV086B_145.png
8,2,443,202,65,122,Wagner_WWV086B_145.png
9,3,45,339,57,194,Wagner_WWV086B_145.png
10,3,239,339,57,162,Wagner_WWV086B_145.png
11,3,403,339,57,162,Wagner_WWV086B_145.png
12,4,42,456,65,193,Wagner_WWV086B_145.png
13,4,236,456,65,163,Wagner_WWV086B_145.png
