mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	3.0	0	0	3/4	5	1	3/4	1/2	3/2		1	43	G2	2	1
1	1	1	1	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		5	59	B3	3	0
1	1	1	1	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		2	62	D4	4	0
1	1	1	1	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		6	66	F#4	4	0
2	2	3	3	3.0	0	0	3/4	5	1	3/4	1/2	3/2		2	38	D2	2	3
2	2	4	4	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		3	57	A3	3	2
2	2	4	4	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		7	61	C#4	4	2
2	2	4	4	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		6	66	F#4	4	2
2	2	5	5	1.0	1/2	1/2	3/4	6	1	1/4	1/4	1		3	57	Crash Cymbal 1		4
3	3	6	6	3.0	0	0	3/4	5	1	3/4	1/2	3/2		1	43	G2	2	6
3	3	7	7	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		5	59	B3	3	5
3	3	7	7	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		2	62	D4	4	5
3	3	7	7	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		6	66	F#4	4	5
4	4	9	9	3.0	0	0	3/4	5	1	3/4	1/2	3/2		2	38	D2	2	8
4	4	10	10	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		3	57	A3	3	7
4	4	10	10	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		7	61	C#4	4	7
4	4	10	10	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		6	66	F#4	4	7
4	4	11	11	1.0	1/2	1/2	3/4	6	1	1/4	1/4	1		3	57	Crash Cymbal 1		9
5	5	12	12	3.0	0	0	3/4	5	1	3/4	1/2	3/2		1	43	G2	2	21
5	5	13	13	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		5	59	B3	3	20
5	5	13	13	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		2	62	D4	4	20
5	5	13	13	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		6	66	F#4	4	18
5	5	13	13	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		6	66	F#4	4	20
5	5	13	13	0.3333333333333333	1/4	1/4	3/4	2	1	1/12	1/8	2/3		6	78	F#5	5	12
5	5	13	13	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		6	78	F#5	5	10
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	3/4	2	1	1/12	1/8	2/3		2	74	D5	5	13
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	3/4	2	1	1/12	1/8	2/3		5	71	B4	4	14
5	5	14	14	0.3333333333333333	1/2	1/2	3/4	2	1	1/12	1/8	2/3		6	66	F#4	4	15
5	5	14	14	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		3	69	A4	4	19
5	5	14	14	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81	A5	5	11
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	3/4	2	1	1/12	1/8	2/3		2	62	D4	4	16
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	3/4	2	1	1/12	1/8	2/3		5	59	B3	3	17
6	6	15	15	3.0	0	0	3/4	5	1	3/4	1/2	3/2		2	38	D2	2	32
6	6	15	15	1.0	0	0	3/4	3	1	1/4	1/4	1		1	67	G4	4	28
6	6	15	15	1.0	0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	22
6	6	16	16	0.3333333333333333	1/4	1/4	3/4	2	1	1/12	1/8	2/3		3	57	A3	3	25
6	6	16	16	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		3	57	A3	3	31
6	6	16	16	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		7	61	C#4	4	31
6	6	16	16	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		6	66	F#4	4	29
6	6	16	16	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		6	66	F#4	4	31
6	6	16	16	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		6	78	F#5	5	23
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	3/4	2	1	1/12	1/8	2/3		7	61	C#4	4	26
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	3/4	2	1	1/12	1/8	2/3		6	66	F#4	4	27
6	6	17	17	1.0	1/2	1/2	3/4	6	1	1/4	1/4	1		3	57	Crash Cymbal 1		33
6	6	17	17	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		7	61	C#4	4	30
6	6	17	17	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	24
7	7	18	18	3.0	0	0	3/4	5	1	3/4	1/2	3/2		1	43	G2	2	47
7	7	18	18	1.0	0	0	3/4	3	1	1/4	1/4	1		5	59	B3	3	43
