LABEL,TIME
0+0/1,0.218
1+0/1,0.797
1+1/4,1.514
1+3/8,1.894
2+0/1,2.268
2+1/8,2.630
2+1/4,3.012
3+0/1,3.741
3+1/8,4.090
3+1/4,4.423
3+3/8,4.768
4+0/1,5.132
4+1/8,5.463
4+1/4,5.823
4+3/8,6.215
5+0/1,6.717
5+1/8,7.217
5+1/4,7.570
5+3/8,7.935
6+0/1,8.308
6+1/8,8.657
6+1/4,9.004
6+3/8,9.414
7+0/1,9.845
7+1/8,10.248
7+1/4,10.643
7+3/8,11.068
8+0/1,11.591
8+1/8,12.113
8+1/4,12.726
8+3/8,13.587
9+0/1,14.362
9+1/8,14.796
9+1/4,15.180
9+3/8,15.570
10+0/1,16.039
10+1/4,16.748
10+3/8,17.097
11+0/1,17.488
11+1/8,17.823
11+1/4,18.166
11+3/8,18.525
12+0/1,19.001
12+1/4,19.872
12+3/8,20.231
13+0/1,20.632
13+1/4,21.382
14+0/1,22.144
14+1/4,22.972
14+3/8,23.470
15+0/1,23.858
15+1/8,24.282
15+1/4,24.728
15+3/8,25.250
16+0/1,25.747
16+1/8,26.373
16+1/4,27.000
16+3/8,27.974
17+0/1,28.500
17+1/8,28.925
17+1/4,29.332
17+3/8,29.835
18+0/1,30.429
18+1/4,31.642
18+3/8,32.444
19+0/1,32.898
19+1/8,33.303
19+1/4,33.697
19+3/8,34.150
20+0/1,34.718
20+1/4,35.995
20+3/8,37.425
21+0/1,38.183
21+1/4,39.281
21+3/8,39.911
22+0/1,40.434
22+1/4,41.627
22+3/8,42.636
23+0/1,43.290
23+1/4,44.558
24+0/1,46.133
24+1/8,47.005
24+1/4,47.511
24+3/8,47.960
25+0/1,48.375
25+1/8,48.795
25+1/4,49.197
25+3/8,49.718
26+0/1,50.349
26+1/4,51.471
26+3/8,52.299
27+0/1,52.765
27+1/8,53.185
27+1/4,53.633
27+3/8,54.169
28+0/1,54.920
28+1/4,56.397
28+3/8,58.566
29+0/1,59.305
29+1/4,60.316
29+3/8,60.897
30+0/1,61.519
30+1/4,62.864
30+3/8,64.147
31+0/1,64.880
31+1/4,66.554
32+0/1,67.549
32+3/8,69.043
32+49/128,69.074
32+25/64,69.105
32+51/128,69.137
32+13/32,69.168
32+53/128,69.158
32+27/64,69.148
32+55/128,69.138
32+7/16,69.128
32+57/128,69.118
32+29/64,69.108
32+59/128,69.098
32+15/32,69.089
32+61/128,69.079
32+31/64,69.069
32+63/128,69.059
