onset_sec,duration_sec,pitch,velocity,track,channel,id
0.21822916,1.6760417,63,33,0,0,n0
0.77760416,2.4875,75,55,0,0,n1
0.815625,2.449479,66,38,0,0,n2
1.5140625,1.7510417,65,46,0,0,n3
1.8942708,1.3708333,63,54,0,0,n4
2.2546875,1.0104166,82,70,0,0,n5
2.281771,0.98333335,62,44,0,0,n6
2.6296875,0.6354167,59,44,0,0,n7
3.011979,1.4114584,58,47,0,0,n8
3.7203126,1.5619792,70,60,0,0,n9
3.746875,0.83958334,62,40,0,0,n10
3.7546875,0.83177084,65,36,0,0,n11
4.090104,0.49635416,59,47,0,0,n12
4.4234376,0.48802084,58,51,0,0,n13
4.768229,0.44635418,56,50,0,0,n14
5.103125,1.5791667,75,59,0,0,n15
5.138021,1.0739583,63,32,0,0,n16
5.139583,1.0723958,66,46,0,0,n17
5.146354,0.15833333,54,36,0,0,n18
5.463021,0.74895835,53,40,0,0,n19
5.8234377,0.40989584,51,47,0,0,n20
6.2145834,1.4348959,49,39,0,0,n21
6.6822915,0.9671875,75,64,0,0,n22
6.716146,0.93333334,47,44,0,0,n23
6.7239585,0.92552084,63,40,0,0,n24
6.746354,0.83489585,54,31,0,0,n25
7.2171874,0.50208336,66,46,0,0,n26
7.5390625,0.87604165,74,69,0,0,n27
7.575521,0.83958334,46,34,0,0,n28
7.575521,0.83958334,62,42,0,0,n29
7.5776043,0.8375,58,31,0,0,n30
7.58125,0.74010414,54,33,0,0,n31
7.934896,0.48020834,66,53,0,0,n32
8.272396,1.1114583,75,77,0,0,n33
8.305208,0.43697917,63,49,0,0,n34
8.319271,1.1192708,59,44,0,0,n35
8.320833,2.7229166,47,46,0,0,n36
8.321354,1.1864583,54,40,0,0,n37
8.656771,0.7817708,66,63,0,0,n38
9.004167,0.434375,71,66,0,0,n39
9.383854,0.5171875,75,76,0,0,n40
9.421875,0.47916666,69,39,0,0,n41
9.435938,0.53541666,57,39,0,0,n42
9.811459,0.5083333,76,75,0,0,n43
9.85,0.40677083,68,61,0,0,n44
9.873959,0.44583333,56,42,0,0,n45
10.235937,0.8078125,74,70,0,0,n46
10.251562,0.7921875,53,40,0,0,n47
10.256771,0.78697914,68,58,0,0,n48
10.6223955,0.46197918,75,69,0,0,n49
10.642187,0.4015625,69,48,0,0,n50
10.665104,1.0484375,54,37,0,0,n51
11.046875,0.62083334,69,46,0,0,n52
11.068229,0.134375,47,21,0,0,n53
11.069792,0.6197917,66,40,0,0,n54
11.0875,0.6020833,51,28,0,0,n55
11.567187,0.7036458,70,61,0,0,n56
11.615104,2.003646,46,36,0,0,n57
12.092709,0.6901042,66,47,0,0,n58
12.114062,0.71458334,54,33,0,0,n59
12.131771,0.60625,63,27,0,0,n60
12.717188,0.9015625,65,33,0,0,n61
12.719791,0.8989583,62,33,0,0,n62
12.740104,0.846875,58,25,0,0,n63
13.586979,0.74427086,58,31,0,0,n64
14.33125,1.7015625,58,41,0,0,n65
14.376562,1.9578125,39,33,0,0,n66
14.3776045,1.6552083,54,23,0,0,n67
14.796354,1.2364583,66,51,0,0,n68
15.1796875,0.853125,65,54,0,0,n69
15.569792,0.43645832,63,60,0,0,n70
16.00625,0.8390625,63,58,0,0,n71
16.034374,1.5078125,58,29,0,0,n72
16.040625,1.4578125,46,34,0,0,n73
16.076563,1.465625,53,19,0,0,n74
16.748438,0.7505208,62,56,0,0,n75
17.096874,0.4453125,63,62,0,0,n76
17.466667,0.40052083,65,62,0,0,n77
17.496876,1.6927084,34,42,0,0,n78
17.498438,1.66875,46,37,0,0,n79
17.498959,0.44010416,62,48,0,0,n80
17.822916,0.41666666,66,67,0,0,n81
18.166145,0.41979167,68,66,0,0,n82
18.525,0.57395834,70,63,0,0,n83
18.98802,1.1302084,68,55,0,0,n84
18.990105,1.3375,63,39,0,0,n85
19.025,1.0932292,39,35,0,0,n86
19.871876,0.43229166,66,51,0,0,n87
20.23125,0.56354165,68,64,0,0,n88
20.622917,0.74427086,70,70,0,0,n89
20.632812,0.903125,51,50,0,0,n90
20.634895,0.8072917,63,48,0,0,n91
20.638021,0.8041667,66,52,0,0,n92
21.367188,0.7572917,70,76,0,0,n93
21.378124,0.82916665,68,66,0,0,n94
21.389063,0.84375,50,54,0,0,n95
21.393229,0.8140625,65,52,0,0,n96
22.12448,1.3854166,70,77,0,0,n97
22.146355,1.3322917,51,51,0,0,n98
22.147396,1.3234375,66,58,0,0,n99
22.158854,1.3510417,63,50,0,0,n100
22.972395,0.5375,71,76,0,0,n101
23.44323,0.6723958,69,68,0,0,n102
23.470833,0.64479166,66,54,0,0,n103
23.478645,0.63697916,51,42,0,0,n104
23.48802,0.6276042,59,40,0,0,n105
23.853125,0.53541666,68,65,0,0,n106
23.85573,0.44270834,64,52,0,0,n107
23.864063,0.43385416,52,42,0,0,n108
24.271355,0.49375,65,62,0,0,n109
24.28177,0.5052083,50,40,0,0,n110
24.29323,0.4703125,58,35,0,0,n111
24.7,0.54895836,63,56,0,0,n112
24.721354,0.57447916,57,26,0,0,n113
24.756771,0.6354167,51,35,0,0,n114
25.228645,1.8328125,66,58,0,0,n115
25.248959,1.8125,63,42,0,0,n116
25.254168,0.97291666,60,33,0,0,n117
25.269793,0.584375,45,31,0,0,n118
25.746876,1.6364583,46,39,0,0,n119
26.25573,0.8515625,57,39,0,0,n120
26.9875,1.0265625,65,42,0,0,n121
26.998959,0.9927083,62,38,0,0,n122
27.013021,1.0005208,58,25,0,0,n123
27.97448,0.6223958,51,43,0,0,n124
28.5,0.5359375,50,52,0,0,n125
28.925,0.5083333,51,60,0,0,n126
29.33177,1.2557292,53,62,0,0,n127
29.817709,2.6572917,68,67,0,0,n128
29.832813,2.0359375,65,56,0,0,n129
29.841667,1.8177084,59,48,0,0,n130
29.846354,1.8359375,51,42,0,0,n131
30.428646,1.4630208,46,40,0,0,n132
31.631771,0.8432292,58,33,0,0,n133
31.651562,0.8234375,50,30,0,0,n134
32.44375,0.540625,63,55,0,0,n135
32.897915,0.4984375,62,69,0,0,n136
33.303123,0.4703125,63,72,0,0,n137
33.696877,0.61041665,65,74,0,0,n138
34.139584,3.3953125,80,81,0,0,n139
34.14948,2.1078124,77,69,0,0,n140
34.151043,1.8973958,71,64,0,0,n141
34.16094,1.8848958,63,51,0,0,n142
34.718227,2.6859374,58,50,0,0,n143
35.982292,1.5526042,70,39,0,0,n144
36.007812,1.5270833,62,40,0,0,n145
37.404167,2.7083333,58,39,0,0,n146
37.433334,2.6546874,54,28,0,0,n147
37.43646,2.5625,51,28,0,0,n148
38.183334,0.209375,30,36,0,0,n149
39.280727,0.7182292,63,49,0,0,n150
39.88646,2.921354,71,64,0,0,n151
39.91771,2.890104,68,48,0,0,n152
39.93021,2.8776042,64,38,0,0,n153
40.43021,0.19635417,59,41,0,0,n154
40.436977,0.16145833,56,38,0,0,n155
41.626564,1.18125,76,40,0,0,n156
42.6125,2.0734375,63,51,0,0,n157
42.646873,2.0364583,60,36,0,0,n158
42.647915,2.0354166,54,29,0,0,n159
43.290104,0.32447916,45,50,0,0,n160
44.540627,1.6546875,62,62,0,0,n161
44.552082,1.5802083,58,40,0,0,n162
44.56823,1.6270833,53,35,0,0,n163
44.56979,1.6255208,46,38,0,0,n164
46.102085,1.4416667,63,41,0,0,n165
46.13229,1.4114584,58,33,0,0,n166
46.146873,1.396875,39,28,0,0,n167
46.15,1.39375,54,23,0,0,n168
47.005207,0.72291666,66,58,0,0,n169
47.51146,0.6557292,65,58,0,0,n170
47.94427,0.5494792,63,62,0,0,n171
47.976562,0.51979166,51,29,0,0,n172
48.369793,0.5677083,62,67,0,0,n173
48.380207,0.6,53,30,0,0,n174
48.777084,0.52760416,63,67,0,0,n175
48.813023,0.44947916,51,40,0,0,n176
49.188023,0.67760414,65,67,0,0,n177
49.20677,0.63385415,50,40,0,0,n178
49.695312,2.6541667,71,67,0,0,n179
49.70677,0.85572916,68,62,0,0,n180
49.728645,0.78541666,63,42,0,0,n181
49.742188,0.7729167,51,44,0,0,n182
50.335415,2.0140624,62,51,0,0,n183
50.354687,1.9947916,53,28,0,0,n184
50.358334,1.9911458,46,36,0,0,n185
51.471355,0.878125,70,44,0,0,n186
52.26302,0.5984375,75,62,0,0,n187
52.316666,0.56666666,63,39,0,0,n188
52.31719,0.5442708,66,38,0,0,n189
52.746876,0.57916665,74,71,0,0,n190
52.772915,0.528125,68,44,0,0,n191
52.775,0.409375,65,42,0,0,n192
53.169792,0.54895836,75,75,0,0,n193
53.177082,0.4484375,63,40,0,0,n194
53.20677,0.53489584,66,47,0,0,n195
53.61927,0.7239583,77,78,0,0,n196
53.633854,0.5494792,62,43,0,0,n197
53.646873,0.5359375,65,43,0,0,n198
54.151043,2.5411458,83,76,0,0,n199
54.165104,0.9921875,75,64,0,0,n200
54.178123,0.9791667,63,42,0,0,n201
54.182293,0.975,66,40,0,0,n202
54.87604,3.3203125,74,53,0,0,n203
54.908855,3.2875,58,36,0,0,n204
54.945312,3.2510417,68,35,0,0,n205
54.95,3.246354,65,28,0,0,n206
56.396873,1.7994791,82,42,0,0,n207
58.547398,2.488021,70,44,0,0,n208
58.57396,2.4614584,66,35,0,0,n209
58.578125,2.4572916,63,25,0,0,n210
59.291668,1.74375,42,30,0,0,n211
59.31823,1.7171875,54,19,0,0,n212
60.316147,0.7192708,75,54,0,0,n213
60.879166,3.500521,83,69,0,0,n214
60.90156,3.478125,80,58,0,0,n215
60.911457,3.468229,76,46,0,0,n216
61.51406,2.865625,71,36,0,0,n217
61.52396,2.855729,68,50,0,0,n218
62.86354,1.5161458,88,51,0,0,n219
64.12813,2.594271,63,55,0,0,n220
64.14792,2.574479,60,39,0,0,n221
64.166145,2.55625,54,31,0,0,n222
64.88021,0.3296875,45,40,0,0,n223
66.53385,2.9052083,62,50,0,0,n224
66.53906,2.628646,58,35,0,0,n225
66.552605,2.8864584,53,26,0,0,n226
