idx,matchtype,partid,ppartid
0,0,ngx1f26,n149
1,0,nne21f7,n78
2,0,nycny6q,n66
3,0,n5dzn4x,n86
4,0,nbhbsvs,n167
5,0,n15sqsrm,n211
6,0,n3k1x9c,n118
7,0,ncgjw5z,n160
8,0,n10b8oen,n223
9,0,nwwcg6d,n28
10,0,nzb0w7v,n57
11,0,nqroevn,n73
12,0,ns7ef1z,n119
13,0,n3s1yxj,n132
14,0,ng6hp7e,n164
15,0,n112tcfk,n185
16,0,n1x662om,n227
17,0,n1gp8dny,n23
18,0,n19gnecy,n36
19,0,n1do2vxt,n53
20,0,n1q8opyy,n21
21,0,nbtjp6t,n95
22,0,nhp3q9n,n110
23,0,ny91d4k,n125
24,0,n1wlzdyp,n134
25,0,n19casdx,n178
26,0,n1w2yvlc,n20
27,0,n10z6tup,n55
28,0,n190ip5i,n90
29,0,n132vlyg,n98
30,0,nlho7xd,n104
31,0,n1k9w891,n114
32,0,n1vm6u8k,n124
33,0,n2fhybt,n126
34,0,n1ajn7jo,n131
35,0,n1j9f65q,n148
36,0,n10wqvpp,n172
37,0,n16yhsuy,n176
38,0,n1sng5up,n182
39,0,n18szrpt,n108
40,0,ndw96g6,n19
41,0,n19fuh32,n47
42,0,n1oox58n,n74
43,0,nams049,n127
44,0,n1khq61u,n163
45,0,n1n9ko7n,n174
46,0,n18mg1et,n184
47,0,n9egt9e,n226
48,0,n20qfko,n18
49,0,n1c77x0z,n25
50,0,n1nwaf9o,n31
51,0,n1xbjkbv,n37
52,0,n1phrkel,n51
53,0,n1h3uo6,n59
54,0,nhouoos,n67
55,0,n13qay7n,n147
56,0,ns0p1it,n159
57,0,nc5l9l6,n168
58,0,n6ol2v6,n212
59,0,nmbgzgj,n222
60,0,n1d3wph6,n14
61,0,n1uct3s1,n45
62,0,nbeyber,n155
63,0,nxoodw5,n42
64,0,n1ftb3dd,n8
65,0,n1ucgq9x,n13
66,0,n1y9wlwc,n30
67,0,nvmypsu,n63
68,0,n1q76nu4,n64
69,0,n1qocvw7,n65
70,0,nkpubf4,n72
71,0,n13lhfpu,n111
72,0,n186unn2,n123
73,0,n1o0zlvb,n133
74,0,n104qhxz,n143
75,0,nkl7ze9,n146
76,0,n100gd98,n162
77,0,nwaf9g4,n166
78,0,n9pvokp,n204
79,0,nommt0c,n225
80,0,n1erapwz,n230
81,0,noxt7zz,n7
82,0,n12wrtim,n12
83,0,nu59lmr,n35
84,0,nds4xgz,n105
85,0,n1h7e2vk,n130
86,0,n1y3yzsw,n154
87,0,n1ihpbnr,n117
88,0,nf0fxk3,n158
89,0,nrevevk,n221
90,0,nskncbk,n6
91,0,n1hksdx3,n10
92,0,n1gnrdu7,n29
93,0,n9iz6rl,n62
94,0,n1yihe3,n75
95,0,neq0sbq,n80
96,0,ndgxzpg,n122
97,0,n1k0p70e,n136
98,0,n13wljik,n145
99,0,ngevg3i,n161
100,0,n1f05kf0,n173
101,0,n1tcy8b,n183
102,0,n1cbtxzq,n197
103,0,nk3zkrg,n224
104,0,nwqgcz5,n0
105,0,nz2irm6,n4
106,0,njjz3m5,n16
107,0,nel2rvm,n24
108,0,n1l21wtc,n34
109,0,n1svwcfz,n60
110,0,nzteqca,n70
111,0,njkbnxs,n71
112,0,n1259fby,n76
113,0,n3ppc2s,n85
114,0,n1yriiba,n91
115,0,n6wsszs,n100
116,0,n1ohsbag,n112
117,0,n1pepyvq,n116
118,0,n70g25x,n135
119,0,n11rggv8,n137
120,0,n4d775a,n142
121,0,nehqrnf,n150
122,0,ndmiq9p,n157
123,0,n8jghwt,n165
124,0,n1itvxhj,n171
125,0,n12vifp0,n175
126,0,nilcimv,n181
127,0,n12n7xas,n188
128,0,n1vtwu4u,n194
129,0,nc3tk7n,n201
130,0,n19daiw1,n210
131,0,n1lcuzj,n220
132,0,nb1w2y6,n228
133,0,n1xyivg6,n107
134,0,n1q8q723,n153
135,0,n1axox90,n3
136,0,n1vnikpu,n11
137,0,n1jlld6s,n61
138,0,n1c226x5,n69
139,0,ndwo28y,n77
140,0,ncv4r2h,n96
141,0,net67sr,n109
142,0,ni47acm,n121
143,0,n1td6vii,n129
144,0,nkpr3xp,n138
145,0,n1m7wnc8,n170
146,0,nky5k6q,n177
147,0,n1h378am,n192
148,0,noxyeix,n198
149,0,n1wcys64,n206
150,0,niis0bt,n2
151,0,nx0xxp3,n17
152,0,n1ua7khd,n26
153,0,n1uynip8,n32
154,0,nwc30jq,n38
155,0,n1xu9t7k,n54
156,0,n1gkxnqh,n58
157,0,nkm8rgd,n68
158,0,n1u3y7g9,n81
159,0,ntveext,n87
160,0,nozi4wb,n92
161,0,narerll,n99
162,0,n1jxawt5,n103
163,0,n132s741,n115
164,0,n1ndomom,n169
165,0,n1yn1nc9,n189
166,0,n1gyf11x,n195
167,0,nozf56n,n202
168,0,n1o6r8e6,n209
169,0,n1keu81w,n44
170,0,n1ocxnav,n48
171,0,n3zp936,n82
172,0,n14lg6kg,n84
173,0,ndgv6pw,n88
174,0,n7j0ws0,n94
175,0,nqioh0d,n106
176,0,nelpv1u,n128
177,0,n1vyz994,n152
178,0,n10ba369,n180
179,0,n1iba4d5,n191
180,0,nlj3n87,n205
181,0,n1hs0mq0,n218
182,0,najplea,n41
