LABEL,TIME
0+0/1,0.336
1+0/1,1.521
1+1/4,3.232
1+3/8,3.778
2+0/1,4.297
2+1/8,4.803
2+1/4,5.427
3+0/1,7.586
3+1/8,8.231
3+1/4,8.783
3+3/8,9.292
4+0/1,9.873
4+1/8,10.452
4+1/4,11.064
4+3/8,11.736
5+0/1,12.547
5+1/8,13.367
5+1/4,13.966
5+3/8,14.501
6+0/1,15.074
6+1/8,15.623
6+1/4,16.286
6+3/8,17.009
7+0/1,17.651
7+1/8,18.205
7+1/4,18.859
7+3/8,19.598
8+0/1,20.270
8+1/8,21.030
8+1/4,22.095
8+3/8,23.747
9+0/1,24.677
9+1/8,25.322
9+1/4,25.909
9+3/8,26.497
10+0/1,27.208
10+1/4,28.970
10+3/8,29.827
11+0/1,30.486
11+1/8,31.085
11+1/4,31.687
11+3/8,32.309
12+0/1,33.067
12+1/4,34.983
12+3/8,35.817
13+0/1,36.498
13+1/4,37.748
14+0/1,39.105
14+1/4,40.806
14+3/8,41.649
15+0/1,42.274
15+1/8,42.810
15+1/4,43.423
15+3/8,44.261
16+0/1,44.945
16+1/8,45.728
16+1/4,46.763
16+3/8,47.814
17+0/1,48.478
17+1/8,49.078
17+1/4,49.709
17+3/8,50.422
18+0/1,51.280
18+1/4,53.584
18+3/8,54.478
19+0/1,55.118
19+1/8,55.701
19+1/4,56.319
19+3/8,57.128
20+0/1,58.080
20+1/4,60.567
20+3/8,62.265
21+0/1,63.105
21+1/4,65.866
21+3/8,66.765
22+0/1,67.531
22+1/4,70.142
22+3/8,71.077
23+0/1,71.768
23+1/4,73.779
24+0/1,76.742
24+1/8,77.632
24+1/4,78.241
24+3/8,78.794
25+0/1,79.380
25+1/8,79.941
25+1/4,80.588
25+3/8,81.291
26+0/1,82.162
26+1/4,84.235
26+3/8,85.202
27+0/1,85.879
27+1/8,86.554
27+1/4,87.284
27+3/8,88.156
28+0/1,89.279
28+1/4,91.916
28+3/8,92.918
29+0/1,93.939
29+1/4,96.114
29+3/8,96.865
30+0/1,97.855
30+1/4,100.455
30+3/8,101.670
31+0/1,102.776
31+1/4,105.210
32+0/1,110.195
32+3/8,116.846
32+49/128,117.799
32+25/64,118.197
32+51/128,118.474
32+13/32,118.682
32+53/128,118.881
32+27/64,119.056
32+55/128,119.225
32+7/16,119.413
32+57/128,119.595
32+29/64,119.809
32+59/128,120.039
32+15/32,120.315
32+61/128,120.609
32+31/64,120.920
32+63/128,121.333
