idx,matchtype,partid,ppartid
0,0,ngx1f26,n156
1,0,nne21f7,n83
2,0,nycny6q,n69
3,0,n5dzn4x,n90
4,0,nbhbsvs,n173
5,0,n9f43h8,n236
6,0,n14ahlx1,n155
7,0,n15sqsrm,n218
8,0,n3k1x9c,n119
9,0,ncgjw5z,n167
10,0,n10b8oen,n229
11,0,nwwcg6d,n31
12,0,nzb0w7v,n59
13,0,nqroevn,n76
14,0,ns7ef1z,n123
15,0,n3s1yxj,n136
16,0,ng6hp7e,n171
17,0,n112tcfk,n190
18,0,n1x662om,n232
19,0,n1gp8dny,n25
20,0,n19gnecy,n38
21,0,n1do2vxt,n57
22,0,n1q8opyy,n22
23,0,nbtjp6t,n101
24,0,nhp3q9n,n114
25,0,ny91d4k,n129
26,0,n1wlzdyp,n137
27,0,n19casdx,n183
28,0,n1w2yvlc,n21
29,0,n10z6tup,n55
30,0,n190ip5i,n97
31,0,n132vlyg,n104
32,0,nlho7xd,n108
33,0,n1k9w891,n117
34,0,n1vm6u8k,n128
35,0,n2fhybt,n130
36,0,n1ajn7jo,n135
37,0,n1j9f65q,n152
38,0,n10wqvpp,n178
39,0,n16yhsuy,n181
40,0,n1sng5up,n188
41,0,n18szrpt,n112
42,0,ndw96g6,n20
43,0,n19fuh32,n50
44,0,n1oox58n,n75
45,0,nams049,n131
46,0,n1khq61u,n169
47,0,n1n9ko7n,n180
48,0,n18mg1et,n189
49,0,n9egt9e,n231
50,0,n20qfko,n19
51,0,n1c77x0z,n26
52,0,n1nwaf9o,n33
53,0,n1xbjkbv,n39
54,0,n1phrkel,n53
55,0,n1h3uo6,n62
56,0,nhouoos,n68
57,0,n13qay7n,n153
58,0,ns0p1it,n165
59,0,nc5l9l6,n174
60,0,nmbgzgj,n228
61,0,n13panho,n235
62,0,n1d3wph6,n15
63,0,n1uct3s1,n47
64,0,nbeyber,n162
65,0,nxoodw5,n44
66,0,ncwb9kp,n124
67,0,n1gfvle3,n240
68,0,n1ftb3dd,n8
69,0,n1ucgq9x,n14
70,0,n1y9wlwc,n32
71,0,nvmypsu,n65
72,0,n1q76nu4,n66
73,0,n1qocvw7,n67
74,0,nkpubf4,n73
75,0,n1yjazov,n82
76,0,nhyvkfm,n88
77,0,n13lhfpu,n115
78,0,n186unn2,n127
79,0,n1o0zlvb,n138
80,0,n104qhxz,n147
81,0,nkl7ze9,n151
82,0,n100gd98,n170
83,0,n9pvokp,n212
84,0,nok2y38,n234
85,0,nlepmip,n237
86,0,n7fzt0g,n239
87,0,n1erapwz,n241
88,0,noxt7zz,n7
89,0,n12wrtim,n13
90,0,n140af6o,n27
91,0,nu59lmr,n37
92,0,nds4xgz,n109
93,0,n1h7e2vk,n134
94,0,n1y3yzsw,n161
95,0,n1st1xqg,n238
96,0,n1ihpbnr,n121
97,0,nf0fxk3,n166
98,0,nrevevk,n227
99,0,nmxyto5,n242
100,0,nskncbk,n6
101,0,n1hksdx3,n11
102,0,n1gnrdu7,n30
103,0,n9iz6rl,n64
104,0,n1yihe3,n78
105,0,neq0sbq,n81
106,0,ndgxzpg,n126
107,0,n1k0p70e,n140
108,0,n13wljik,n150
109,0,ngevg3i,n168
110,0,n1f05kf0,n179
111,0,n1tcy8b,n191
112,0,n1cbtxzq,n204
113,0,nk3zkrg,n230
114,0,n6s0wyy,n243
115,0,nwqgcz5,n0
116,0,nz2irm6,n4
117,0,njjz3m5,n17
118,0,nel2rvm,n24
119,0,n1l21wtc,n35
120,0,n1svwcfz,n61
121,0,nzteqca,n72
122,0,njkbnxs,n74
123,0,n1259fby,n79
124,0,n3ppc2s,n89
125,0,n1yriiba,n96
126,0,n6wsszs,n105
127,0,n1ohsbag,n118
128,0,n1pepyvq,n122
129,0,n70g25x,n139
130,0,n11rggv8,n141
131,0,n4d775a,n146
132,0,nehqrnf,n157
133,0,ndmiq9p,n164
134,0,n8jghwt,n172
135,0,n1itvxhj,n177
136,0,n12vifp0,n182
137,0,nilcimv,n187
138,0,n12n7xas,n195
139,0,n1vtwu4u,n201
140,0,nc3tk7n,n208
141,0,n19daiw1,n216
142,0,n1lcuzj,n226
143,0,n1vstb1b,n233
144,0,nb1w2y6,n244
145,0,n1xyivg6,n113
146,0,n1q8q723,n160
147,0,n1axox90,n3
148,0,n1vnikpu,n10
149,0,n1jlld6s,n63
150,0,n1c226x5,n71
151,0,ndwo28y,n80
152,0,ncv4r2h,n99
153,0,net67sr,n116
154,0,ni47acm,n125
155,0,n1td6vii,n133
156,0,nkpr3xp,n142
157,0,n1m7wnc8,n176
158,0,nky5k6q,n184
159,0,n1h378am,n197
160,0,noxyeix,n203
161,0,n1wcys64,n211
162,0,n1ksebqf,n245
163,0,niis0bt,n2
164,0,nx0xxp3,n18
165,0,n1ua7khd,n28
166,0,n1uynip8,n34
167,0,nwc30jq,n40
168,0,n1xu9t7k,n56
169,0,n1gkxnqh,n60
170,0,nkm8rgd,n70
171,0,n1u3y7g9,n84
172,0,ntveext,n91
173,0,nozi4wb,n95
174,0,narerll,n103
175,0,n1jxawt5,n110
176,0,n132s741,n120
177,0,n1ndomom,n175
178,0,n1yn1nc9,n194
179,0,n1gyf11x,n200
180,0,nozf56n,n206
181,0,n1o6r8e6,n215
182,0,nbkyjw0,n246
183,0,n1keu81w,n46
184,0,n1ocxnav,n49
185,0,n3zp936,n85
186,0,n14lg6kg,n87
187,0,ndgv6pw,n93
188,0,n7j0ws0,n100
189,0,nqioh0d,n111
190,0,nelpv1u,n132
191,0,n1vyz994,n159
192,0,n10ba369,n186
193,0,n1iba4d5,n198
194,0,nlj3n87,n210
195,0,n1hs0mq0,n224
196,0,n12mm9l0,n247
197,0,najplea,n43
198,0,n1ck28h5,n52
199,0,n1xznt0r,n54
200,0,nw3u4pq,n107
201,0,n5hfy1h,n9
202,0,n1ba5m93,n58
203,0,n12qmk7l,n86
204,0,n3zn1ve,n94
205,0,nboqhl3,n98
206,0,n1hur6tp,n102
207,0,nmcg7xk,n149
208,0,n6v5hvi,n192
209,0,n1985uyk,n214
210,0,n4f3lsb,n248
211,0,n1x5o87d,n41
212,0,nja5e1o,n106
213,0,n1hyp9w4,n144
214,0,n1pq70ko,n158
215,0,nfw7l20,n185
216,0,n9fu7o8,n223
217,0,n4qfwbf,n249
218,0,n1ax8csr,n29
219,0,nm687d8,n48
220,0,n19jj02v,n196
221,0,n15rvhyc,n209
222,0,n197fke7,n250
223,0,nbwxzb1,n1
224,0,nzrha46,n16
225,0,ndpbkgz,n23
226,0,n1vz4o6x,n36
227,0,n1rdgjkk,n42
228,0,n13giu59,n51
229,0,necxfso,n193
230,0,n18e52v1,n199
231,0,nzgt9e6,n207
232,0,njd0vb2,n219
233,0,n1scanvd,n251
234,0,nt1lpnt,n45
235,0,n1vnc8n9,n163
236,0,nhso13h,n222
237,0,n1p7dhwf,n145
238,0,nhiryu2,n202
239,0,nhwyey3,n252
240,0,n14932a4,n143
241,0,nog1322,n221
242,0,n63xubs,n5
243,0,n1781bp8,n213
244,0,n1dsxcj3,n205
245,0,n170zupd,n220
246,0,nv8x4g3,n225
247,1,nj5htqb,undefined
248,1,nwaf9g4,undefined
249,1,n6ol2v6,undefined
250,1,nommt0c,undefined
251,2,undefined,n12
252,2,undefined,n77
253,2,undefined,n92
254,2,undefined,n148
255,2,undefined,n154
256,2,undefined,n217
