onset_sec,duration_sec,pitch,velocity,track,channel,id
0.3359375,3.4421875,63,33,0,0,n0
1.5052084,3.0104167,75,51,0,0,n1
1.5369792,2.95625,66,36,0,0,n2
3.2322917,1.2609375,65,36,0,0,n3
3.778125,0.71510416,63,59,0,0,n4
4.291146,3.4984374,82,72,0,0,n5
4.3020835,0.65520835,62,60,0,0,n6
4.803125,0.80364585,59,62,0,0,n7
5.4265623,2.3864584,58,53,0,0,n8
7.561458,2.4328125,70,58,0,0,n9
7.583854,2.3666666,65,28,0,0,n10
7.6114583,0.07604167,62,45,0,0,n11
7.6875,2.2630208,62,3,0,0,n12
8.23125,0.6510417,59,62,0,0,n13
8.782812,1.1677083,58,74,0,0,n14
9.291667,0.6588542,56,79,0,0,n15
9.859375,2.6614583,75,62,0,0,n16
9.875,2.66875,63,48,0,0,n17
9.875521,2.8135417,66,44,0,0,n18
9.882292,0.6713542,54,54,0,0,n19
10.452084,0.70625,53,48,0,0,n20
11.063541,0.7203125,51,49,0,0,n21
11.736459,0.9526042,49,46,0,0,n22
12.520833,1.5609375,75,64,0,0,n23
12.54375,1.5380208,63,47,0,0,n24
12.547916,1.534375,47,37,0,0,n25
12.553646,1.4192709,54,36,0,0,n26
12.56875,1.5130209,59,36,0,0,n27
13.3671875,0.71458334,66,53,0,0,n28
13.959896,1.3760417,74,72,0,0,n29
13.965104,1.3708333,62,69,0,0,n30
13.9661455,1.3697916,46,50,0,0,n31
13.968229,1.3677083,58,47,0,0,n32
13.972917,1.1109375,54,51,0,0,n33
14.500521,0.8354167,66,78,0,0,n34
15.053646,0.6067708,63,75,0,0,n35
15.076041,1.9296875,75,72,0,0,n36
15.077084,4.601042,59,56,0,0,n37
15.078125,4.5291667,47,50,0,0,n38
15.083854,2.0411458,54,54,0,0,n39
15.622916,0.6901042,66,66,0,0,n40
16.286459,0.81354165,71,64,0,0,n41
17.00573,0.6765625,75,71,0,0,n42
17.006771,0.67552084,69,59,0,0,n43
