onset_sec,duration_sec,pitch,velocity,track,channel,id
0.31822917,0.55260414,63,36,0,0,n0
0.79270834,1.7973958,75,59,0,0,n1
0.81927085,1.165625,66,39,0,0,n2
1.7682291,0.44635418,65,50,0,0,n3
2.1515625,0.43229166,63,54,0,0,n4
2.559375,2.093229,82,66,0,0,n5
2.566146,0.48489583,62,52,0,0,n6
2.9755208,0.49375,59,43,0,0,n7
3.4541667,1.4796875,58,40,0,0,n8
4.5140624,2.718229,70,50,0,0,n9
4.519271,1.1348958,65,36,0,0,n10
4.5223956,1.1776042,62,36,0,0,n11
4.9333334,0.4640625,59,52,0,0,n12
5.311458,0.4109375,58,52,0,0,n13
5.675,0.4421875,56,56,0,0,n14
6.075,1.1572917,75,61,0,0,n15
6.0885415,0.42291668,54,46,0,0,n16
6.0942707,1.4697917,63,38,0,0,n17
6.465625,0.39322916,53,46,0,0,n18
6.7963543,0.38854167,51,46,0,0,n19
7.1677084,0.41354167,49,48,0,0,n20
7.5546875,0.8119792,75,63,0,0,n21
7.5640626,0.80260414,63,42,0,0,n22
7.5828123,0.7838542,47,42,0,0,n23
7.585417,0.76875,54,31,0,0,n24
7.960417,0.409375,66,47,0,0,n25
8.31875,0.7515625,74,66,0,0,n26
8.331771,0.73854166,62,57,0,0,n27
8.3463545,0.7239583,46,45,0,0,n28
8.354167,0.7161458,54,44,0,0,n29
8.718229,0.44166666,66,51,0,0,n30
9.095834,1.2010417,75,73,0,0,n31
9.10625,1.1916667,63,61,0,0,n32
9.116667,1.2739583,54,44,0,0,n33
9.130729,2.6296875,47,48,0,0,n34
9.5234375,0.77447915,66,44,0,0,n35
9.901042,0.396875,71,58,0,0,n36
10.296875,0.48802084,75,69,0,0,n37
10.301562,0.5078125,69,58,0,0,n38
10.317187,0.51354164,57,53,0,0,n39
10.739583,0.4890625,76,68,0,0,n40
10.777083,0.37916666,56,58,0,0,n41
10.7786455,0.7953125,68,48,0,0,n42
11.1536455,0.490625,74,62,0,0,n43
11.155729,0.40052083,53,51,0,0,n44
11.568229,0.559375,75,60,0,0,n45
11.581771,0.45833334,54,47,0,0,n46
11.600521,0.22916667,69,36,0,0,n47
12.041146,0.5552083,69,48,0,0,n48
12.0546875,0.65833336,66,36,0,0,n49
12.055729,1.0739583,51,40,0,0,n50
12.064584,0.5083333,47,34,0,0,n51
12.5182295,3.1427083,46,40,0,0,n52
12.523958,3.136979,70,48,0,0,n53
13.108854,0.76354164,63,29,0,0,n54
13.124479,0.8421875,66,33,0,0,n55
13.126562,0.8385417,54,37,0,0,n56
13.847917,0.35104167,65,33,0,0,n57
13.858334,1.8026042,62,38,0,0,n58
13.889584,1.096875,58,28,0,0,n59
14.986459,0.59739584,58,52,0,0,n60
15.583854,1.8494792,58,52,0,0,n61
15.586458,2.000521,54,22,0,0,n62
15.636979,1.9755208,39,26,0,0,n63
16.055729,0.5807292,66,54,0,0,n64
16.48125,0.484375,65,58,0,0,n65
16.90677,0.5,63,60,0,0,n66
17.40677,0.90208334,63,54,0,0,n67
17.423437,1.2546875,53,36,0,0,n68
17.429167,3.6885417,46,37,0,0,n69
17.433332,1.3161458,58,39,0,0,n70
18.2875,0.46458334,62,48,0,0,n71
18.701563,0.41875,63,59,0,0,n72
19.089582,0.4515625,65,56,0,0,n73
19.122917,0.11145833,58,37,0,0,n74
19.122917,0.08958333,62,40,0,0,n75
19.139063,1.9786458,34,36,0,0,n76
19.213541,1.0916667,62,3,0,0,n77
19.235937,1.6041666,58,3,0,0,n78
19.475,0.46458334,66,62,0,0,n79
19.869791,0.4875,68,61,0,0,n80
20.288542,0.59791666,70,56,0,0,n81
20.834375,1.0541667,68,54,0,0,n82
20.840105,1.5552083,58,36,0,0,n83
20.84375,1.575,63,41,0,0,n84
20.890625,1.9682292,39,33,0,0,n85
21.868229,0.528125,66,45,0,0,n86
22.317709,0.5182292,68,54,0,0,n87
22.795834,0.853125,70,59,0,0,n88
22.810417,0.8854167,51,40,0,0,n89
22.811459,0.8375,66,45,0,0,n90
22.815104,0.15989584,63,49,0,0,n91
23.695312,1.0760417,70,69,0,0,n92
23.698437,1.1333333,68,56,0,0,n93
23.720833,1.1354166,50,51,0,0,n94
23.743229,1.0885416,65,16,0,0,n95
24.771355,1.3375,70,72,0,0,n96
24.785938,1.740625,63,69,0,0,n97
24.786459,1.18125,66,59,0,0,n98
24.802084,1.7244792,51,59,0,0,n99
25.886457,1.0838542,71,75,0,0,n100
26.5,0.5390625,69,63,0,0,n101
26.523438,0.6322917,59,35,0,0,n102
26.53073,0.5078125,51,44,0,0,n103
26.998438,1.6432291,68,67,0,0,n104
27.034374,0.54114586,52,48,0,0,n105
27.459375,0.48697916,65,54,0,0,n106
27.476042,0.46927083,50,46,0,0,n107
27.4875,1.0375,58,33,0,0,n108
27.904167,0.6177083,63,53,0,0,n109
27.92552,0.66822916,51,44,0,0,n110
28.501041,1.6510416,66,47,0,0,n111
28.517187,0.51875,45,38,0,0,n112
28.521875,0.0765625,63,33,0,0,n113
28.524479,0.79010415,60,31,0,0,n114
28.602604,1.5494791,63,9,0,0,n115
28.995832,2.0598958,46,42,0,0,n116
29.471354,0.68072915,57,40,0,0,n117
30.08802,0.8958333,65,38,0,0,n118
30.110937,0.828125,62,33,0,0,n119
30.126041,0.93177086,58,42,0,0,n120
30.841146,0.61145836,51,52,0,0,n121
31.350521,0.5395833,50,54,0,0,n122
31.756771,0.5260417,51,62,0,0,n123
32.16198,0.56614584,53,60,0,0,n124
32.595833,1.7098958,59,56,0,0,n125
32.60677,2.2828126,65,53,0,0,n126
32.60677,2.3041666,68,58,0,0,n127
32.635937,1.7177083,51,48,0,0,n128
33.154686,1.7567708,46,42,0,0,n129
34.308334,0.60260415,58,42,0,0,n130
34.32656,0.60729164,50,34,0,0,n131
34.814583,0.49166667,63,54,0,0,n132
35.23281,0.46666667,62,62,0,0,n133
35.638542,0.56614584,63,66,0,0,n134
36.051563,0.62291664,65,64,0,0,n135
36.578648,2.209375,71,62,0,0,n136
36.58073,4.1354165,80,68,0,0,n137
36.582813,4.133333,77,62,0,0,n138
36.602085,2.2078125,63,54,0,0,n139
37.26146,3.4546876,58,45,0,0,n140
38.741146,1.975,70,33,0,0,n141
38.760937,1.9552083,62,30,0,0,n142
40.715103,1.996875,54,43,0,0,n143
40.718227,1.5291667,51,39,0,0,n144
40.71875,1.5078125,58,43,0,0,n145
41.247395,0.119791664,42,37,0,0,n146
41.248436,0.11770833,30,38,0,0,n147
42.2,0.44375,63,42,0,0,n148
42.70573,1.678125,71,50,0,0,n149
42.70625,1.725,68,45,0,0,n150
42.70729,2.3265624,64,44,0,0,n151
43.26979,0.13333334,56,46,0,0,n152
43.275,0.1578125,59,39,0,0,n153
44.361458,0.20729166,76,51,0,0,n154
44.979687,1.6802083,60,50,0,0,n155
44.98073,1.7015625,63,62,0,0,n156
44.9875,1.5791667,54,50,0,0,n157
45.455208,0.115625,45,67,0,0,n158
46.585938,1.5838542,62,58,0,0,n159
46.589584,1.8125,58,50,0,0,n160
46.590103,1.4859375,53,48,0,0,n161
46.595833,0.067708336,46,74,0,0,n162
48.1375,0.753125,63,43,0,0,n163
48.14427,0.76770836,54,26,0,0,n164
48.185417,0.7739583,39,28,0,0,n165
48.874477,0.9661458,66,43,0,0,n166
49.353127,0.8598958,65,55,0,0,n167
49.79531,0.46354166,63,62,0,0,n168
49.82552,0.5473958,51,40,0,0,n169
50.220314,1.3171875,62,60,0,0,n170
50.23177,1.0515625,53,58,0,0,n171
50.653645,0.48802084,51,64,0,0,n172
50.658855,0.5046875,63,73,0,0,n173
51.071354,0.5072917,65,70,0,0,n174
51.077602,0.48020834,50,62,0,0,n175
51.51719,1.7135416,71,69,0,0,n176
51.520313,1.7796875,68,66,0,0,n177
51.552082,0.6088542,51,54,0,0,n178
51.553123,0.19166666,63,54,0,0,n179
52.04844,0.1203125,62,60,0,0,n180
52.06354,1.6338542,53,42,0,0,n181
52.064064,1.2385417,46,36,0,0,n182
52.184376,1.1395833,62,3,0,0,n183
53.20573,0.49166667,70,56,0,0,n184
53.67552,0.46145833,75,71,0,0,n185
53.69219,0.37552083,66,50,0,0,n186
53.727604,0.38645834,63,42,0,0,n187
54.083332,0.63958335,74,68,0,0,n188
54.10521,0.6359375,68,54,0,0,n189
54.120834,0.43645832,65,51,0,0,n190
54.530727,0.55625,75,77,0,0,n191
54.55573,0.5317708,63,56,0,0,n192
54.557293,0.60260415,66,54,0,0,n193
55.01146,0.6557292,77,75,0,0,n194
55.020313,0.6453125,65,54,0,0,n195
55.045834,0.646875,62,58,0,0,n196
55.63802,0.81822914,66,56,0,0,n197
55.63802,0.81822914,75,73,0,0,n198
55.640102,2.6791666,83,77,0,0,n199
55.64375,0.8125,63,52,0,0,n200
56.43125,3.765104,74,46,0,0,n201
56.459373,3.7369792,68,32,0,0,n202
56.459896,3.7364583,65,31,0,0,n203
56.48021,3.7161458,58,33,0,0,n204
58.220833,1.9755208,82,36,0,0,n205
60.10521,1.6697917,70,48,0,0,n206
60.107292,1.6463542,66,34,0,0,n207
60.11927,1.65625,63,44,0,0,n208
60.617188,0.09166667,42,44,0,0,n209
60.620834,0.08645833,54,44,0,0,n210
61.701042,0.6328125,75,45,0,0,n211
62.282814,2.046875,83,62,0,0,n212
62.286457,2.3223958,76,50,0,0,n213
62.290627,2.2947917,80,42,0,0,n214
62.896873,0.1328125,68,39,0,0,n215
62.897396,0.1984375,71,44,0,0,n216
64.280205,0.119791664,88,49,0,0,n217
65.23386,1.6973958,54,54,0,0,n218
65.23698,2.0880208,60,46,0,0,n219
65.24062,2.0848958,63,51,0,0,n220
65.76771,0.11875,45,63,0,0,n221
67.29792,2.8375,62,56,0,0,n222
67.30521,2.8302083,53,48,0,0,n223
67.30729,2.828125,58,53,0,0,n224
67.308334,0.09010417,46,66,0,0,n225
70.13281,3.9505208,63,32,0,0,n226
