LABEL,TIME
0+0/1,0.252
1+0/1,0.811
1+1/4,1.640
1+3/8,2.036
2+0/1,2.422
2+1/8,2.829
2+1/4,3.242
3+0/1,4.160
3+1/8,4.531
3+1/4,4.927
3+3/8,5.290
4+0/1,5.663
4+1/8,6.031
4+1/4,6.415
4+3/8,6.791
5+0/1,7.217
5+1/8,7.622
5+1/4,8.001
5+3/8,8.393
6+0/1,8.698
6+1/8,9.129
6+1/4,9.530
6+3/8,9.934
7+0/1,10.320
7+1/8,10.733
7+1/4,11.111
7+3/8,11.476
8+0/1,11.879
8+1/8,12.268
8+1/4,12.696
8+3/8,13.077
9+0/1,13.500
9+1/8,13.904
9+1/4,14.292
9+3/8,14.693
10+0/1,15.187
10+1/4,16.055
10+3/8,16.458
11+0/1,16.876
11+1/8,17.285
11+1/4,17.662
11+3/8,18.122
12+0/1,18.654
12+1/4,19.513
12+3/8,19.907
13+0/1,20.373
13+1/4,21.204
14+0/1,22.077
14+1/4,22.922
14+3/8,23.394
15+0/1,23.856
15+1/8,24.267
15+1/4,24.658
15+3/8,25.054
16+0/1,25.463
16+1/8,25.932
16+1/4,26.403
16+3/8,26.849
17+0/1,27.371
17+1/8,27.844
17+1/4,28.289
17+3/8,28.754
18+0/1,29.355
18+1/4,30.435
18+3/8,30.823
19+0/1,31.331
19+1/8,31.830
19+1/4,32.359
19+3/8,32.964
20+0/1,33.679
20+1/4,35.175
20+3/8,37.165
21+0/1,37.862
21+1/4,39.028
21+3/8,39.593
22+0/1,40.154
22+1/4,41.435
22+3/8,41.965
23+0/1,42.403
23+1/4,43.354
24+0/1,44.383
24+1/8,44.785
24+1/4,45.199
24+3/8,45.599
25+0/1,46.030
25+1/8,46.464
25+1/4,46.875
25+3/8,47.332
26+0/1,47.963
26+1/4,48.944
26+3/8,49.356
27+0/1,49.802
27+1/8,50.261
27+1/4,50.733
27+3/8,51.334
28+0/1,52.190
28+1/4,54.089
28+3/8,56.811
29+0/1,57.463
29+1/4,58.779
29+3/8,59.369
30+0/1,60.184
30+1/4,61.641
30+3/8,62.311
31+0/1,62.967
31+1/4,64.365
32+0/1,66.811
32+3/8,70.769
32+49/128,71.419
32+25/64,71.741
32+51/128,71.970
32+13/32,72.159
32+53/128,72.336
32+27/64,72.480
32+55/128,72.627
32+7/16,72.765
32+57/128,72.891
32+29/64,72.994
32+59/128,73.114
32+15/32,73.239
32+61/128,73.357
32+31/64,73.477
32+63/128,73.598
