idx,matchtype,partid,ppartid
0,0,ngx1f26,n149
1,0,nne21f7,n79
2,0,nycny6q,n67
3,0,n5dzn4x,n86
4,0,nbhbsvs,n168
5,0,n9f43h8,n232
6,0,n14ahlx1,n148
7,0,n15sqsrm,n213
8,0,n3k1x9c,n117
9,0,ncgjw5z,n160
10,0,n10b8oen,n224
11,0,nwwcg6d,n32
12,0,nzb0w7v,n57
13,0,nqroevn,n73
14,0,ns7ef1z,n118
15,0,n3s1yxj,n131
16,0,ng6hp7e,n162
17,0,n112tcfk,n185
18,0,n1x662om,n226
19,0,n1gp8dny,n23
20,0,n19gnecy,n34
21,0,n1do2vxt,n55
22,0,n1q8opyy,n21
23,0,nbtjp6t,n95
24,0,nhp3q9n,n110
25,0,ny91d4k,n124
26,0,n1wlzdyp,n133
27,0,n19casdx,n178
28,0,n1w2yvlc,n20
29,0,n10z6tup,n53
30,0,n190ip5i,n90
31,0,n132vlyg,n100
32,0,nlho7xd,n103
33,0,n1k9w891,n113
34,0,n1vm6u8k,n123
35,0,n2fhybt,n125
36,0,n1ajn7jo,n130
37,0,n1j9f65q,n147
38,0,n10wqvpp,n171
39,0,n16yhsuy,n176
40,0,n1sng5up,n182
41,0,n18szrpt,n107
42,0,ndw96g6,n19
43,0,n19fuh32,n49
44,0,n1oox58n,n72
45,0,nams049,n126
46,0,n1khq61u,n164
47,0,n1n9ko7n,n174
48,0,n18mg1et,n184
49,0,n9egt9e,n227
50,0,n20qfko,n16
51,0,n1c77x0z,n26
52,0,n1nwaf9o,n31
53,0,n1xbjkbv,n35
54,0,n1phrkel,n51
55,0,n1h3uo6,n59
56,0,nhouoos,n66
57,0,n13qay7n,n146
58,0,ns0p1it,n159
59,0,nc5l9l6,n167
60,0,n6ol2v6,n212
61,0,nmbgzgj,n223
62,0,n13panho,n231
63,0,n1d3wph6,n14
64,0,n1uct3s1,n45
65,0,nbeyber,n155
66,0,nxoodw5,n42
67,0,ncwb9kp,n119
68,0,n1gfvle3,n236
69,0,n1ftb3dd,n8
70,0,n1ucgq9x,n13
71,0,n1y9wlwc,n29
72,0,nvmypsu,n61
73,0,n1q76nu4,n64
74,0,n1qocvw7,n65
75,0,n1qocvw7,n65
76,0,n1yjazov,n78
77,0,nhyvkfm,n85
78,0,n13lhfpu,n111
79,0,n186unn2,n122
80,0,n1o0zlvb,n132
81,0,n104qhxz,n142
82,0,nkl7ze9,n145
83,0,n100gd98,n163
84,0,nwaf9g4,n166
85,0,n9pvokp,n206
86,0,nommt0c,n228
87,0,nok2y38,n230
88,0,nlepmip,n233
89,0,n7fzt0g,n235
90,0,n1erapwz,n237
91,0,noxt7zz,n7
92,0,n12wrtim,n12
93,0,n140af6o,n24
94,0,nu59lmr,n36
95,0,nds4xgz,n104
96,0,n1h7e2vk,n127
97,0,n1y3yzsw,n154
98,0,n1st1xqg,n234
99,0,n1ihpbnr,n116
100,0,nf0fxk3,n158
101,0,nrevevk,n222
102,0,nmxyto5,n238
103,0,nskncbk,n6
104,0,n1hksdx3,n10
105,0,n1gnrdu7,n30
106,0,n9iz6rl,n63
107,0,n1yihe3,n74
108,0,neq0sbq,n77
109,0,ndgxzpg,n121
110,0,n1k0p70e,n135
111,0,n13wljik,n144
112,0,ngevg3i,n161
113,0,n1f05kf0,n173
114,0,n1tcy8b,n183
115,0,n1cbtxzq,n198
116,0,nk3zkrg,n225
117,0,n6s0wyy,n239
118,0,nwqgcz5,n0
119,0,nz2irm6,n4
120,0,njjz3m5,n18
121,0,nel2rvm,n25
122,0,n1l21wtc,n38
123,0,n1svwcfz,n60
124,0,nzteqca,n70
125,0,njkbnxs,n71
126,0,n1259fby,n75
127,0,n3ppc2s,n84
128,0,n1yriiba,n91
129,0,n6wsszs,n99
130,0,n1ohsbag,n112
131,0,n1pepyvq,n115
132,0,n70g25x,n134
133,0,n11rggv8,n136
134,0,n4d775a,n141
135,0,nehqrnf,n150
136,0,ndmiq9p,n157
137,0,n8jghwt,n165
138,0,n1itvxhj,n172
139,0,n12vifp0,n175
140,0,nilcimv,n181
141,0,n12n7xas,n189
142,0,n1vtwu4u,n195
143,0,nc3tk7n,n201
144,0,n19daiw1,n210
145,0,n1lcuzj,n221
146,0,n1vstb1b,n229
147,0,nb1w2y6,n240
148,0,n1xyivg6,n108
149,0,n1q8q723,n153
150,0,n1axox90,n3
151,0,n1vnikpu,n11
152,0,n1jlld6s,n62
153,0,n1c226x5,n69
154,0,ndwo28y,n76
155,0,ncv4r2h,n94
156,0,net67sr,n109
157,0,ni47acm,n120
158,0,n1td6vii,n128
159,0,nkpr3xp,n137
160,0,n1m7wnc8,n170
161,0,nky5k6q,n177
162,0,n1h378am,n191
163,0,noxyeix,n197
164,0,n1wcys64,n205
165,0,n1ksebqf,n241
166,0,niis0bt,n2
167,0,nx0xxp3,n17
168,0,n1ua7khd,n27
