onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-0.5,0.5,-0.5,0.5,0,16,63,3,nwqgcz5
0.0,1.0,0.0,1.0,16,32,66,3,niis0bt
0.0,2.0,0.0,2.0,16,64,75,1,nbwxzb1
1.0,0.5,1.0,0.5,48,16,65,3,n1axox90
1.5,0.5,1.5,0.5,64,16,63,3,nz2irm6
2.0,0.5,2.0,0.5,80,16,62,3,nskncbk
2.0,2.0,2.0,2.0,80,64,82,1,n63xubs
2.5,0.5,2.5,0.5,96,16,59,3,noxt7zz
3.0,1.5,3.0,1.5,112,48,58,3,n1ftb3dd
4.0,2.0,4.0,2.0,144,64,62,1,n1hksdx3
4.0,2.0,4.0,2.0,144,64,65,1,n1vnikpu
4.0,2.0,4.0,2.0,144,64,70,1,n5hfy1h
4.5,0.5,4.5,0.5,160,16,59,3,n12wrtim
5.0,0.5,5.0,0.5,176,16,58,3,n1ucgq9x
5.5,0.5,5.5,0.5,192,16,56,3,n1d3wph6
6.0,0.5,6.0,0.5,208,16,54,3,n20qfko
6.0,2.0,6.0,2.0,208,64,63,1,njjz3m5
6.0,2.0,6.0,2.0,208,64,66,1,nx0xxp3
6.0,2.0,6.0,2.0,208,64,75,1,nzrha46
6.5,0.5,6.5,0.5,224,16,53,3,ndw96g6
7.0,0.5,7.0,0.5,240,16,51,3,n1w2yvlc
7.5,0.5,7.5,0.5,256,16,49,3,n1q8opyy
8.0,1.0,8.0,1.0,272,32,47,3,n1gp8dny
8.0,1.0,8.0,1.0,272,32,54,3,n1c77x0z
8.0,1.0,8.0,1.0,272,32,59,3,n140af6o
8.0,0.5,8.0,0.5,272,16,63,2,nel2rvm
8.0,1.0,8.0,1.0,272,32,75,1,ndpbkgz
8.5,0.5,8.5,0.5,288,16,66,2,n1ua7khd
9.0,1.0,9.0,1.0,304,32,46,3,nwwcg6d
9.0,1.0,9.0,1.0,304,32,54,3,n1nwaf9o
9.0,1.0,9.0,1.0,304,32,58,3,n1y9wlwc
9.0,0.5,9.0,0.5,304,16,62,2,n1gnrdu7
9.0,1.0,9.0,1.0,304,32,74,1,n1ax8csr
9.5,0.5,9.5,0.5,320,16,66,2,n1uynip8
10.0,3.5,10.0,3.5,336,112,47,4,n19gnecy
10.0,1.5,10.0,1.5,336,48,54,3,n1xbjkbv
10.0,1.5,10.0,1.5,336,48,59,3,nu59lmr
10.0,0.5,10.0,0.5,336,16,63,2,n1l21wtc
10.0,1.5,10.0,1.5,336,48,75,1,n1vz4o6x
10.5,0.5,10.5,0.5,352,16,66,2,nwc30jq
11.0,0.5,11.0,0.5,368,16,71,2,n1x5o87d
11.5,0.5,11.5,0.5,384,16,57,3,nxoodw5
11.5,0.5,11.5,0.5,384,16,69,2,najplea
11.5,0.5,11.5,0.5,384,16,75,1,n1rdgjkk
12.0,0.5,12.0,0.5,400,16,56,3,n1uct3s1
12.0,0.5,12.0,0.5,400,16,68,2,n1keu81w
12.0,0.5,12.0,0.5,400,16,76,1,nt1lpnt
12.5,0.5,12.5,0.5,416,16,53,3,n19fuh32
12.5,0.5,12.5,0.5,416,16,68,2,n1ocxnav
12.5,0.5,12.5,0.5,416,16,74,1,nm687d8
13.0,0.5,13.0,0.5,432,16,54,3,n1phrkel
13.0,0.5,13.0,0.5,432,16,69,2,n1ck28h5
13.0,0.5,13.0,0.5,432,16,75,1,n13giu59
13.5,0.5,13.5,0.5,448,16,47,4,n1do2vxt
13.5,1.0,13.5,1.0,448,32,51,3,n10z6tup
13.5,1.0,13.5,1.0,448,32,66,2,n1xu9t7k
13.5,0.5,13.5,0.5,448,16,69,1,n1xznt0r
14.0,1.5,14.0,1.5,464,48,46,4,nzb0w7v
14.0,1.5,14.0,1.5,464,48,70,1,n1ba5m93
14.5,0.5,14.5,0.5,480,16,54,3,n1h3uo6
14.5,0.5,14.5,0.5,480,16,63,2,n1svwcfz
14.5,0.5,14.5,0.5,480,16,66,2,n1gkxnqh
15.0,0.5,15.0,0.5,496,16,58,3,nvmypsu
15.0,0.5,15.0,0.5,496,16,62,2,n9iz6rl
15.0,0.5,15.0,0.5,496,16,65,2,n1jlld6s
15.5,0.5,15.5,0.5,512,16,58,1,n1q76nu4
16.0,2.0,16.0,2.0,528,64,39,3,nycny6q
16.0,2.0,16.0,2.0,528,64,54,2,nhouoos
16.0,0.5,16.0,0.5,528,16,58,1,n1qocvw7
16.0,2.0,16.0,2.0,528,64,58,2,nj5htqb
16.5,0.5,16.5,0.5,544,16,66,1,nkm8rgd
17.0,0.5,17.0,0.5,560,16,65,1,n1c226x5
17.5,0.5,17.5,0.5,576,16,63,1,nzteqca
18.0,2.0,18.0,2.0,592,64,46,3,nqroevn
18.0,2.0,18.0,2.0,592,64,53,2,n1oox58n
18.0,2.0,18.0,2.0,592,64,58,2,nkpubf4
18.0,1.0,18.0,1.0,592,32,63,1,njkbnxs
19.0,0.5,19.0,0.5,624,16,62,1,n1yihe3
19.5,0.5,19.5,0.5,640,16,63,1,n1259fby
20.0,2.0,20.0,2.0,656,64,34,3,nne21f7
20.0,2.0,20.0,2.0,656,64,58,2,n1yjazov
20.0,2.0,20.0,2.0,656,64,62,2,neq0sbq
20.0,0.5,20.0,0.5,656,16,65,1,ndwo28y
20.5,0.5,20.5,0.5,672,16,66,1,n1u3y7g9
21.0,0.5,21.0,0.5,688,16,68,1,n3zp936
21.5,0.5,21.5,0.5,704,16,70,1,n12qmk7l
22.0,2.0,22.0,2.0,720,64,39,3,n5dzn4x
22.0,2.0,22.0,2.0,720,64,58,2,nhyvkfm
22.0,2.0,22.0,2.0,720,64,63,2,n3ppc2s
22.0,1.0,22.0,1.0,720,32,68,1,n14lg6kg
23.0,0.5,23.0,0.5,752,16,66,1,ntveext
23.5,0.5,23.5,0.5,768,16,68,1,ndgv6pw
24.0,1.0,24.0,1.0,784,32,51,3,n190ip5i
24.0,1.0,24.0,1.0,784,32,63,2,n1yriiba
24.0,1.0,24.0,1.0,784,32,66,2,nozi4wb
24.0,1.0,24.0,1.0,784,32,70,1,n3zn1ve
25.0,1.0,25.0,1.0,816,32,50,3,nbtjp6t
25.0,1.0,25.0,1.0,816,32,65,2,ncv4r2h
25.0,1.0,25.0,1.0,816,32,68,2,n7j0ws0
25.0,1.0,25.0,1.0,816,32,70,1,nboqhl3
26.0,1.5,26.0,1.5,848,48,51,3,n132vlyg
26.0,1.5,26.0,1.5,848,48,63,2,n6wsszs
26.0,1.5,26.0,1.5,848,48,66,2,narerll
26.0,1.0,26.0,1.0,848,32,70,1,n1hur6tp
27.0,0.5,27.0,0.5,880,16,71,1,nja5e1o
27.5,0.5,27.5,0.5,896,16,51,3,nlho7xd
27.5,1.0,27.5,1.0,896,32,59,2,nds4xgz
27.5,0.5,27.5,0.5,896,16,66,2,n1jxawt5
27.5,0.5,27.5,0.5,896,16,69,1,nw3u4pq
28.0,0.5,28.0,0.5,912,16,52,3,n18szrpt
28.0,0.5,28.0,0.5,912,16,64,2,n1xyivg6
28.0,1.5,28.0,1.5,912,48,68,1,nqioh0d
28.5,0.5,28.5,0.5,928,16,50,3,nhp3q9n
28.5,1.0,28.5,1.0,928,32,58,2,n13lhfpu
28.5,0.5,28.5,0.5,928,16,65,2,net67sr
29.0,0.5,29.0,0.5,944,16,51,3,n1k9w891
29.0,0.5,29.0,0.5,944,16,63,2,n1ohsbag
29.5,0.5,29.5,0.5,960,16,45,3,n3k1x9c
