onset_sec,duration_sec,pitch,velocity,track,channel,id
0.25208333,1.4765625,63,53,0,0,n0
0.80572915,2.4333334,75,57,0,0,n1
0.815625,0.9135417,66,50,0,0,n2
1.6395833,1.5994792,65,47,0,0,n3
2.0364583,1.2026042,63,61,0,0,n4
2.4208333,3.233854,82,75,0,0,n5
2.4239583,0.8151042,62,51,0,0,n6
2.8291667,0.40989584,59,60,0,0,n7
3.2416666,1.6848959,58,58,0,0,n8
4.1427083,1.5802083,70,62,0,0,n9
4.152604,1.5020833,62,43,0,0,n10
4.183854,1.4708333,65,38,0,0,n11
4.5307293,1.1239583,59,62,0,0,n12
4.9265623,0.728125,58,63,0,0,n13
5.289583,0.36510417,56,64,0,0,n14
5.6473956,1.5369792,75,68,0,0,n15
5.6520834,1.5838542,54,53,0,0,n16
5.672917,1.6057292,66,43,0,0,n17
5.678125,1.5484375,63,44,0,0,n18
6.0307293,1.2479167,53,51,0,0,n19
6.4151044,0.86354166,51,47,0,0,n20
6.790625,0.48802084,49,49,0,0,n21
7.184375,1.5614583,75,69,0,0,n22
7.210417,1.3755208,47,33,0,0,n23
7.2265625,1.5083333,59,42,0,0,n24
7.2265625,1.5432292,63,42,0,0,n25
7.2359376,0.7703125,54,33,0,0,n26
7.621875,0.7708333,66,48,0,0,n27
7.98125,0.9015625,74,80,0,0,n28
8.000521,0.8822917,58,58,0,0,n29
8.000521,0.8822917,62,58,0,0,n30
8.00625,0.64479166,54,47,0,0,n31
8.017187,0.865625,46,38,0,0,n32
8.392709,0.49010417,66,67,0,0,n33
8.5859375,2.8984375,47,42,0,0,n34
8.651042,1.2973958,54,26,0,0,n35
8.734896,1.2140625,59,53,0,0,n36
8.745833,1.1760417,75,86,0,0,n37
8.769792,1.1786458,63,61,0,0,n38
9.128646,0.8197917,66,71,0,0,n39
9.529688,0.42083332,71,73,0,0,n40
9.921875,1.165625,75,81,0,0,n41
9.931771,1.1557292,57,50,0,0,n42
9.947396,1.1401042,69,59,0,0,n43
10.3125,0.775,76,72,0,0,n44
10.321354,0.7661458,56,46,0,0,n45
10.326563,0.41197917,68,53,0,0,n46
10.720834,0.3890625,74,71,0,0,n47
10.738542,0.34895834,68,40,0,0,n48
