LABEL,TIME
0+0/1,0.072
1+0/1,0.986
1+1/4,2.168
1+3/8,2.604
2+0/1,2.992
2+1/8,3.347
2+1/4,3.731
3+0/1,4.405
3+1/8,4.729
3+1/4,5.075
3+3/8,5.426
4+0/1,5.902
4+1/8,6.373
4+1/4,6.799
4+3/8,7.284
5+0/1,7.981
5+1/8,8.621
5+1/4,9.104
5+3/8,9.576
6+0/1,9.941
6+1/8,10.345
6+1/4,10.670
6+3/8,11.053
7+0/1,11.453
7+1/8,11.834
7+1/4,12.191
7+3/8,12.634
8+0/1,13.116
8+1/8,13.682
8+1/4,14.400
8+3/8,15.407
9+0/1,16.234
9+1/8,16.979
9+1/4,17.465
9+3/8,17.867
10+0/1,18.455
10+1/4,19.636
10+3/8,20.050
11+0/1,20.522
11+1/8,20.949
11+1/4,21.327
11+3/8,21.701
12+0/1,22.322
12+1/4,23.656
12+3/8,24.281
13+0/1,25.005
13+1/4,25.962
14+0/1,26.849
14+1/4,27.918
14+3/8,28.696
15+0/1,29.299
15+1/8,29.759
15+1/4,30.176
15+3/8,30.609
16+0/1,31.064
16+1/8,31.608
16+1/4,32.376
16+3/8,33.243
17+0/1,33.741
17+1/8,34.138
17+1/4,34.523
17+3/8,35.004
18+0/1,35.658
18+1/4,36.976
18+3/8,37.853
19+0/1,38.345
19+1/8,38.747
19+1/4,39.156
19+3/8,39.784
20+0/1,40.557
20+1/4,42.918
20+3/8,46.659
21+0/1,47.481
21+1/4,48.797
21+3/8,49.372
22+0/1,49.888
22+1/4,51.127
22+3/8,51.698
23+0/1,52.164
23+1/4,53.145
24+0/1,54.729
24+1/8,55.638
24+1/4,56.128
24+3/8,56.534
25+0/1,56.906
25+1/8,57.267
25+1/4,57.632
25+3/8,58.091
26+0/1,58.800
26+1/4,60.036
26+3/8,60.950
27+0/1,61.404
27+1/8,61.787
27+1/4,62.215
27+3/8,62.819
28+0/1,63.827
28+1/4,66.319
28+3/8,69.440
29+0/1,70.181
29+1/4,71.531
29+3/8,72.131
30+0/1,72.734
30+1/4,74.040
30+3/8,74.934
31+0/1,75.548
31+1/4,77.046
32+0/1,80.232
32+3/8,83.180
32+49/128,83.935
32+25/64,84.501
32+51/128,84.862
32+13/32,85.165
32+53/128,85.433
32+27/64,85.667
32+55/128,85.871
32+7/16,86.061
32+57/128,86.232
32+29/64,86.404
32+59/128,86.570
32+15/32,86.739
32+61/128,86.925
32+31/64,87.184
32+63/128,87.734
