velocity,timing,articulation,id
0.0,0.0,0.0,nwqgcz5
0.0,0.0,0.0,niis0bt
0.0,0.0,0.0,nbwxzb1
0.0,0.0,0.0,n1axox90
0.0,0.0,0.0,nz2irm6
0.0,0.0,0.0,nskncbk
0.0,0.0,0.0,n63xubs
0.0,0.0,0.0,noxt7zz
0.0,0.0,0.0,n1ftb3dd
0.0,0.0,0.0,n1hksdx3
0.0,0.0,0.0,n1vnikpu
0.0,0.0,0.0,n5hfy1h
0.0,0.0,0.0,n12wrtim
0.0,0.0,0.0,n1ucgq9x
0.0,0.0,0.0,n1d3wph6
0.0,0.0,0.0,n20qfko
0.0,0.0,0.0,njjz3m5
0.0,0.0,0.0,nx0xxp3
0.0,0.0,0.0,nzrha46
0.0,0.0,0.0,ndw96g6
0.0,0.0,0.0,n1w2yvlc
0.0,0.0,0.0,n1q8opyy
0.0,0.0,0.0,n1gp8dny
0.0,0.0,0.0,n1c77x0z
0.0,0.0,0.0,n140af6o
0.0,0.0,0.0,nel2rvm
0.0,0.0,0.0,ndpbkgz
0.0,0.0,0.0,n1ua7khd
0.0,0.0,0.0,nwwcg6d
0.0,0.0,0.0,n1nwaf9o
0.0,0.0,0.0,n1y9wlwc
0.0,0.0,0.0,n1gnrdu7
0.0,0.0,0.0,n1ax8csr
0.0,0.0,0.0,n1uynip8
0.0,0.0,0.0,n19gnecy
0.0,0.0,0.0,n1xbjkbv
0.0,0.0,0.0,nu59lmr
0.0,0.0,0.0,n1l21wtc
0.0,0.0,0.0,n1vz4o6x
0.0,0.0,0.0,nwc30jq
0.0,0.0,0.0,n1x5o87d
0.0,0.0,0.0,nxoodw5
0.0,0.0,0.0,najplea
0.0,0.0,0.0,n1rdgjkk
0.0,0.0,0.0,n1uct3s1
0.0,0.0,0.0,n1keu81w
0.0,0.0,0.0,nt1lpnt
0.0,0.0,0.0,n19fuh32
0.0,0.0,0.0,n1ocxnav
0.0,0.0,0.0,nm687d8
0.0,0.0,0.0,n1phrkel
0.0,0.0,0.0,n1ck28h5
0.0,0.0,0.0,n13giu59
0.0,0.0,0.0,n1do2vxt
0.0,0.0,0.0,n10z6tup
0.0,0.0,0.0,n1xu9t7k
0.0,0.0,0.0,n1xznt0r
0.0,0.0,0.0,nzb0w7v
0.0,0.0,0.0,n1ba5m93
0.0,0.0,0.0,n1h3uo6
0.0,0.0,0.0,n1svwcfz
0.0,0.0,0.0,n1gkxnqh
0.0,0.0,0.0,nvmypsu
0.0,0.0,0.0,n9iz6rl
0.0,0.0,0.0,n1jlld6s
0.0,0.0,0.0,n1q76nu4
0.0,0.0,0.0,nycny6q
0.0,0.0,0.0,nhouoos
0.0,0.0,0.0,n1qocvw7
0.0,0.0,0.0,nj5htqb
0.0,0.0,0.0,nkm8rgd
0.0,0.0,0.0,n1c226x5
0.0,0.0,0.0,nzteqca
0.0,0.0,0.0,nqroevn
0.0,0.0,0.0,n1oox58n
0.0,0.0,0.0,nkpubf4
0.0,0.0,0.0,njkbnxs
0.0,0.0,0.0,n1yihe3
0.0,0.0,0.0,n1259fby
0.0,0.0,0.0,nne21f7
0.0,0.0,0.0,n1yjazov
