idx,matchtype,partid,ppartid
0,0,ngx1f26,n147
1,0,nne21f7,n74
2,0,nycny6q,n63
3,0,n5dzn4x,n83
4,0,nbhbsvs,n165
5,0,n9f43h8,n226
6,0,n14ahlx1,n146
7,0,n15sqsrm,n209
8,0,n3k1x9c,n113
9,0,ncgjw5z,n158
10,0,n10b8oen,n220
11,0,nwwcg6d,n27
12,0,nzb0w7v,n55
13,0,nqroevn,n70
14,0,ns7ef1z,n115
15,0,n3s1yxj,n129
16,0,ng6hp7e,n160
17,0,n112tcfk,n183
18,0,n1x662om,n222
19,0,n1gp8dny,n22
20,0,n19gnecy,n32
21,0,n1do2vxt,n53
22,0,n1q8opyy,n21
23,0,nbtjp6t,n92
24,0,nhp3q9n,n108
25,0,ny91d4k,n122
26,0,n1wlzdyp,n131
27,0,n19casdx,n176
28,0,n1w2yvlc,n20
29,0,n10z6tup,n54
30,0,n190ip5i,n88
31,0,n132vlyg,n94
32,0,nlho7xd,n101
33,0,n1k9w891,n110
34,0,n1vm6u8k,n121
35,0,n2fhybt,n123
36,0,n1ajn7jo,n125
37,0,n1j9f65q,n144
38,0,n10wqvpp,n170
39,0,n16yhsuy,n174
40,0,n1sng5up,n177
41,0,n18szrpt,n105
42,0,ndw96g6,n19
43,0,n19fuh32,n47
44,0,n1oox58n,n71
45,0,nams049,n124
46,0,n1khq61u,n162
47,0,n1n9ko7n,n172
48,0,n18mg1et,n182
49,0,n9egt9e,n224
50,0,n20qfko,n18
51,0,n1c77x0z,n25
52,0,n1nwaf9o,n29
53,0,n1xbjkbv,n33
54,0,n1phrkel,n49
55,0,n1h3uo6,n59
56,0,nhouoos,n65
57,0,n13qay7n,n145
58,0,ns0p1it,n157
59,0,nc5l9l6,n166
60,0,nmbgzgj,n218
61,0,n13panho,n227
62,0,n1d3wph6,n14
63,0,n1uct3s1,n43
64,0,nbeyber,n152
65,0,nxoodw5,n40
66,0,ncwb9kp,n116
67,0,n1gfvle3,n231
68,0,n1ftb3dd,n8
69,0,n1ucgq9x,n13
70,0,n1q76nu4,n62
71,0,n1qocvw7,n64
72,0,n1qocvw7,n64
73,0,n13lhfpu,n107
74,0,n186unn2,n120
75,0,n1o0zlvb,n130
76,0,n104qhxz,n140
77,0,nkl7ze9,n143
78,0,n100gd98,n161
79,0,nwaf9g4,n164
80,0,n9pvokp,n203
81,0,nommt0c,n223
82,0,nok2y38,n225
83,0,nlepmip,n228
84,0,n7fzt0g,n230
85,0,n1erapwz,n232
86,0,noxt7zz,n7
87,0,n12wrtim,n12
88,0,nu59lmr,n34
89,0,nds4xgz,n102
90,0,n1h7e2vk,n127
91,0,n1y3yzsw,n153
92,0,n1st1xqg,n229
93,0,n1ihpbnr,n114
94,0,nf0fxk3,n156
95,0,nrevevk,n219
96,0,nmxyto5,n233
97,0,nskncbk,n6
98,0,n1hksdx3,n10
99,0,n1gnrdu7,n30
100,0,n9iz6rl,n61
101,0,n1yihe3,n72
102,0,neq0sbq,n77
103,0,ndgxzpg,n119
104,0,n1k0p70e,n133
105,0,n13wljik,n142
106,0,ngevg3i,n159
107,0,n1f05kf0,n171
108,0,n1tcy8b,n181
109,0,n1cbtxzq,n194
110,0,nk3zkrg,n221
111,0,n6s0wyy,n234
112,0,nwqgcz5,n0
113,0,nz2irm6,n4
114,0,njjz3m5,n17
115,0,nel2rvm,n24
116,0,n1l21wtc,n36
117,0,n1svwcfz,n58
118,0,nzteqca,n68
119,0,njkbnxs,n69
120,0,n1259fby,n73
121,0,n3ppc2s,n81
122,0,n1yriiba,n87
123,0,n6wsszs,n97
124,0,n1ohsbag,n109
125,0,n1pepyvq,n112
126,0,n70g25x,n132
127,0,n11rggv8,n134
128,0,n4d775a,n136
129,0,nehqrnf,n148
130,0,ndmiq9p,n155
131,0,n8jghwt,n163
132,0,n1itvxhj,n169
133,0,n12vifp0,n173
134,0,nilcimv,n179
135,0,n12n7xas,n186
136,0,n1vtwu4u,n192
137,0,nc3tk7n,n200
138,0,n19daiw1,n207
139,0,n1lcuzj,n217
140,0,nb1w2y6,n235
141,0,n1xyivg6,n104
142,0,n1q8q723,n151
143,0,n1axox90,n3
144,0,n1vnikpu,n11
145,0,n1jlld6s,n60
146,0,n1c226x5,n67
147,0,ndwo28y,n76
148,0,ncv4r2h,n91
149,0,net67sr,n106
150,0,ni47acm,n118
151,0,n1td6vii,n128
152,0,nkpr3xp,n135
153,0,n1m7wnc8,n168
154,0,nky5k6q,n175
155,0,n1h378am,n189
156,0,noxyeix,n196
157,0,n1wcys64,n202
158,0,n1ksebqf,n236
159,0,niis0bt,n1
160,0,nx0xxp3,n16
161,0,n1ua7khd,n26
162,0,n1uynip8,n31
163,0,nwc30jq,n37
164,0,n1xu9t7k,n52
165,0,n1gkxnqh,n57
166,0,nkm8rgd,n66
167,0,n1u3y7g9,n78
168,0,ntveext,n84
169,0,nozi4wb,n89
170,0,narerll,n96
171,0,n1jxawt5,n100
172,0,n132s741,n111
173,0,n1ndomom,n167
174,0,n1yn1nc9,n187
175,0,n1gyf11x,n193
176,0,nozf56n,n199
177,0,n1o6r8e6,n208
178,0,nbkyjw0,n237
179,0,n1keu81w,n44
180,0,n1ocxnav,n46
181,0,n3zp936,n79
182,0,n14lg6kg,n82
183,0,ndgv6pw,n85
184,0,n7j0ws0,n93
185,0,nqioh0d,n103
186,0,nelpv1u,n126
187,0,n1vyz994,n150
188,0,n10ba369,n180
189,0,n1iba4d5,n190
190,0,nlj3n87,n204
191,0,n1hs0mq0,n215
192,0,n12mm9l0,n238
193,0,najplea,n41
194,0,n1ck28h5,n50
195,0,n1xznt0r,n51
196,0,nw3u4pq,n99
197,0,n5hfy1h,n9
198,0,n1ba5m93,n56
199,0,n12qmk7l,n80
200,0,n3zn1ve,n86
201,0,nboqhl3,n90
202,0,n1hur6tp,n95
203,0,nmcg7xk,n141
204,0,n6v5hvi,n184
205,0,n1985uyk,n206
206,0,n4f3lsb,n239
207,0,n1x5o87d,n38
208,0,nja5e1o,n98
209,0,n1hyp9w4,n138
210,0,n1pq70ko,n149
211,0,nfw7l20,n178
212,0,n9fu7o8,n214
213,0,n4qfwbf,n240
214,0,n1ax8csr,n28
215,0,nm687d8,n45
216,0,n19jj02v,n188
217,0,n15rvhyc,n201
218,0,n197fke7,n241
219,0,nbwxzb1,n2
220,0,nzrha46,n15
221,0,ndpbkgz,n23
222,0,n1vz4o6x,n35
223,0,n1rdgjkk,n39
224,0,n13giu59,n48
225,0,necxfso,n185
226,0,n18e52v1,n191
227,0,nzgt9e6,n198
228,0,njd0vb2,n210
229,0,n1scanvd,n242
230,0,nt1lpnt,n42
231,0,n1vnc8n9,n154
232,0,nhso13h,n213
233,0,n1p7dhwf,n139
234,0,nhiryu2,n195
235,0,nhwyey3,n243
236,0,n14932a4,n137
237,0,nog1322,n212
238,0,n63xubs,n5
239,0,n1781bp8,n205
240,0,n1dsxcj3,n197
241,0,n170zupd,n211
242,0,nv8x4g3,n216
243,1,n140af6o,undefined
244,1,n1y9wlwc,undefined
245,1,nvmypsu,undefined
246,1,nj5htqb,undefined
247,1,nkpubf4,undefined
248,1,n1yjazov,undefined
249,1,nhyvkfm,undefined
250,1,n6ol2v6,undefined
251,1,n1vstb1b,undefined
252,2,undefined,n75
253,2,undefined,n117
