mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	9	0	3/4	2/2	4	1		c.i	c	i		i		i							m	1	1	0, -3, 1		0	0
7	6	7	6a	21	21	3	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
1	0	10	8a	32	0	9	0	3/4	2/2	4	1		c.i	c	i		i		i							m	1	1	0, -3, 1		0	0
7	6	16	6b	53	21	3	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	9	20	9a	65	33	2	0	0	2/2	4	1		i.V7/iv	c	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
20	17	38	17a	129	65	4	0	0	2/2	4	1		VI.I	c	VI		I		I							M	1	0	0, 4, 1		0	0
46	41	89	41a	321	164	8	0	0	2/2	4	1		i.i	c	i		i		i							m	1	1	0, -3, 1		0	0
51	46	94	46a	341	184	3	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
54	49	97	49a	353	196	8	0	0	2/2	4	1		i.i	c	i		i		i							m	1	1	0, -3, 1		0	0
59	54	102	54a	373	216	2	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
62	57	105	57a	385	228	1	0	0	2/2	4	1		i.V6/iv	c	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
78	72	121	72a	897/2	583/2	8.5	0	7/8	2/2	4	1		I.I[I	c	I	I	I		I							M	1	0	0, 4, 1		0	0
82	76	125	76a	464	307	1	3/4	3/4	2/2	4	1		V.ii6]	c	V	IV	ii6		ii		6					m	1	0	-1, 3, 2		2	-1
78	72	128	78a	945/2	583/2	8.5	0	7/8	2/2	4	1		I.I[I	c	I	I	I		I							M	1	0	0, 4, 1		0	0
82	76	132	76b	488	307	1	3/4	3/4	2/2	4	1		V.ii6]	c	V	IV	ii6		ii		6					m	1	0	-1, 3, 2		2	-1
89	82	139	82a	509	328	1	0	0	2/2	4	1		I.V[V	c	I	V	V		V							M	1	0	1, 5, 2		1	1
85	78	144	86a	1057/2	631/2	0.5	0	7/8	2/2	4	1		V	c	V		V		V							M	1	0	1, 5, 2		1	1
89	82	148	82b	541	328	1	0	0	2/2	4	1		I.V[V	c	I	V	V		V							M	1	0	1, 5, 2		1	1
95	87	153	87a	561	703/2	2	0	0	2/2	4	1		i.i	c	i		i		i							m	1	1	0, -3, 1		0	0
100	92	158	92a	581	743/2	3	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
95	87	161	87b	593	703/2	2	0	0	2/2	4	1		i.i	c	i		i		i							m	1	1	0, -3, 1		0	0
100	92	166	92b	613	743/2	3	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
104	95	169	95a	625	775/2	2	0	0	2/2	4	1		i.V7/iv	c	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
126	117	191	117a	713	951/2	4	0	0	2/2	4	1		I.I	c	I		I		I							M	1	0	0, 4, 1		0	0
150	141	215	141a	809	1143/2	4	0	0	2/2	4	1		i.i	c	i		i		i							m	1	1	0, -3, 1		0	0
177	168	242	168a	917	1359/2	2	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
180	171	245	171a	929	1383/2	3	0	0	2/2	4	1		i.V7/iv	c	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
