mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	0a	0	1.0	-3	2/2	1/4	3/4			1	start-repeat		start	2
2	1	2	1a	1	4.0	-3	2/2	1	0							3
3	2	3	2a	5	4.0	-3	2/2	1	0							4
4	3	4	3a	9	4.0	-3	2/2	1	0							5
5	4	5	4a	13	4.0	-3	2/2	1	0							6
6	5	6	5a	17	4.0	-3	2/2	1	0							7
7	6	7	6a	21	4.0	-3	2/2	1	0							8
8	7	8	7a	25	4.0	-3	2/2	1	0							9
9	8	9	8a	29	3.0	-3	2/2	3/4	0						end	1, 10
1	0	10	8a	32	1.0	-3	2/2	1/4	3/4			1	start-repeat		start	2
2	1	11	1b	33	4.0	-3	2/2	1	0							3
3	2	12	2b	37	4.0	-3	2/2	1	0							4
4	3	13	3b	41	4.0	-3	2/2	1	0							5
5	4	14	4b	45	4.0	-3	2/2	1	0							6
6	5	15	5b	49	4.0	-3	2/2	1	0							7
7	6	16	6b	53	4.0	-3	2/2	1	0							8
8	7	17	7b	57	4.0	-3	2/2	1	0							9
9	8	18	8b	61	3.0	-3	2/2	3/4	0						end	1, 10
10	8	19	8b	64	1.0	-3	2/2	1/4	3/4			1			start	11
11	9	20	9a	65	4.0	-3	2/2	1	0							12
12	10	21	10a	69	4.0	-3	2/2	1	0							13
13	11	22	11a	73	4.0	-3	2/2	1	0							14
14	12	23	12a	77	4.0	-3	2/2	1	0							15
15	13	24	13a	81	4.0	-3	2/2	1	0							16
16	14	25	14a	85	4.0	-3	2/2	1	0							17
17	15	26	15a	89	4.0	-3	2/2	1	0							18
18	16	27	16a	93	3.0	-3	2/2	3/4	0						end	10, 19
10	8	28	16a	96	1.0	-3	2/2	1/4	3/4			1			start	11
11	9	29	9b	97	4.0	-3	2/2	1	0							12
12	10	30	10b	101	4.0	-3	2/2	1	0							13
13	11	31	11b	105	4.0	-3	2/2	1	0							14
14	12	32	12b	109	4.0	-3	2/2	1	0							15
15	13	33	13b	113	4.0	-3	2/2	1	0							16
16	14	34	14b	117	4.0	-3	2/2	1	0							17
17	15	35	15b	121	4.0	-3	2/2	1	0							18
18	16	36	16b	125	3.0	-3	2/2	3/4	0						end	10, 19
19	16	37	16b	128	1.0	-3	2/2	1/4	3/4			1			start	20
20	17	38	17a	129	4.0	-3	2/2	1	0							21
21	18	39	18a	133	4.0	-3	2/2	1	0							22
22	19	40	19a	137	4.0	-3	2/2	1	0							23
23	20	41	20a	141	4.0	-3	2/2	1	0							24
24	21	42	21a	145	4.0	-3	2/2	1	0							25
25	22	43	22a	149	4.0	-3	2/2	1	0							26
26	23	44	23a	153	4.0	-3	2/2	1	0							27
27	24	45	24a	157	3.0	-3	2/2	3/4	0						end	19, 28
19	16	46	24a	160	1.0	-3	2/2	1/4	3/4			1			start	20
20	17	47	17b	161	4.0	-3	2/2	1	0							21
21	18	48	18b	165	4.0	-3	2/2	1	0							22
22	19	49	19b	169	4.0	-3	2/2	1	0							23
23	20	50	20b	173	4.0	-3	2/2	1	0							24
24	21	51	21b	177	4.0	-3	2/2	1	0							25
25	22	52	22b	181	4.0	-3	2/2	1	0							26
26	23	53	23b	185	4.0	-3	2/2	1	0							27
27	24	54	24b	189	3.0	-3	2/2	3/4	0						end	19, 28
28	24	55	24b	192	1.0	-3	2/2	1/4	3/4			1			start	29
29	25	56	25a	193	4.0	-3	2/2	1	0							30
30	26	57	26a	197	4.0	-3	2/2	1	0							31
31	27	58	27a	201	4.0	-3	2/2	1	0							32
32	28	59	28a	205	4.0	-3	2/2	1	0							33
33	29	60	29a	209	4.0	-3	2/2	1	0							34
34	30	61	30a	213	4.0	-3	2/2	1	0							35
35	31	62	31a	217	4.0	-3	2/2	1	0							36
36	32	63	32a	221	4.0	-3	2/2	1	0							37
