@pageIndex,Nodes.Node.Id,Nodes.Node.ClassName,Nodes.Node.Top,Nodes.Node.Left,Nodes.Node.Width,Nodes.Node.Height,Nodes.Node.Mask,Nodes.Node.Data.DataItem,Nodes.Node.Inlinks,Nodes.Node.Data,Nodes.Node.Outlinks,staff_id,spacing_run_id,dorico_event_id,clef_type,clef_hotspot,clef_required_stave_lines,clef_stave_position,dorico_event_ids,grace_note,duration_beats,onset_beats,pitch_octave,midi_pitch_code,normalized_pitch_step,key_signature_description,time_signature_description,text,pitch
0,0,noteheadBlack,679,904,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '0.000000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '75'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'Eb'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7506'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,89 251 259,0,5.685189497531519e+18,7506,,,,,,,0.5,0.0,5,75,Eb,,,,Eb5
0,1,noteheadBlack,668,940,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '77'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'F'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7508'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,90 251 259,0,5.685189497531519e+18,7508,,,,,,,0.5,0.5,5,77,F,,,,F5
0,2,noteheadBlack,658,1013,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '1.000000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '79'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'G'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7509'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,91 252 260,0,5.685189497531519e+18,7509,,,,,,,0.5,1.0,5,79,G,,,,G5
0,3,noteheadBlack,679,1050,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '1.500000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '75'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'Eb'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7511'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,92 252 260,0,5.685189497531519e+18,7511,,,,,,,0.5,1.5,5,75,Eb,,,,Eb5
0,4,noteheadBlack,668,1086,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '2.000000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '77'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'F'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7512'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,93 94 260,0,5.685189497531519e+18,7512,,,,,,,0.5,2.0,5,77,F,,,,F5
0,5,noteheadBlack,690,1123,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '2.500000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '74'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'D'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7513'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,95 96 260,0,5.685189497531519e+18,7513,,,,,,,0.5,2.5,5,74,D,,,,D5
0,6,noteheadBlack,679,1159,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '3.000000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '75'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'Eb'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7514'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,97 253 261,0,5.685189497531519e+18,7514,,,,,,,0.5,3.0,5,75,Eb,,,,Eb5
0,7,noteheadBlack,700,1195,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '3.500000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '72'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'C'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7516'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,98 253 261,0,5.685189497531519e+18,7516,,,,,,,0.5,3.5,5,72,C,,,,C5
0,8,noteheadBlack,690,1232,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '4.000000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '5'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '74'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'D'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7517'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,99 100 261,0,5.685189497531519e+18,7517,,,,,,,0.5,4.0,5,74,D,,,,D5
0,9,noteheadBlack,711,1268,29,24,0: 12 1: 12 0: 15 1: 16 0: 11 1: 19 0: 8 1: 21 0: 7 1: 23 0: 5 1: 24 0: 4 1: 26 0: 2 1: 27 0: 2 1: 27 0: 1 1: 28 0: 1 1: 27 0: 1 1: 28 0: 1 1: 28 0: 1 1: 27 0: 2 1: 27 0: 2 1: 26 0: 3 1: 25 0: 4 1: 24 0: 5 1: 23 0: 6 1: 22 0: 8 1: 20 0: 9 1: 18 0: 13 1: 14 0: 16 1: 11 0: 14,"[{'@key': 'duration_beats', '@type': 'float', '#text': '0.500000'}, {'@key': 'onset_beats', '@type': 'float', '#text': '4.500000'}, {'@key': 'pitch_octave', '@type': 'int', '#text': '4'}, {'@key': 'midi_pitch_code', '@type': 'int', '#text': '71'}, {'@key': 'normalized_pitch_step', '@type': 'str', '#text': 'B'}, {'@key': 'dorico_event_id', '@type': 'int', '#text': '7518'}, {'@key': 'staff_id', '@type': 'int', '#text': '0'}, {'@key': 'spacing_run_id', '@type': 'int', '#text': '5685189497531519029'}]",,,102 103 261,0,5.685189497531519e+18,7518,,,,,,,0.5,4.5,4,71,B,,,,B4
