mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	0	0	0	0.0		0	3/4	Tempo	4/4	1	1	0										Allegromanontanto	108.0	1.0							
1	0	0	0	0.0		0	3/4	Dynamic	4/4	1	1	0						p													
1	0	0	0	1.0		0	3/4	Chord	4/4	1	1	1/4			1/4	1	0														
2	1	1	1	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	1														
2	1	3	3	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16after		1/16	1	2														
2	1	3	3	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16after		1/16	1	3														
2	1	3	3	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16after		1/16	1	4														
2	1	3	3	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	5														
2	1	7/2	7/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	6								0						
2	1	4	4	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	7								0						
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	8														
2	1	1	1	0.0		0	0	Dynamic	4/4	2	1	0						p													
2	1	1	1	3.0		0	0	Chord	4/4	2	1	3/4			1/2	3/2	9								1						
2	1	4	4	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	10														
2	1	1	1	0.0		0	0	Dynamic	4/4	3	1	0						p													
2	1	1	1	3.0		0	0	Chord	4/4	3	1	3/4			1/2	3/2	11								2						
2	1	4	4	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	12														
2	1	1	1	0.0		0	0	Dynamic	4/4	4	1	0						p													
2	1	1	1	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	13														
2	1	3/2	3/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	14														
