mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	1a	0	1.0	-3	2/2	1/4	3/4						firstMeasure	2
2	2	2	2a	1	4.0	-3	2/2	1	0							3
3	3	3	3a	5	4.0	-3	2/2	1	0							4
4	4	4	4a	9	4.0	-3	2/2	1	0							5
5	5	5	5a	13	4.0	-3	2/2	1	0							6
6	6	6	6a	17	4.0	-3	2/2	1	0							7
7	7	7	7a	21	4.0	-3	2/2	1	0							8
8	8	8	8a	25	4.0	-3	2/2	1	0							9
9	9	9	9a	29	3.0	-3	2/2	3/4	0						end	1, 10
1	1	10	1b	32	1.0	-3	2/2	1/4	3/4						firstMeasure	2
2	2	11	2b	33	4.0	-3	2/2	1	0							3
3	3	12	3b	37	4.0	-3	2/2	1	0							4
4	4	13	4b	41	4.0	-3	2/2	1	0							5
5	5	14	5b	45	4.0	-3	2/2	1	0							6
6	6	15	6b	49	4.0	-3	2/2	1	0							7
7	7	16	7b	53	4.0	-3	2/2	1	0							8
8	8	17	8b	57	4.0	-3	2/2	1	0							9
9	9	18	9b	61	3.0	-3	2/2	3/4	0						end	1, 10
10	10	19	10a	64	1.0	-3	2/2	1/4	3/4						start	11
11	11	20	11a	65	4.0	-3	2/2	1	0							12
12	12	21	12a	69	4.0	-3	2/2	1	0							13
13	13	22	13a	73	4.0	-3	2/2	1	0							14
14	14	23	14a	77	4.0	-3	2/2	1	0							15
15	15	24	15a	81	4.0	-3	2/2	1	0							16
16	16	25	16a	85	4.0	-3	2/2	1	0							17
17	17	26	17a	89	4.0	-3	2/2	1	0							18
18	18	27	18a	93	3.0	-3	2/2	3/4	0						end	10, 19
10	10	28	10b	96	1.0	-3	2/2	1/4	3/4						start	11
11	11	29	11b	97	4.0	-3	2/2	1	0							12
12	12	30	12b	101	4.0	-3	2/2	1	0							13
13	13	31	13b	105	4.0	-3	2/2	1	0							14
14	14	32	14b	109	4.0	-3	2/2	1	0							15
15	15	33	15b	113	4.0	-3	2/2	1	0							16
16	16	34	16b	117	4.0	-3	2/2	1	0							17
17	17	35	17b	121	4.0	-3	2/2	1	0							18
18	18	36	18b	125	3.0	-3	2/2	3/4	0						end	10, 19
19	19	37	19a	128	1.0	-3	2/2	1/4	3/4						start	20
20	20	38	20a	129	4.0	-3	2/2	1	0							21
21	21	39	21a	133	4.0	-3	2/2	1	0							22
22	22	40	22a	137	4.0	-3	2/2	1	0							23
23	23	41	23a	141	4.0	-3	2/2	1	0							24
24	24	42	24a	145	4.0	-3	2/2	1	0							25
25	25	43	25a	149	4.0	-3	2/2	1	0							26
26	26	44	26a	153	4.0	-3	2/2	1	0							27
27	27	45	27a	157	3.0	-3	2/2	3/4	0						end	19, 28
19	19	46	19b	160	1.0	-3	2/2	1/4	3/4						start	20
20	20	47	20b	161	4.0	-3	2/2	1	0							21
21	21	48	21b	165	4.0	-3	2/2	1	0							22
22	22	49	22b	169	4.0	-3	2/2	1	0							23
23	23	50	23b	173	4.0	-3	2/2	1	0							24
24	24	51	24b	177	4.0	-3	2/2	1	0							25
25	25	52	25b	181	4.0	-3	2/2	1	0							26
26	26	53	26b	185	4.0	-3	2/2	1	0							27
27	27	54	27b	189	3.0	-3	2/2	3/4	0						end	19, 28
28	28	55	28a	192	1.0	-3	2/2	1/4	3/4						start	29
29	29	56	29a	193	4.0	-3	2/2	1	0							30
30	30	57	30a	197	4.0	-3	2/2	1	0							31
31	31	58	31a	201	4.0	-3	2/2	1	0							32
32	32	59	32a	205	4.0	-3	2/2	1	0							33
33	33	60	33a	209	4.0	-3	2/2	1	0							34
34	34	61	34a	213	4.0	-3	2/2	1	0							35
35	35	62	35a	217	4.0	-3	2/2	1	0							36
36	36	63	36a	221	4.0	-3	2/2	1	0							37
37	37	64	37a	225	4.0	-3	2/2	1	0							38
38	38	65	38a	229	4.0	-3	2/2	1	0							39
39	39	66	39a	233	4.0	-3	2/2	1	0							40
40	40	67	40a	237	4.0	-3	2/2	1	0							41
41	41	68	41a	241	4.0	-3	2/2	1	0							42
42	42	69	42a	245	4.0	-3	2/2	1	0							43
