mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	9.0	0	3/4	2/2	1	1		.c.i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	3	9	9	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
4	3	10	10	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	3	11	11	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
4	3	12	12	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
5	4	13	13	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
6	5	17	17	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
7	6	21	21	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
7	6	24	24	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
8	7	25	25	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	7	26	26	1.0	1/4	1/4	2/2	1	1		.It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
8	7	27	27	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	7	28	28	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
9	8	29	29	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
11	9	33	33	2.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
11	9	35	35	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
12	10	37	37	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
12	10	39	39	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
13	11	41	41	2.0	0	0	2/2	1	1		iv6(9)	c	i		iv6(9)		iv		6	9					m	1	1	-4, 0, -1	1	-1	-4
13	11	43	43	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
13	11	44	44	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
14	12	45	45	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
15	13	49	49	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
16	14	53	53	1.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
16	14	54	54	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
16	14	55	55	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
16	14	56	56	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
17	15	57	57	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
17	15	58	58	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
17	15	59	59	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
17	15	60	60	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
18	16	61	61	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
20	17	65	65	4.0	0	0	2/2	1	1		VI.I	c	VI		I		I								M	1	0	0, 4, 1		0	0
21	18	69	69	4.0	0	0	2/2	1	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
22	19	73	73	2.0	0	0	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
22	19	75	75	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
23	20	77	77	2.0	0	0	2/2	1	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
23	20	79	79	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
24	21	81	81	2.0	0	0	2/2	1	1		#viio43/ii	c	VI		#viio43/ii		#vii	o	43		ii				o7	1	0	1, -2, 7, 4		7	1
24	21	83	83	2.0	1/2	1/2	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
25	22	85	85	2.0	0	0	2/2	1	1		viio43	c	VI		viio43		vii	o	43						o7	1	0	-1, -4, 5, 2		5	-1
25	22	87	87	2.0	1/2	1/2	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
26	23	89	89	1.0	0	0	2/2	1	1		ii6(94)	c	VI		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1
26	23	90	90	1.0	1/4	1/4	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
26	23	91	91	1.0	1/2	1/2	2/2	1	1		V(64)	c	VI		V(64)		V			64					M	1	0	1, 0, 4		1	1
26	23	92	92	1.0	3/4	3/4	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
27	24	93	93	2.0	0	0	2/2	1	1		I(974)	c	VI		I(974)		I			974					M	1	0	0, -1, 1	2, 5	0	0
27	24	95	95	2.0	1/2	1/2	2/2	1	1		I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
29	25	97	97	4.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
30	26	101	101	4.0	0	0	2/2	1	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
31	27	105	105	0.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
31	27	105	105	4.0	0	0	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
32	28	109	109	4.0	0	0	2/2	1	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
33	29	113	113	4.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
34	30	117	117	4.0	0	0	2/2	1	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
35	31	121	121	2.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
35	31	123	123	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
36	32	125	125	2.0	0	0	2/2	1	1		vi7	c	VI		vi7		vi		7						mm7	1	0	3, 0, 4, 1		3	3
36	32	127	127	1.0	1/2	1/2	2/2	1	1		V6	c	VI		V6		V		6						M	1	0	5, 2, 1		1	5
36	32	128	128	1.0	3/4	3/4	2/2	1	1		V65	c	VI		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
37	33	129	129	4.0	0	0	2/2	1	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
38	34	133	133	4.0	0	0	2/2	1	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
39	35	137	137	2.0	0	0	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
39	35	139	139	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
40	36	141	141	2.0	0	0	2/2	1	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
40	36	143	143	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
41	37	145	145	2.0	0	0	2/2	1	1		V2/ii	c	VI		V2/ii		V		2		ii				Mm7	1	0	1, 3, 7, 4		3	1
41	37	147	147	2.0	1/2	1/2	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
42	38	149	149	1.0	0	0	2/2	1	1		viio64	c	VI		viio64		vii	o	64						o	1	0	-1, 5, 2		5	-1
42	38	150	150	1.0	1/4	1/4	2/2	1	1		V2	c	VI		V2		V		2						Mm7	1	0	-1, 1, 5, 2		1	-1
42	38	151	151	1.0	1/2	1/2	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
42	38	152	152	1.0	3/4	3/4	2/2	1	1		I+6	c	VI		I+6		I	+	6						+	1	0	4, 8, 0		0	4
43	39	153	153	1.0	0	0	2/2	1	1		IV	c	VI		IV		IV								M	1	0	-1, 3, 0		-1	-1
43	39	154	154	1.0	1/4	1/4	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
43	39	155	155	6.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
44	40		157		0	0	2/2	1	1	1	I(94)	c	VI		I(94)		I			94					M	1	0	0, -1, 1	2	0	0
44	40		159		1/2	1/2	2/2	1	1	1	I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
46	42	161	165	8.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
48	44	169	173	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
48	44	170	174	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
48	44	171	175	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
48	44	172	176	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
49	45	173	177	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
50	46	177	181	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
51	47	181	185	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
51	47	184	188	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
52	48	185	189	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
52	48	186	190	1.0	1/4	1/4	2/2	1	1		.It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
52	48	187	191	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
52	48	188	192	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
53	49	189	193	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
54	50	193	197	8.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
56	52	201	205	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
56	52	202	206	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
56	52	203	207	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
56	52	204	208	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
57	53	205	209	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
58	54	209	213	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
59	55	213	217	2.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
59	55	215	219	2.0	1/2	1/2	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
60	56	217	221	1.0	0	0	2/2	1	1		i64	c	v		i64		i		64						m	1	1	1, 0, -3		0	1
60	56	218	222	1.0	1/4	1/4	2/2	1	1		VI	c	v		VI		VI								M	1	1	-4, 0, -3		-4	-4
60	56	219	223	1.0	1/2	1/2	2/2	1	1		V65/V	c	v		V65/V		V		65		V				Mm7	1	1	6, 3, 0, 2		2	6
60	56	220	224	1.0	3/4	3/4	2/2	1	1		V7	c	v		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
61	57	221	225	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
62	58	225	229	1.0	0	0	2/2	1	1		i.V6/iv	c	i		V6/iv		V		6		iv				M	1	1	4, 1, 0		0	4
62	58	226	230	1.0	1/4	1/4	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
62	58	227	231	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
63	59	229	233	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
63	59	231	235	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
64	60	233	237	2.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
64	60	235	239	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
64	60	236	240	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
65	61	237	241	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
