mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	1.0	-3	2/2	1/4	3/4			1			start	2
2	1	1	1	4.0	-3	2/2	1	0							3
3	2	5	5	4.0	-3	2/2	1	0							4
4	3	9	9	4.0	-3	2/2	1	0							5
5	4	13	13	4.0	-3	2/2	1	0							6
6	5	17	17	4.0	-3	2/2	1	0							7
7	6	21	21	4.0	-3	2/2	1	0							8
8	7	25	25	4.0	-3	2/2	1	0							9
9	8	29	29	3.0	-3	2/2	3/4	0						end	1, 10
10	8	32	32	1.0	-3	2/2	1/4	3/4			1			start	11
11	9	33	33	4.0	-3	2/2	1	0							12
12	10	37	37	4.0	-3	2/2	1	0							13
13	11	41	41	4.0	-3	2/2	1	0							14
14	12	45	45	4.0	-3	2/2	1	0							15
15	13	49	49	4.0	-3	2/2	1	0							16
16	14	53	53	4.0	-3	2/2	1	0							17
17	15	57	57	4.0	-3	2/2	1	0							18
18	16	61	61	3.0	-3	2/2	3/4	0						end	10, 19
19	16	64	64	1.0	-3	2/2	1/4	3/4			1			start	20
20	17	65	65	4.0	-3	2/2	1	0							21
21	18	69	69	4.0	-3	2/2	1	0							22
22	19	73	73	4.0	-3	2/2	1	0							23
23	20	77	77	4.0	-3	2/2	1	0							24
24	21	81	81	4.0	-3	2/2	1	0							25
25	22	85	85	4.0	-3	2/2	1	0							26
26	23	89	89	4.0	-3	2/2	1	0							27
27	24	93	93	3.0	-3	2/2	3/4	0						end	19, 28
28	24	96	96	1.0	-3	2/2	1/4	3/4			1				29
29	25	97	97	4.0	-3	2/2	1	0						start	30
30	26	101	101	4.0	-3	2/2	1	0							31
31	27	105	105	4.0	-3	2/2	1	0							32
32	28	109	109	4.0	-3	2/2	1	0							33
33	29	113	113	4.0	-3	2/2	1	0							34
34	30	117	117	4.0	-3	2/2	1	0							35
35	31	121	121	4.0	-3	2/2	1	0							36
36	32	125	125	4.0	-3	2/2	1	0							37
37	33	129	129	4.0	-3	2/2	1	0							38
38	34	133	133	4.0	-3	2/2	1	0							39
39	35	137	137	4.0	-3	2/2	1	0							40
40	36	141	141	4.0	-3	2/2	1	0							41
41	37	145	145	4.0	-3	2/2	1	0							42
42	38	149	149	4.0	-3	2/2	1	0							43
43	39	153	153	4.0	-3	2/2	1	0							44, 45
44	40		157	4.0	-3	2/2	1	0	1					end	29
45	41	157	161	4.0	-3	2/2	1	0	2						46
46	42	161	165	4.0	-3	2/2	1	0							47
47	43	165	169	4.0	-3	2/2	1	0							48
48	44	169	173	4.0	-3	2/2	1	0							49
49	45	173	177	4.0	-3	2/2	1	0							50
50	46	177	181	4.0	-3	2/2	1	0							51
51	47	181	185	4.0	-3	2/2	1	0							52
