	measure_score_start	measure_score_end	measure_unfold_start	measure_unfold_end	seconds_start	seconds_end
α	0.75	8.75	0.75	8.75	0.567006803	7.38104308375
β	0.75	16.75	8.75	24.75	7.38104308375	21.8238548755
γ	8.75	24.75	24.75	40.75	21.8238548755	37.495283447
δ	16.75	40.999	40.75	64.999	37.495283447	59.309160998
ε	25	39.999	65	79.999	59.309160998	72.699387755
ζ	41	79.75	80	118.75	72.699387755	106.863129252
η	73.75	87.75	118.75	132.75	106.863129252	118.96439342375
θ	79.75	95.999	132.75	148.999	118.96439342375	132.918684807
ι	88	94.999	149	155.999	132.918684807	138.739229025
κ	96	218.25	156	278.25	138.739229025	241.823151927
