mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	9	0	3/4	2/2	1	1		.c.i	c	i		i		i								m	1	1	0, -3, 1		0	0
7	6	7	6a	21	21	3	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
1	0	10	8a	32	0	9	0	3/4	2/2	1	1		.c.i	c	i		i		i								m	1	1	0, -3, 1		0	0
7	6	16	6b	53	21	3	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
11	9	20	9a	65	33	2	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
20	17	38	17a	129	65	4	0	0	2/2	1	1		VI.I	c	VI		I		I								M	1	0	0, 4, 1		0	0
46	42	88	42a	321	165	8	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
51	47	93	47a	341	185	3	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
54	50	96	50a	353	197	8	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
59	55	101	55a	373	217	2	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
62	58	104	58a	385	229	1	0	0	2/2	1	1		i.V6/iv	c	i		V6/iv		V		6		iv				M	1	1	4, 1, 0		0	4
79	74	121	74a	449	293	4	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
82	77	124	77a	464	308	1	3/4	3/4	2/2	1	1		V.ii6	c	V		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
79	74	128	74b	473	293	4	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
82	77	131	77b	488	308	1	3/4	3/4	2/2	1	1		V.ii6	c	V		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
89	83	138	83a	509	329	1	0	0	2/2	1	1		I.V[V	c	I	V	V		V								M	1	0	1, 5, 2		1	1
85	79	143	87a	528	316	1	0	3/4	2/2	1	1		V	c	V		V		V								M	1	0	1, 5, 2		1	1
89	83	147	83b	541	329	1	0	0	2/2	1	1		I.V[V	c	I	V	V		V								M	1	0	1, 5, 2		1	1
95	88	153	88a	561	349	2	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
100	93	158	93a	581	369	3	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
95	88	161	88b	593	349	2	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
100	93	166	93b	613	369	3	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
104	97	169	97a	625	385	2	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
126	119	191	119a	713	473	4	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
150	143	215	143a	809	569	4	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
177	170	242	170a	917	677	2	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
180	173	245	173a	929	689	3	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
