mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	2/2	1	1	.c.i		c	i		i		i								m	1	1	0, -3, 1		0	0	11	24	0.3142857142857143	1.25	5.0	0.2
4	3	0	0	2/2	1	1	V65		c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5	0	5	0.0	0.0	1.25	0.0
4	3	1/4	1/4	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
4	3	1/2	1/2	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
4	3	3/4	3/4	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
5	4	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	2	5	0.2857142857142857	0.25	3.75	0.0625
6	5	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	4	12	0.25	0.5	2.5	0.16666666666666666
7	6	0	0	2/2	1	1	v.iv		c	v		iv		iv								m	1	1	0, -3, 1		0	0	5	6	0.45454545454545453	0.5	1.25	0.2857142857142857
7	6	3/4	3/4	2/2	1	1	#viio7/V		c	v		#viio7/V		#vii	o	7		V				o7	1	1	7, 4, 1, -2		7	7	1	5	0.16666666666666666	0.125	1.125	0.1
8	7	0	0	2/2	1	1	V(64)		c	v		V(64)		V			64					M	1	1	2, 1, -2		2	2	0	5	0.0	0.0	1.25	0.0
8	7	1/4	1/4	2/2	1	1	.It6		c	v		It6	It	vii	o	6	b3	V				It	1	1	-3, 1, 7		7	-3	0	4	0.0	0.0	1.0	0.0
8	7	1/2	1/2	2/2	1	1	V(64)		c	v		V(64)		V			64					M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	1.0	0.0
8	7	3/4	3/4	2/2	1	1	V		c	v		V		V								M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
9	8	0	0	2/2	1	1	i\\		c	v		i		i							\\	m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.125	3.125	0.038461538461538464
11	9	0	0	2/2	1	1	i.V7/iv		c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0	0	6	0.0	0.0	1.5	0.0
11	9	1/2	1/2	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	6	0.0	0.0	1.5	0.0
12	10	0	0	2/2	1	1	VII7		c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	1.5	0.0
12	10	1/2	1/2	2/2	1	1	III		c	i		III		III								M	1	1	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.5	0.0
13	11	0	0	2/2	1	1	iv6(9)		c	i		iv6(9)		iv		6	9					m	1	1	-4, 0, -1	1	-1	-4	3	5	0.375	0.375	1.125	0.25
13	11	1/2	1/2	2/2	1	1	ii%43		c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4	0	4	0.0	0.0	1.0	0.0
13	11	3/4	3/4	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	0	2	0.0	0.0	0.5	0.0
14	12	0	0	2/2	1	1	V\\		c	i		V		V							\\	M	1	1	1, 5, 2		1	1	2	6	0.25	0.25	3.0	0.07692307692307693
15	13	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	4	12	0.25	0.5	2.5	0.16666666666666666
16	14	0	0	2/2	1	1	i6		c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3	2	5	0.2857142857142857	0.125	1.125	0.1
16	14	1/4	1/4	2/2	1	1	V2/iv		c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2	1	4	0.2	0.125	0.875	0.125
16	14	1/2	1/2	2/2	1	1	iv65		c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4	1	4	0.2	0.125	0.875	0.125
16	14	3/4	3/4	2/2	1	1	V64/iv		c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1	1	5	0.16666666666666666	0.125	1.125	0.1
17	15	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
17	15	1/4	1/4	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	0	4	0.0	0.0	1.0	0.0
17	15	1/2	1/2	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
17	15	3/4	3/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
18	16	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	4.0	0.0
20	17	0	0	2/2	1	1	VI.I		c	VI		I		I								M	1	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	4.0	0.0
21	18	0	0	2/2	1	1	V43		c	VI		V43		V		43						Mm7	1	0	-2, -5, -3, 1		-3	-2	2	5	0.2857142857142857	0.5	3.5	0.125
22	19	0	0	2/2	1	1	I6		c	VI		I6		I		6						M	1	0	0, -3, -4		-4	0	1	4	0.2	0.25	1.75	0.125
22	19	1/2	1/2	2/2	1	1	#viio6/V		c	VI		#viio6/V		#vii	o	6		V				o	1	0	-1, -4, 2		2	-1	1	4	0.2	0.25	1.75	0.125
23	20	0	0	2/2	1	1	V(4)		c	VI		V(4)		V			4					M	1	0	-3, -4, -2		-3	-3	0	4	0.0	0.0	2.0	0.0
23	20	1/2	1/2	2/2	1	1	V7		c	VI		V7		V		7						Mm7	1	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	2.0	0.0
24	21	0	0	2/2	1	1	#viio43/ii		c	VI		#viio43/ii		#vii	o	43		ii				o7	1	0	-3, -6, 3, 0		3	-3	0	4	0.0	0.0	2.0	0.0
24	21	1/2	1/2	2/2	1	1	ii6		c	VI		ii6		ii		6						m	1	0	-5, -1, -2		-2	-5	0	4	0.0	0.0	2.0	0.0
25	22	0	0	2/2	1	1	viio43		c	VI		viio43		vii	o	43						o7	1	0	-5, -8, 1, -2		1	-5	0	4	0.0	0.0	2.0	0.0
25	22	1/2	1/2	2/2	1	1	I6		c	VI		I6		I		6						M	1	0	0, -3, -4		-4	0	0	4	0.0	0.0	2.0	0.0
26	23	0	0	2/2	1	1	ii6(94)		c	VI		ii6(94)		ii		6	94					m	1	0	-3, -1, -2	0	-2	-3	1	3	0.25	0.5	0.75	0.4
26	23	1/4	1/4	2/2	1	1	ii6		c	VI		ii6		ii		6						m	1	0	-5, -1, -2		-2	-5	0	3	0.0	0.0	0.75	0.0
26	23	1/2	1/2	2/2	1	1	V(64)		c	VI		V(64)		V			64					M	1	0	-3, -4, 0		-3	-3	0	4	0.0	0.0	1.25	0.0
26	23	3/4	3/4	2/2	1	1	V7		c	VI		V7		V		7						Mm7	1	0	-3, 1, -2, -5		-3	-3	0	3	0.0	0.0	0.75	0.0
27	24	0	0	2/2	1	1	I(974)		c	VI		I(974)		I			974					M	1	0	-4, -5, -3	-2, 1	-4	-4	0	4	0.0	0.0	2.25	0.0
27	24	1/2	1/2	2/2	1	1	I\\		c	VI		I		I							\\	M	1	0	-4, 0, -3		-4	-4	1	3	0.25	0.25	0.75	0.25
29	25	0	0	2/2	1	1	V		c	VI		V		V								M	1	0	-3, 1, -2		-3	-3	0	6	0.0	0.0	2.0	0.0
30	26	0	0	2/2	1	1	V7/V		c	VI		V7/V		V		7		V				Mm7	1	0	-2, 2, -1, -4		-2	-2	0	7	0.0	0.0	2.25	0.0
31	27	0	0	2/2	1	1	V		c	VI		V		V								M	1	0	-3, 1, -2		-3	-3						
31	27	0	0	2/2	1	1	V7		c	VI		V7		V		7						Mm7	1	0	-3, 1, -2, -5		-3	-3	1	6	0.14285714285714285	0.25	2.0	0.1111111111111111
32	28	0	0	2/2	1	1	I		c	VI		I		I								M	1	0	-4, 0, -3		-4	-4	0	7	0.0	0.0	2.25	0.0
33	29	0	0	2/2	1	1	V		c	VI		V		V								M	1	0	-3, 1, -2		-3	-3	2	7	0.2222222222222222	0.5	3.5	0.125
34	30	0	0	2/2	1	1	V7/V		c	VI		V7/V		V		7		V				Mm7	1	0	-2, 2, -1, -4		-2	-2	0	9	0.0	0.0	4.0	0.0
35	31	0	0	2/2	1	1	V		c	VI		V		V								M	1	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	2.25	0.0
35	31	1/2	1/2	2/2	1	1	V7		c	VI		V7		V		7						Mm7	1	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	1.75	0.0
36	32	0	0	2/2	1	1	vi7		c	VI		vi7		vi		7						mm7	1	0	-1, -4, 0, -3		-1	-1	2	4	0.3333333333333333	0.5	1.75	0.2222222222222222
36	32	1/2	1/2	2/2	1	1	V6		c	VI		V6		V		6						M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	1.25	0.0
36	32	3/4	3/4	2/2	1	1	V65		c	VI		V65		V		65						Mm7	1	0	1, -2, -5, -3		-3	1	0	2	0.0	0.0	0.5	0.0
37	33	0	0	2/2	1	1	I		c	VI		I		I								M	1	0	-4, 0, -3		-4	-4	0	8	0.0	0.0	4.0	0.0
38	34	0	0	2/2	1	1	V43		c	VI		V43		V		43						Mm7	1	0	-2, -5, -3, 1		-3	-2	2	5	0.2857142857142857	0.5	3.5	0.125
39	35	0	0	2/2	1	1	I6		c	VI		I6		I		6						M	1	0	0, -3, -4		-4	0	1	4	0.2	0.25	1.75	0.125
39	35	1/2	1/2	2/2	1	1	#viio6/V		c	VI		#viio6/V		#vii	o	6		V				o	1	0	-1, -4, 2		2	-1	1	4	0.2	0.25	1.75	0.125
40	36	0	0	2/2	1	1	V(4)		c	VI		V(4)		V			4					M	1	0	-3, -4, -2		-3	-3	0	4	0.0	0.0	2.25	0.0
40	36	1/2	1/2	2/2	1	1	V7		c	VI		V7		V		7						Mm7	1	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	1.75	0.0
41	37	0	0	2/2	1	1	V2/ii		c	VI		V2/ii		V		2		ii				Mm7	1	0	-3, -1, 3, 0		-1	-3	0	7	0.0	0.0	2.25	0.0
41	37	1/2	1/2	2/2	1	1	ii6		c	VI		ii6		ii		6						m	1	0	-5, -1, -2		-2	-5	0	5	0.0	0.0	1.75	0.0
42	38	0	0	2/2	1	1	viio64		c	VI		viio64		vii	o	64						o	1	0	-5, 1, -2		1	-5	0	4	0.0	0.0	1.25	0.0
42	38	1/4	1/4	2/2	1	1	V2		c	VI		V2		V		2						Mm7	1	0	-5, -3, 1, -2		-3	-5	0	3	0.0	0.0	1.0	0.0
42	38	1/2	1/2	2/2	1	1	I6		c	VI		I6		I		6						M	1	0	0, -3, -4		-4	0	0	3	0.0	0.0	0.75	0.0
