mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	diminuendo_line	HairPin:3_decresc.
1	0	0	0	0.0		0	1/4	SystemText	2/4	1	1	0								Thema							
1	0	0	0	0.0		0	1/4	Tempo	2/4	1	1	0									Allegretto	116.0	1.0				
1	0	0	0	0.5		0	1/4	Chord	2/4	1	1	1/8		1/8	1	0								0			
1	0	1/2	1/2	0.5		1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1								0			
1	0	0	0	1.0		0	1/4	Chord	2/4	1	2	1/4		1/4	1	2											
1	0	0	0	1.0		0	1/4	Chord	2/4	2	1	1/4		1/4	1	3											
2	1	1	1	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	4								0			
2	1	3/2	3/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	5								0			
2	1	2	2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	6								0			
2	1	5/2	5/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	7											
2	1	1	1	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	8											
2	1	2	2	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	9											
2	1	1	1	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	10											
2	1	2	2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	11											
3	2	3	3	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	12								1			
3	2	7/2	7/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	13								1			
3	2	4	4	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	14								1			
3	2	9/2	9/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15											
3	2	3	3	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	16											
3	2	4	4	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	17											
3	2	3	3	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	18											
3	2	4	4	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	19											
4	3	5	5	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	20											
4	3	6	6	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	21											
4	3	13/2	13/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	22											
4	3	27/4	27/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	23											
4	3	11/2	11/2	1.5		1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	24											
4	3	5	5	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	25											
4	3	6	6	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	26											
5	4	7	7	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	27								2			
