mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	diminuendo_line	HairPin:3_decresc.
1	0	0	0	0.5		0	1/4	Chord	2/4	1	1	1/8		1/8	1	0								0		
1	0	1/2	1/2	0.5		1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1								0		
1	0	0	0	1.0		0	1/4	Chord	2/4	1	2	1/4		1/4	1	2										
1	0	0	0	1.0		0	1/4	Chord	2/4	2	1	1/4		1/4	1	3										
2	1	1	1	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	4								0		
2	1	3/2	3/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	5								0		
2	1	2	2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	6								0		
2	1	5/2	5/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	7										
2	1	1	1	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	8										
2	1	2	2	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	9										
2	1	1	1	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	10										
2	1	2	2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	11										
3	2	3	3	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	12								1		
3	2	7/2	7/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	13								1		
3	2	4	4	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	14								1		
3	2	9/2	9/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15										
3	2	3	3	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	16										
3	2	4	4	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	17										
3	2	3	3	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	18										
3	2	4	4	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	19										
4	3	5	5	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	20										
4	3	6	6	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	21										
4	3	13/2	13/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	22										
4	3	27/4	27/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	23										
4	3	11/2	11/2	1.5		1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	24										
4	3	5	5	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	25										
4	3	6	6	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	26										
5	4	7	7	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	27								2		
5	4	15/2	15/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	28								2		
5	4	31/4	31/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	29								2		
5	4	8	8	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	30								2		
5	4	17/2	17/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	31								2		
5	4	35/4	35/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	32										
5	4	7	7	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	33										
5	4	7	7	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	34										
5	4	8	8	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	35										
6	5	9	9	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	36										
6	5	10	10	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	37								3		
6	5	21/2	21/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	38								3		
6	5	9	9	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	39										
6	5	10	10	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	40										
6	5	21/2	21/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	41										
6	5	9	9	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	42										
6	5	10	10	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	43										
7	6	11	11	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	44								3		
7	6	23/2	23/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	45								3		
7	6	12	12	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	46								3		
7	6	25/2	25/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	47										
7	6	11	11	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	48										
7	6	23/2	23/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	49										
7	6	12	12	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	50										
7	6	25/2	25/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	51										
7	6	11	11	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	52										
7	6	12	12	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	53										
8	7	13	13	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	54								4		
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	55								4		
8	7	14	14	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	56								4		
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	57										
8	7	13	13	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	58										
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	59										
8	7	14	14	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	60										
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	61										
8	7	13	13	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	62										
8	7	14	14	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	63										
9	8	15	15	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	64										
9	8	16	16	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	65										
9	8	33/2	33/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	66										
9	8	67/4	67/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	67										
