mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1	0a	0	0	1.0		0	1/4	2/4	2	1	1/4		1/4	1		3	57	A3	3	3
1	0	1	0a	0	0	1.0		0	1/4	2/4	1	2	1/4		1/4	1		4	64	E4	4	2
1	0	1	0a	0	0	0.5		0	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	0
1	0	1	0a	0	0	0.5		0	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	0
1	0	1	0a	1/2	1/2	0.5		1/8	3/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	1
2	1	2	1a	1	1	1.0		0	0	2/4	2	1	1/4		1/4	1		8	56	G#3	3	10
2	1	2	1a	1	1	1.0		0	0	2/4	1	2	1/4		1/4	1		4	64	E4	4	8
2	1	2	1a	1	1	0.5		0	0	2/4	1	1	1/8		1/8	1		5	71	B4	4	4
2	1	2	1a	1	1	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	4
2	1	2	1a	3/2	3/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	5
2	1	2	1a	2	2	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	57	A3	3	11
2	1	2	1a	2	2	1.0		1/4	1/4	2/4	1	2	1/4		1/4	1		4	64	E4	4	9
2	1	2	1a	2	2	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	6
2	1	2	1a	2	2	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	6
2	1	2	1a	5/2	5/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	7
3	2	3	2a	3	3	1.0		0	0	2/4	2	1	1/4		1/4	1		4	52	E3	3	18
3	2	3	2a	3	3	1.0		0	0	2/4	1	2	1/4		1/4	1		4	64	E4	4	16
3	2	3	2a	3	3	0.5		0	0	2/4	1	1	1/8		1/8	1		8	68	G#4	4	12
3	2	3	2a	3	3	0.5		0	0	2/4	1	1	1/8		1/8	1		5	71	B4	4	12
3	2	3	2a	7/2	7/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	13
3	2	3	2a	4	4	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		2	50	D3	3	19
3	2	3	2a	4	4	1.0		1/4	1/4	2/4	1	2	1/4		1/4	1		4	64	E4	4	17
3	2	3	2a	4	4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		8	68	G#4	4	14
3	2	3	2a	4	4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		5	71	B4	4	14
3	2	3	2a	9/2	9/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	15
