mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	GradualTempoChange	GradualTempoChange_(poco a poco accelerando)	GradualTempoChange_(sempre accelerando)	GradualTempoChange_ritard.	GradualTempoChange_[poco a poco accel.]	GradualTempoChange_[sempre accel.]	Ottava:8vb	Trill:trill	diminuendo_line	HairPin:3_dimin.	HairPin:3_diminuendo	HairPin:3_dim.)	HairPin:3_dim. sempre	HairPin:3_sempre dim.	HairPin:3_(dim.)	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_crescendo	HairPin:2_poco a poco cresc.	HairPin:2_sempre cresc.	HairPin:2_poco a poco crescendo	HairPin:2_(cresc.)	HairPin:2_crescendo sempre	HairPin:2_(sempre cresc.)	HairPin:2_poco a poco accel. et cresc.
1	1	1	1a	0	0	0.0	0	0	Tempo	3/4	1	1	0								Moltovivace(Schnell)[ 𝅗𝅥 . =88]	264.0	1.0
1	1	1	1a	0	0	0.0	0	0	Dynamic	3/4	21	1	0					pp
1	1	1	1a	0	0	3.0	0	0	Chord	3/4	21	1	3/4	1/2	3/2	0	X		articStaccatissimoBelow
1	1	1	1a	0	0	0.0	0	0	Dynamic	3/4	22	1	0					pp
1	1	1	1a	0	0	1.0	0	0	Chord	3/4	22	1	1/4	1/4	1	1			articStaccatissimoBelow
1	1	1	1a	1	1	1.0	1/4	1/4	Chord	3/4	22	1	1/4	1/4	1	2			articStaccatissimoBelow
1	1	1	1a	2	2	1.0	1/2	1/2	Chord	3/4	22	1	1/4	1/4	1	3			articStaccatissimoBelow
1	1	1	1a	0	0	0.0	0	0	Dynamic	3/4	23	1	0					pp
1	1	1	1a	0	0	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	4			articStaccatissimoAbove
1	1	1	1a	1	1	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	5			articStaccatissimoAbove
1	1	1	1a	2	2	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	6			articStaccatissimoAbove
1	1	1	1a	0	0	0.0	0	0	Dynamic	3/4	24	1	0					pp
1	1	1	1a	0	0	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	7			articStaccatissimoAbove
1	1	1	1a	1	1	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	8			articStaccatissimoAbove
1	1	1	1a	2	2	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	9			articStaccatissimoAbove
1	1	1	1a	0	0	0.0	0	0	Dynamic	3/4	25	1	0					pp
1	1	1	1a	0	0	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	10			articStaccatissimoAbove
1	1	1	1a	1	1	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	11			articStaccatissimoAbove
1	1	1	1a	2	2	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	12			articStaccatissimoAbove
2	2	2	2a	3	3	1.0	0	0	Chord	3/4	21	1	1/4	1/4	1	13
2	2	2	2a	4	4	1.0	1/4	1/4	Chord	3/4	21	1	1/4	1/4	1	14			articStaccatissimoBelow
2	2	2	2a	5	5	1.0	1/2	1/2	Chord	3/4	21	1	1/4	1/4	1	15			articStaccatissimoBelow
2	2	2	2a	3	3	1.0	0	0	Chord	3/4	22	1	1/4	1/4	1	16			articStaccatissimoBelow
2	2	2	2a	4	4	1.0	1/4	1/4	Chord	3/4	22	1	1/4	1/4	1	17			articStaccatissimoBelow
2	2	2	2a	5	5	1.0	1/2	1/2	Chord	3/4	22	1	1/4	1/4	1	18			articStaccatissimoBelow
2	2	2	2a	3	3	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	19			articStaccatissimoAbove
2	2	2	2a	4	4	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	20			articStaccatissimoAbove
2	2	2	2a	5	5	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	21			articStaccatissimoAbove
2	2	2	2a	3	3	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	22			articStaccatissimoAbove
2	2	2	2a	4	4	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	23			articStaccatissimoAbove
2	2	2	2a	5	5	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	24			articStaccatissimoAbove
2	2	2	2a	3	3	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	25			articStaccatissimoAbove
2	2	2	2a	4	4	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	26			articStaccatissimoAbove
2	2	2	2a	5	5	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	27			articStaccatissimoAbove
3	3	3	3a	6	6	0.0	0	0	Dynamic	3/4	1	1	0					p
3	3	3	3a	6	6	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	28	a							0
3	3	3	3a	6	6	0.0	0	0	Dynamic	3/4	2	1	0					p
3	3	3	3a	6	6	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	29								1
3	3	3	3a	6	6	0.0	0	0	Dynamic	3/4	3	1	0					p
3	3	3	3a	6	6	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	30								2
3	3	3	3a	6	6	0.0	0	0	Dynamic	3/4	4	1	0					p
3	3	3	3a	6	6	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	31								3
3	3	3	3a	6	6	0.0	0	0	Dynamic	3/4	5	1	0					p
3	3	3	3a	6	6	3.0	0	0	Chord	3/4	5	1	3/4	1/2	3/2	32								4
3	3	3	3a	6	6	0.0	0	0	Dynamic	3/4	6	1	0					p
3	3	3	3a	6	6	3.0	0	0	Chord	3/4	6	1	3/4	1/2	3/2	33								5
3	3	3	3a	6	6	1.0	0	0	Chord	3/4	21	1	1/4	1/4	1	34			articStaccatissimoBelow
3	3	3	3a	7	7	1.0	1/4	1/4	Chord	3/4	21	1	1/4	1/4	1	35			articStaccatissimoBelow
3	3	3	3a	8	8	1.0	1/2	1/2	Chord	3/4	21	1	1/4	1/4	1	36			articStaccatissimoBelow
3	3	3	3a	6	6	1.0	0	0	Chord	3/4	22	1	1/4	1/4	1	37			articStaccatissimoBelow
3	3	3	3a	7	7	1.0	1/4	1/4	Chord	3/4	22	1	1/4	1/4	1	38			articStaccatissimoBelow
3	3	3	3a	8	8	1.0	1/2	1/2	Chord	3/4	22	1	1/4	1/4	1	39			articStaccatissimoBelow
3	3	3	3a	6	6	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	40			articStaccatissimoAbove
3	3	3	3a	7	7	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	41			articStaccatissimoAbove
3	3	3	3a	8	8	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	42			articStaccatissimoAbove
3	3	3	3a	6	6	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	43			articStaccatissimoAbove
3	3	3	3a	7	7	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	44			articStaccatissimoAbove
3	3	3	3a	8	8	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	45			articStaccatissimoAbove
3	3	3	3a	6	6	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	46			articStaccatissimoAbove
3	3	3	3a	7	7	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	47			articStaccatissimoAbove
3	3	3	3a	8	8	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	48			articStaccatissimoAbove
4	4	4	4a	9	9	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	49								0
4	4	4	4a	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	50								0
4	4	4	4a	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	51								0
4	4	4	4a	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	52								0
4	4	4	4a	9	9	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	53								1
4	4	4	4a	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	54								1
4	4	4	4a	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	55								1
4	4	4	4a	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	56								1
4	4	4	4a	9	9	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	57								2
4	4	4	4a	21/2	21/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	58								2
4	4	4	4a	11	11	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	59								2
4	4	4	4a	23/2	23/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	60								2
