mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	1	1	1a	0	0	1.0	0	0	3/4	25	1	1/4	1/4	1		2	38	D2	2		10
1	1	1	1a	0	0	1.0	0	0	3/4	24	1	1/4	1/4	1		2	50	D3	3		7
1	1	1	1a	0	0	1.0	0	0	3/4	22	1	1/4	1/4	1		2	62	D4	4		1
1	1	1	1a	0	0	1.0	0	0	3/4	23	1	1/4	1/4	1		2	62	D4	4		4
1	1	1	1a	0	0	3.0	0	0	3/4	21	1	3/4	1/2	3/2	1	2	62	D4	4		0
1	1	1	1a	1	1	1.0	1/4	1/4	3/4	25	1	1/4	1/4	1		3	33	A1	1		11
1	1	1	1a	1	1	1.0	1/4	1/4	3/4	24	1	1/4	1/4	1		3	45	A2	2		8
1	1	1	1a	1	1	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		3	57	A3	3		2
1	1	1	1a	1	1	1.0	1/4	1/4	3/4	23	1	1/4	1/4	1		3	57	A3	3		5
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	25	1	1/4	1/4	1		7	37	C#2	2		12
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		7	49	C#3	3		9
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		7	61	C#4	4		3
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		7	61	C#4	4		6
2	2	2	2a	3	3	1.0	0	0	3/4	25	1	1/4	1/4	1		2	38	D2	2		25
2	2	2	2a	3	3	1.0	0	0	3/4	24	1	1/4	1/4	1		2	50	D3	3		22
2	2	2	2a	3	3	1.0	0	0	3/4	21	1	1/4	1/4	1	-1	2	62	D4	4		13
2	2	2	2a	3	3	1.0	0	0	3/4	22	1	1/4	1/4	1		2	62	D4	4		16
2	2	2	2a	3	3	1.0	0	0	3/4	23	1	1/4	1/4	1		2	62	D4	4		19
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	25	1	1/4	1/4	1		3	33	A1	1		26
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	24	1	1/4	1/4	1		3	45	A2	2		23
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		3	57	A3	3		14
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		3	57	A3	3		17
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	23	1	1/4	1/4	1		3	57	A3	3		20
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	25	1	1/4	1/4	1		4	40	E2	2		27
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		4	52	E3	3		24
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		4	64	E4	4		15
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		4	64	E4	4		18
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		4	64	E4	4		21
3	3	3	3a	6	6	1.0	0	0	3/4	25	1	1/4	1/4	1		-1	41	F2	2		46
3	3	3	3a	6	6	1.0	0	0	3/4	24	1	1/4	1/4	1		-1	53	F3	3		43
3	3	3	3a	6	6	1.0	0	0	3/4	21	1	1/4	1/4	1		-1	65	F4	4		34
3	3	3	3a	6	6	1.0	0	0	3/4	22	1	1/4	1/4	1		-1	65	F4	4		37
3	3	3	3a	6	6	1.0	0	0	3/4	23	1	1/4	1/4	1		-1	65	F4	4		40
3	3	3	3a	6	6	3.0	0	0	3/4	3	1	3/4	1/2	3/2		2	74	D5	5		30
3	3	3	3a	6	6	3.0	0	0	3/4	4	1	3/4	1/2	3/2		2	74	D5	5		31
3	3	3	3a	6	6	3.0	0	0	3/4	5	1	3/4	1/2	3/2		2	74	D5	5		32
3	3	3	3a	6	6	3.0	0	0	3/4	6	1	3/4	1/2	3/2		2	74	D5	5		33
3	3	3	3a	6	6	3.0	0	0	3/4	1	1	3/4	1/2	3/2		2	86	D6	6		28
3	3	3	3a	6	6	3.0	0	0	3/4	2	1	3/4	1/2	3/2		2	86	D6	6		29
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	25	1	1/4	1/4	1		3	33	A1	1		47
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	24	1	1/4	1/4	1		3	45	A2	2		44
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		3	57	A3	3		35
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		3	57	A3	3		38
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	23	1	1/4	1/4	1		3	57	A3	3		41
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	25	1	1/4	1/4	1		1	43	G2	2		48
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		1	55	G3	3		45
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	67	G4	4		36
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		1	67	G4	4		39
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		1	67	G4	4		42
