mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	HairPin:2_sempre cresc.	HairPin:2_cresc. sempre	HairPin:2_sempre crescendo	HairPin:2_(cresc.)	diminuendo_line	HairPin:3_sempre diminuendo	HairPin:3_(dim.)	HairPin:3_dimin.	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0									ImgleichenTempo	166.0	1.0													
1	1	0	0	0.0	0	0	SystemText	2/4	1	1	0								"<font size=""14""/>TRIO"																
1	1	0	0	0.0	0	0	Dynamic	2/4	9	1	0					p																			
1	1	0	0	0.0	0	0	StaffText	2/4	9	1	0							I.																	
1	1	0	0	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	0	X		articAccentAbove																		
2	2	2	2	0.0	0	0	StaffText	2/4	1	1	0							I.																	
2	2	3	3	0.0	1/4	1/4	Dynamic	2/4	1	1	0					other-dynamics																			
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	1	a		articAccentAbove																		
2	2	2	2	0.0	0	0	StaffText	2/4	3	1	0							I.																	
2	2	3	3	0.0	1/4	1/4	Dynamic	2/4	3	1	0					p																			
2	2	3	3	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	2			articAccentAbove																		
2	2	2	2	0.0	0	0	StaffText	2/4	5	1	0							I.																	
2	2	3	3	0.0	1/4	1/4	Dynamic	2/4	5	1	0					other-dynamics																			
2	2	3	3	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	3			articAccentAbove																		
2	2	2	2	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	4																					
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0																							0	
3	3	4	4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	5			articStaccatissimoAbove																	0	
3	3	5	5	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	6			articStaccatissimoAbove																	0	
3	3	4	4	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	7																					
3	3	4	4	0.0	0	0	Spanner	2/4	5	1	0																							1	
3	3	4	4	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	8			articStaccatissimoAbove																	1	
3	3	5	5	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	9			articStaccatissimoAbove																	1	
3	3	4	4	0.0	0	0	Spanner	2/4	9	1	0																							2	
3	3	4	4	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	10									0											2	
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	11			articStaccatissimoAbove																	0	
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	12			articStaccatissimoAbove																	0	
4	4	6	6	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	13									1												
4	4	6	6	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	14			articStaccatissimoAbove																	1	
4	4	7	7	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	15			articStaccatissimoAbove																	1	
4	4	6	6	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	16			articStaccatissimoAbove																	2	
4	4	7	7	1.0	1/4	1/4	Chord	2/4	9	1	1/4	1/4	1	17			articStaccatissimoAbove																	2	
5	5	8	8	0.0	0	0	Spanner	2/4	1	1	0																								
5	5	8	8	0.0	0	0	Spanner	2/4	1	1	0																								0
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	18									2												0
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	19									2												0
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	20									2												0
5	5	8	8	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	21									1												
5	5	8	8	0.0	0	0	Spanner	2/4	5	1	0																								
5	5	8	8	0.0	0	0	Spanner	2/4	5	1	0																								1
5	5	8	8	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	22									3												1
5	5	9	9	0.5	1/4	1/4	Chord	2/4	5	1	1/8	1/8	1	23									3												1
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	5	1	1/8	1/8	1	24									3												1
5	5	8	8	0.0	0	0	Spanner	2/4	9	1	0																								
5	5	8	8	0.0	0	0	Spanner	2/4	9	1	0																								2
5	5	8	8	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	25									4												2
5	5	9	9	1.0	1/4	1/4	Chord	2/4	9	1	1/4	1/4	1	26									4												2
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	27																					0
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	1	1	0																								
6	6	10	10	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	28																					
6	6	10	10	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	29																					1
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	5	1	0																								
6	6	10	10	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	30																					2
6	6	11	11	0.0	1/4	1/4	Spanner	2/4	9	1	0																								
7	7	12	12	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	31	X		articAccentAbove																		
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	32	a		articAccentAbove																		
8	8	15	15	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	33			articAccentAbove																		
8	8	15	15	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	34			articAccentAbove																		
8	8	14	14	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	35																					
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0																							3	
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	36			articStaccatissimoAbove																	3	
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	37			articStaccatissimoAbove																	3	
9	9	16	16	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	38																					
9	9	16	16	0.0	0	0	Spanner	2/4	5	1	0																							4	
