mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	1	1a	0	2.0	0	2/4	1/2	0					firstMeasure					2
2	2	2	2a	2	2.0	0	2/4	1/2	0										3
3	3	3	3a	4	2.0	0	2/4	1/2	0										4
4	4	4	4a	6	2.0	0	2/4	1/2	0										5
5	5	5	5a	8	2.0	0	2/4	1/2	0										6
6	6	6	6a	10	2.0	0	2/4	1/2	0										7
7	7	7	7a	12	2.0	0	2/4	1/2	0										8
8	8	8	8a	14	2.0	0	2/4	1/2	0										9
9	9	9	9a	16	2.0	0	2/4	1/2	0										10
10	10	10	10a	18	2.0	0	2/4	1/2	0										11
11	11	11	11a	20	2.0	0	2/4	1/2	0										12
12	12	12	12a	22	2.0	0	2/4	1/2	0										13
13	13	13	13a	24	2.0	0	2/4	1/2	0										14
14	14	14	14a	26	2.0	0	2/4	1/2	0										15
15	15	15	15a	28	2.0	0	2/4	1/2	0										16
16	16	16	16a	30	2.0	0	2/4	1/2	0				line						17
17	17	17	17a	32	2.0	0	2/4	1/2	0										18
18	18	18	18a	34	2.0	0	2/4	1/2	0										19
19	19	19	19a	36	2.0	0	2/4	1/2	0										20
20	20	20	20a	38	2.0	0	2/4	1/2	0										21
21	21	21	21a	40	2.0	0	2/4	1/2	0										22
22	22	22	22a	42	2.0	0	2/4	1/2	0										23
23	23	23	23a	44	2.0	0	2/4	1/2	0										24
24	24	24	24a	46	2.0	0	2/4	1/2	0										25
25	25	25	25a	48	2.0	0	2/4	1/2	0										26
26	26	26	26a	50	2.0	0	2/4	1/2	0										27
27	27	27	27a	52	2.0	0	2/4	1/2	0										28
28	28	28	28a	54	2.0	0	2/4	1/2	0										29
29	29	29	29a	56	2.0	0	2/4	1/2	0										30
30	30	30	30a	58	2.0	0	2/4	1/2	0										31
31	31	31	31a	60	2.0	0	2/4	1/2	0										32
32	32	32	32a	62	2.0	0	2/4	1/2	0				line						33
