mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	0
2	2	2	2a	2	2	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	4
2	2	2	2a	3	3	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	2
2	2	2	2a	3	3	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	3
2	2	2	2a	3	3	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	1
3	3	3	3a	4	4	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	10
3	3	3	3a	4	4	1.0	0	0	2/4	5	1	1/4	1/4	1	-1	-2	70	Bb4	4	8
3	3	3	3a	4	4	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	7
3	3	3	3a	4	4	1.0	0	0	2/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5	5
3	3	3	3a	5	5	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		0	72	C5	5	9
3	3	3	3a	5	5	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		0	84	C6	6	6
4	4	4	4a	6	6	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	16
4	4	4	4a	6	6	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	13
4	4	4	4a	6	6	1.0	0	0	2/4	5	1	1/4	1/4	1		2	74	D5	5	14
4	4	4	4a	6	6	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	11
4	4	4	4a	7	7	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	17
4	4	4	4a	7	7	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-3	75	Eb5	5	15
4	4	4	4a	7	7	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		-3	87	Eb6	6	12
5	5	5	5a	8	8	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	25
5	5	5	5a	8	8	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	21
5	5	5	5a	8	8	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	22
5	5	5	5a	8	8	1.0	0	0	2/4	1	1	1/4	1/4	1		-1	89	F6	6	18
5	5	5	5a	9	9	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	26
5	5	5	5a	9	9	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	23
5	5	5	5a	9	9	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	19
5	5	5	5a	19/2	19/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	24
5	5	5	5a	19/2	19/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	20
6	6	6	6a	10	10	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	30
6	6	6	6a	10	10	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	28
