mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	6.0	0	3/8	6/8	1	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	6	6	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	15/2	15/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	3	9	9	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	21/2	21/2	1.5	0	0	6/8	1	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
6	4	12	12	1.5	0	3/8	6/8	1	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
7	5	27/2	27/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
7	5	15	15	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
8	6	33/2	33/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	6	18	18	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	7	39/2	39/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	7	21	21	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	8	45/2	45/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	8	24	24	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	51/2	51/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	9	27	27	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	9	55/2	55/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	9	28	28	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	10	57/2	57/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
12	10	30	30	1.5	3/8	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
13	11	63/2	63/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
13	11	33	33	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	12	69/2	69/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	12	36	36	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	13	75/2	75/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	13	39	39	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	13	79/2	79/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	13	40	40	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
16	14	81/2	81/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	14	42	42	7.5	0	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
20	17	99/2	99/2	1.5	0	0	6/8	1	1	V.I	F	V		I	I							M	0	0	0, 4, 1		0	0
20	17	51	51	1.5	3/8	3/8	6/8	1	1	ii6	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
21	18	105/2	105/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
21	18	54	54	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	19	111/2	111/2	1.0	0	0	6/8	1	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
22	19	113/2	113/2	0.5	1/4	1/4	6/8	1	1	IVM7	F	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
22	19	57	57	1.0	3/8	3/8	6/8	1	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
22	19	58	58	0.5	5/8	5/8	6/8	1	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
23	20	117/2	117/2	1.5	0	0	6/8	1	1	I|PAC}	F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
23	20	60	60	1.5	3/8	3/8	6/8	1	1	I.I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
24	21	123/2	123/2	1.5	0	0	6/8	1	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	21	63	63	1.5	3/8	3/8	6/8	1	1	I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
25	22	129/2	129/2	1.5	0	0	6/8	1	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	22	66	66	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
26	23	135/2	135/2	1.5	0	0	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
26	23	69	69	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
27	24	141/2	141/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
27	24	72	72	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
28	25	147/2	147/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	25	75	75	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
29	26	153/2	153/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	26	78	78	1.5	3/8	3/8	6/8	1	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
30	27	159/2	159/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
30	27	81	81	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	27	163/2	163/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	27	82	82	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	28	165/2	165/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
32	28	84	84	1.5	0	3/8	6/8	1	1	vi.i6{	F	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
33	29	171/2	171/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
33	29	87	87	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
34	30	177/2	177/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
34	30	90	90	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
35	31	183/2	183/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
