mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	1.5	-1	6/8	3/8	3/8		1			firstMeasure					2
2	1	3/2	3.0	-1	6/8	3/4	0										3
3	2	9/2	3.0	-1	6/8	3/4	0										4
4	3	15/2	3.0	-1	6/8	3/4	0										5
5	4	21/2	1.5	-1	6/8	3/8	0										6
6	4	12	1.5	-1	6/8	3/8	3/8		1				segno				7
7	5	27/2	3.0	-1	6/8	3/4	0										8
8	6	33/2	3.0	-1	6/8	3/4	0										9
9	7	39/2	3.0	-1	6/8	3/4	0										10
10	8	45/2	3.0	-1	6/8	3/4	0										11
11	9	51/2	3.0	-1	6/8	3/4	0										12
12	10	57/2	3.0	-1	6/8	3/4	0										13
13	11	63/2	3.0	-1	6/8	3/4	0										14
14	12	69/2	3.0	-1	6/8	3/4	0										15
15	13	75/2	3.0	-1	6/8	3/4	0										16
16	14	81/2	1.5	-1	6/8	3/8	0					end	fine				1, 17, 32, -1
17	14	42	1.5	-1	6/8	3/8	3/8		1			start	1e				18
18	15	87/2	3.0	-1	6/8	3/4	0										19
19	16	93/2	3.0	-1	6/8	3/4	0										20
20	17	99/2	3.0	-1	6/8	3/4	0										21
21	18	105/2	3.0	-1	6/8	3/4	0										22
22	19	111/2	3.0	-1	6/8	3/4	0										23
23	20	117/2	3.0	-1	6/8	3/4	0										24
24	21	123/2	3.0	-1	6/8	3/4	0										25
25	22	129/2	3.0	-1	6/8	3/4	0										26
26	23	135/2	3.0	-1	6/8	3/4	0										27
27	24	141/2	3.0	-1	6/8	3/4	0										28
28	25	147/2	3.0	-1	6/8	3/4	0										29
29	26	153/2	3.0	-1	6/8	3/4	0										30
30	27	159/2	3.0	-1	6/8	3/4	0										31
31	28	165/2	1.5	-1	6/8	3/8	0					end		segno	2e	fine	17, 6
32	28	84	1.5	-1	6/8	3/8	3/8		1			start	2e				33
33	29	171/2	3.0	-1	6/8	3/4	0										34
34	30	177/2	3.0	-1	6/8	3/4	0										35
35	31	183/2	3.0	-1	6/8	3/4	0										36
36	32	189/2	3.0	-1	6/8	3/4	0										37
37	33	195/2	3.0	-1	6/8	3/4	0										38
38	34	201/2	3.0	-1	6/8	3/4	0										39
39	35	207/2	3.0	-1	6/8	3/4	0										40
40	36	213/2	3.0	-1	6/8	3/4	0										41
41	37	219/2	3.0	-1	6/8	3/4	0										42
42	38	225/2	3.0	-1	6/8	3/4	0										43
43	39	231/2	3.0	-1	6/8	3/4	0										44
44	40	237/2	3.0	-1	6/8	3/4	0										45
45	41	243/2	3.0	-1	6/8	3/4	0										46
46	42	249/2	3.0	-1	6/8	3/4	0										47
47	43	255/2	3.0	-1	6/8	3/4	0										48
48	44	261/2	3.0	-1	6/8	3/4	0										49
49	45	267/2	3.0	-1	6/8	3/4	0										50
50	46	273/2	3.0	-1	6/8	3/4	0										51
51	47	279/2	3.0	-1	6/8	3/4	0										52
52	48	285/2	3.0	-1	6/8	3/4	0										53
53	49	291/2	3.0	-1	6/8	3/4	0										54
54	50	297/2	3.0	-1	6/8	3/4	0										55
55	51	303/2	3.0	-1	6/8	3/4	0										56
56	52	309/2	3.0	-1	6/8	3/4	0										57
57	53	315/2	3.0	-1	6/8	3/4	0										58
58	54	321/2	1.5	-1	6/8	3/8	0					end		segno		fine	32, 6
