mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	6.0	0	3/8	6/8	1	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	3	2a	6	6	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	4	3a	15/2	15/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	3	4	3a	9	9	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	5	4a	21/2	21/2	1.5	0	0	6/8	1	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
6	4	6	4a	12	12	1.5	0	3/8	6/8	1	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
7	5	7	5a	27/2	27/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
7	5	7	5a	15	15	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
8	6	8	6a	33/2	33/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	6	8	6a	18	18	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	7	9	7a	39/2	39/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	7	9	7a	21	21	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	8	10	8a	45/2	45/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	8	10	8a	24	24	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	11	9a	51/2	51/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	9	11	9a	27	27	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	9	11	9a	55/2	55/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	9	11	9a	28	28	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	10	12	10a	57/2	57/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
12	10	12	10a	30	30	1.5	3/8	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
13	11	13	11a	63/2	63/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
13	11	13	11a	33	33	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	12	14	12a	69/2	69/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	12	14	12a	36	36	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	13	15	13a	75/2	75/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	13	15	13a	39	39	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	13	15	13a	79/2	79/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	13	15	13a	40	40	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
16	14	16	14a	81/2	81/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
1	0	17	14a	42	0	6.0	0	3/8	6/8	1	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	19	2b	48	6	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	20	3b	99/2	15/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	3	20	3b	51	9	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	21	4b	105/2	21/2	1.5	0	0	6/8	1	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
