mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	1	0a	0	1.5	-1	6/8	3/8	3/8		1			firstMeasure					2
2	1	2	1a	3/2	3.0	-1	6/8	3/4	0										3
3	2	3	2a	9/2	3.0	-1	6/8	3/4	0										4
4	3	4	3a	15/2	3.0	-1	6/8	3/4	0										5
5	4	5	4a	21/2	1.5	-1	6/8	3/8	0										6
6	4	6	4a	12	1.5	-1	6/8	3/8	3/8		1				segno				7
7	5	7	5a	27/2	3.0	-1	6/8	3/4	0										8
8	6	8	6a	33/2	3.0	-1	6/8	3/4	0										9
9	7	9	7a	39/2	3.0	-1	6/8	3/4	0										10
10	8	10	8a	45/2	3.0	-1	6/8	3/4	0										11
11	9	11	9a	51/2	3.0	-1	6/8	3/4	0										12
12	10	12	10a	57/2	3.0	-1	6/8	3/4	0										13
13	11	13	11a	63/2	3.0	-1	6/8	3/4	0										14
14	12	14	12a	69/2	3.0	-1	6/8	3/4	0										15
15	13	15	13a	75/2	3.0	-1	6/8	3/4	0										16
16	14	16	14a	81/2	1.5	-1	6/8	3/8	0					end	fine				1, 17, 32, -1
1	0	17	14a	42	1.5	-1	6/8	3/8	3/8		1			firstMeasure					2
2	1	18	1b	87/2	3.0	-1	6/8	3/4	0										3
3	2	19	2b	93/2	3.0	-1	6/8	3/4	0										4
4	3	20	3b	99/2	3.0	-1	6/8	3/4	0										5
5	4	21	4b	105/2	1.5	-1	6/8	3/8	0										6
6	4	22	4b	54	1.5	-1	6/8	3/8	3/8		1				segno				7
7	5	23	5b	111/2	3.0	-1	6/8	3/4	0										8
8	6	24	6b	117/2	3.0	-1	6/8	3/4	0										9
9	7	25	7b	123/2	3.0	-1	6/8	3/4	0										10
10	8	26	8b	129/2	3.0	-1	6/8	3/4	0										11
11	9	27	9b	135/2	3.0	-1	6/8	3/4	0										12
12	10	28	10b	141/2	3.0	-1	6/8	3/4	0										13
13	11	29	11b	147/2	3.0	-1	6/8	3/4	0										14
14	12	30	12b	153/2	3.0	-1	6/8	3/4	0										15
15	13	31	13b	159/2	3.0	-1	6/8	3/4	0										16
16	14	32	14b	165/2	1.5	-1	6/8	3/8	0					end	fine				1, 17, 32, -1
17	14	33	14b	84	1.5	-1	6/8	3/8	3/8		1			start	1e				18
18	15	34	15a	171/2	3.0	-1	6/8	3/4	0										19
19	16	35	16a	177/2	3.0	-1	6/8	3/4	0										20
20	17	36	17a	183/2	3.0	-1	6/8	3/4	0										21
21	18	37	18a	189/2	3.0	-1	6/8	3/4	0										22
22	19	38	19a	195/2	3.0	-1	6/8	3/4	0										23
23	20	39	20a	201/2	3.0	-1	6/8	3/4	0										24
24	21	40	21a	207/2	3.0	-1	6/8	3/4	0										25
25	22	41	22a	213/2	3.0	-1	6/8	3/4	0										26
26	23	42	23a	219/2	3.0	-1	6/8	3/4	0										27
27	24	43	24a	225/2	3.0	-1	6/8	3/4	0										28
28	25	44	25a	231/2	3.0	-1	6/8	3/4	0										29
29	26	45	26a	237/2	3.0	-1	6/8	3/4	0										30
30	27	46	27a	243/2	3.0	-1	6/8	3/4	0										31
