mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	1/4	3/8	1	1	c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	1/2	1/2	0.5	0	0	3/8	1	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	1	1	1	0.5	1/8	1/8	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	1	3/2	3/2	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
3	2	2	2	1.0	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	3	3	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	7/2	7/2	0.5	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	4	4	0.5	1/8	1/8	3/8	1	1	i64	c	i		i64	i		64					m	1	1	1, 0, -3		0	1
4	3	9/2	9/2	0.5	1/4	1/4	3/8	1	1	ii%43	c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
5	4	5	5	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
5	4	11/2	11/2	0.5	1/8	1/8	3/8	1	1	V2	c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	4	6	6	0.5	1/4	1/4	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	13/2	13/2	1.0	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
6	5	15/2	15/2	0.5	1/4	1/4	3/8	1	1	ii7	c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
7	6	8	8	1.0	0	0	3/8	1	1	III+M7(9)	c	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3
7	6	9	9	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
8	7	19/2	19/2	0.5	0	0	3/8	1	1	ii65	c	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
8	7	10	10	0.5	1/8	1/8	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	21/2	21/2	0.5	1/4	1/4	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	11	11	1.0	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
10	8	12	12	0.5	0	1/4	3/8	1	1	i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
11	9	25/2	25/2	0.5	0	0	3/8	1	1	III.ii7	c	III		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
11	9	13	13	0.5	1/8	1/8	3/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
11	9	27/2	27/2	0.5	1/4	1/4	3/8	1	1	V7	c	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
12	10	14	14	1.5	0	0	3/8	1	1	I|IAC}	c	III		I	I					IAC	}	M	1	0	0, 4, 1		0	0
12	10	15	15	0.0	1/4	1/4	3/8	1	1	{	c	III									{		1	0				
13	11	31/2	31/2	0.5	0	0	3/8	1	1	VII.ii7	c	VII		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
13	11	16	16	0.5	1/8	1/8	3/8	1	1	V	c	VII		V	V							M	1	0	1, 5, 2		1	1
13	11	33/2	33/2	0.5	1/4	1/4	3/8	1	1	V7	c	VII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
14	12	17	17	1.0	0	0	3/8	1	1	I|IAC}	c	VII		I	I					IAC	}	M	1	0	0, 4, 1		0	0
14	12	18	18	0.5	1/4	1/4	3/8	1	1	v.i{	c	v		i	i						{	m	1	1	0, -3, 1		0	0
15	13	37/2	37/2	0.5	0	0	3/8	1	1	ii%43	c	v		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
15	13	19	19	0.5	1/8	1/8	3/8	1	1	i64	c	v		i64	i		64					m	1	1	1, 0, -3		0	1
15	13	39/2	39/2	0.5	1/4	1/4	3/8	1	1	V2	c	v		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
