mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0.5	-2	3/8	1/8	1/4		1			firstMeasure					2
2	1	1/2	1.5	-2	3/8	3/8	0										3
3	2	2	1.5	-2	3/8	3/8	0										4
4	3	7/2	1.5	-2	3/8	3/8	0										5
5	4	5	1.5	-2	3/8	3/8	0										6
6	5	13/2	1.5	-2	3/8	3/8	0										7
7	6	8	1.5	-2	3/8	3/8	0										8
8	7	19/2	1.5	-2	3/8	3/8	0										9
9	8	11	1.0	-2	3/8	1/4	0				line	end	segno				1, 10, 19, 28
10	8	12	0.5	-2	3/8	1/8	1/4		1			start	1e				11
11	9	25/2	1.5	-2	3/8	3/8	0										12
12	10	14	1.5	-2	3/8	3/8	0										13
13	11	31/2	1.5	-2	3/8	3/8	0										14
14	12	17	1.5	-2	3/8	3/8	0										15
15	13	37/2	1.5	-2	3/8	3/8	0										16
16	14	20	1.5	-2	3/8	3/8	0										17
17	15	43/2	1.5	-2	3/8	3/8	0										18
18	16	23	1.0	-2	3/8	1/4	0					end		start	2e	segno	10, 1
19	16	24	0.5	-2	3/8	1/8	1/4		1			start	2e				20
20	17	49/2	1.5	-2	3/8	3/8	0										21
21	18	26	1.5	-2	3/8	3/8	0										22
22	19	55/2	1.5	-2	3/8	3/8	0										23
23	20	29	1.5	-2	3/8	3/8	0										24
24	21	61/2	1.5	-2	3/8	3/8	0										25
25	22	32	1.5	-2	3/8	3/8	0										26
26	23	67/2	1.5	-2	3/8	3/8	0										27
27	24	35	1.0	-2	3/8	1/4	0					end		start	3e	segno	19, 1
28	24	36	2.0	-2	3/8	1/2	0		1			start	3e				29
29	25	38	1.5	-2	3/8	3/8	0										30
30	26	79/2	1.5	-2	3/8	3/8	0										31
31	27	41	1.5	-2	3/8	3/8	0										32
32	28	85/2	1.5	-2	3/8	3/8	0										33
33	29	44	1.5	-2	3/8	3/8	0										34
34	30	91/2	1.5	-2	3/8	3/8	0										35
35	31	47	1.5	-2	3/8	3/8	0										36
36	32	97/2	1.5	-2	3/8	3/8	0										37
37	33	50	1.5	-2	3/8	3/8	0										38
38	34	103/2	1.5	-2	3/8	3/8	0										39
39	35	53	1.5	-2	3/8	3/8	0										40
40	36	109/2	1.5	-2	3/8	3/8	0										41
41	37	56	1.5	-2	3/8	3/8	0										42
42	38	115/2	1.5	-2	3/8	3/8	0										43
43	39	59	1.5	-2	3/8	3/8	0										44
44	40	121/2	1.5	-2	3/8	3/8	0										45
45	41	62	1.5	-2	3/8	3/8	0										46
46	42	127/2	1.5	-2	3/8	3/8	0										47
47	43	65	1.5	-2	3/8	3/8	0										48
48	44	133/2	1.5	-2	3/8	3/8	0										49
49	45	68	1.5	-2	3/8	3/8	0										50
50	46	139/2	1.5	-2	3/8	3/8	0										51
51	47	71	1.5	-2	3/8	3/8	0										52
52	48	145/2	1.5	-2	3/8	3/8	0										53
53	49	74	1.5	-2	3/8	3/8	0										54
54	50	151/2	1.5	-2	3/8	3/8	0										55
55	51	77	1.5	-2	3/8	3/8	0										56
56	52	157/2	1.5	-2	3/8	3/8	0										57
57	53	80	1.5	-2	3/8	3/8	0										58
58	54	163/2	1.5	-2	3/8	3/8	0										59
59	55	83	1.5	-2	3/8	3/8	0										60
60	56	169/2	1.0	-2	3/8	1/4	0					end					28, -1
