mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	1
1	0	0	0	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	0
2	1	1/2	1/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	7
2	1	1/2	1/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	2
2	1	1	1	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	8
2	1	1	1	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	3
2	1	5/4	5/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	4
2	1	3/2	3/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	9
2	1	3/2	3/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	C5	5	5
2	1	7/4	7/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	6
3	2	2	2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		5	71	B4	4	10
3	2	2	2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	14
3	2	2	2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	11
3	2	5/2	5/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	15
3	2	5/2	5/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	12
3	2	3	3	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	16
3	2	3	3	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	13
4	3	7/2	7/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	17
4	3	7/2	7/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	23
4	3	7/2	7/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	18
4	3	4	4	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	24
4	3	4	4	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-1	77	F5	5	19
4	3	17/4	17/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	20
4	3	9/2	9/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	25
4	3	9/2	9/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		2	74	D5	5	21
4	3	19/4	19/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	22
5	4	5	5	0.5	0	0	3/8	2	1	1/8		1/8	1		1	55	G3	3	30
5	4	5	5	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	26
5	4	11/2	11/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	27
5	4	11/2	11/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	31
5	4	11/2	11/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	28
5	4	6	6	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	32
5	4	6	6	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	29
6	5	13/2	13/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	33
6	5	13/2	13/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	39
6	5	13/2	13/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	34
6	5	7	7	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	40
6	5	7	7	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		2	74	D5	5	35
6	5	29/4	29/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	36
6	5	15/2	15/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	41
6	5	15/2	15/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-1	77	F5	5	37
