mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1	0a	0	0	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	1
1	0	1	0a	0	0	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	0
2	1	2	1a	1/2	1/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	7
2	1	2	1a	1/2	1/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	2
2	1	2	1a	1	1	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	8
2	1	2	1a	1	1	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	3
2	1	2	1a	5/4	5/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	4
2	1	2	1a	3/2	3/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	9
2	1	2	1a	3/2	3/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	C5	5	5
2	1	2	1a	7/4	7/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	6
3	2	3	2a	2	2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		5	71	B4	4	10
3	2	3	2a	2	2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	14
3	2	3	2a	2	2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	11
3	2	3	2a	5/2	5/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	15
3	2	3	2a	5/2	5/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	12
3	2	3	2a	3	3	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	16
3	2	3	2a	3	3	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	13
4	3	4	3a	7/2	7/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	17
4	3	4	3a	7/2	7/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	23
4	3	4	3a	7/2	7/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	18
4	3	4	3a	4	4	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	24
4	3	4	3a	4	4	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-1	77	F5	5	19
4	3	4	3a	17/4	17/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	20
4	3	4	3a	9/2	9/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	25
4	3	4	3a	9/2	9/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		2	74	D5	5	21
4	3	4	3a	19/4	19/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	22
5	4	5	4a	5	5	0.5	0	0	3/8	2	1	1/8		1/8	1		1	55	G3	3	30
5	4	5	4a	5	5	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	26
5	4	5	4a	11/2	11/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	27
5	4	5	4a	11/2	11/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	31
5	4	5	4a	11/2	11/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	28
5	4	5	4a	6	6	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	32
5	4	5	4a	6	6	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	29
6	5	6	5a	13/2	13/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	33
6	5	6	5a	13/2	13/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	39
6	5	6	5a	13/2	13/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	34
6	5	6	5a	7	7	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	40
6	5	6	5a	7	7	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		2	74	D5	5	35
6	5	6	5a	29/4	29/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	36
6	5	6	5a	15/2	15/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	41
6	5	6	5a	15/2	15/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-1	77	F5	5	37
6	5	6	5a	31/4	31/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	38
7	6	7	6a	8	8	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	46
7	6	7	6a	8	8	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	42
7	6	7	6a	33/4	33/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	47
7	6	7	6a	17/2	17/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	43
7	6	7	6a	17/2	17/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	48
7	6	7	6a	17/2	17/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	44
7	6	7	6a	35/4	35/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	49
7	6	7	6a	9	9	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	50
7	6	7	6a	9	9	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1	1	0	72	C5	5	45
8	7	8	7a	19/2	19/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	56
8	7	8	7a	19/2	19/2	0.25	0	0	3/8	1	1	1/16		1/16	1	-1	0	72	C5	5	51
8	7	8	7a	39/4	39/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	52
8	7	8	7a	10	10	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	57
8	7	8	7a	10	10	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		5	71	B4	4	53
8	7	8	7a	21/2	21/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	58
8	7	8	7a	43/4	43/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		3	69	A4	4	54
8	7	8	7a	87/8	87/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		5	71	B4	4	55
9	8	9	8a	11	11	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	60
9	8	9	8a	11	11	1.0	0	0	3/8	1	1	1/4		1/4	1		0	72	C5	5	59
9	8	9	8a	23/2	23/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	36	C2	2	61
1	0	10	8a	12	0	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	1
1	0	10	8a	12	0	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	0
2	1	11	1b	25/2	1/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	7
2	1	11	1b	25/2	1/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	2
2	1	11	1b	13	1	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	8
2	1	11	1b	13	1	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	3
2	1	11	1b	53/4	5/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	4
2	1	11	1b	27/2	3/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	9
2	1	11	1b	27/2	3/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	C5	5	5
2	1	11	1b	55/4	7/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	6
3	2	12	2b	14	2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		5	71	B4	4	10
3	2	12	2b	14	2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	14
3	2	12	2b	14	2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	11
3	2	12	2b	29/2	5/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	15
3	2	12	2b	29/2	5/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	12
3	2	12	2b	15	3	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	16
