mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	6/8	1	1	F.I{				F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	13	13	0.5	1.625	2.25	0.41935483870967744
3	2	3/8	3/8	6/8	1	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	3	3	0.5	0.375	0.375	0.5
4	3	0	0	6/8	1	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
4	3	3/8	3/8	6/8	1	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	3	3	0.5	0.375	0.375	0.5
5	4	0	0	6/8	1	1	I}				F	I		I	I						}	M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.75	0.0
6	4	0	3/8	6/8	1	1	I{				F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	3	3	0.5	0.375	0.375	0.5
7	5	0	0	6/8	1	1	V				F	I		V	V							M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
7	5	3/8	3/8	6/8	1	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	3	3	0.5	0.375	0.375	0.5
8	6	0	0	6/8	1	1	V				F	I		V	V							M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
8	6	3/8	3/8	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
9	7	0	0	6/8	1	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.125	0.5	0.2
9	7	3/8	3/8	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
10	8	0	0	6/8	1	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.125	0.5	0.2
10	8	3/8	3/8	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	3	3	0.5	0.375	0.375	0.5
11	9	0	0	6/8	1	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
11	9	3/8	3/8	6/8	1	1	vi				F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
11	9	1/2	1/2	6/8	1	1	ii65				F	I		ii65	ii		65					mm7	0	0	-2, 2, -1, 1		1	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	9	5/8	5/8	6/8	1	1	V				F	I		V	V							M	0	0	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	10	0	0	6/8	1	1	I|PAC}				F	I		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	2	2	0.5	0.25	0.375	0.4
12	10	3/8	3/8	6/8	1	1	I6{				F	I		I6	I		6				{	M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
13	11	0	0	6/8	1	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.125	0.5	0.2
13	11	3/8	3/8	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
14	12	0	0	6/8	1	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.125	0.5	0.2
14	12	3/8	3/8	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	3	3	0.5	0.375	0.375	0.5
15	13	0	0	6/8	1	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
15	13	3/8	3/8	6/8	1	1	vi				F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
15	13	1/2	1/2	6/8	1	1	ii65				F	I		ii65	ii		65					mm7	0	0	-2, 2, -1, 1		1	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
