mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	3/8	1	1	c.i{					c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
2	1	0	0	3/8	1	1	VI					c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.25	0.0
2	1	1/8	1/8	3/8	1	1	ii%65					c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
2	1	1/4	1/4	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
3	2	0	0	3/8	1	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	3	2	0.6	0.25	0.25	0.5
3	2	1/4	1/4	3/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
4	3	0	0	3/8	1	1	ii%65					c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	1	2	0.3333333333333333	0.0	0.25	0.0
4	3	1/8	1/8	3/8	1	1	i64					c	i		i64	i		64					m	1	1	1, 0, -3		0	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	1/4	1/4	3/8	1	1	ii%43					c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4	0	3	0.0	0.0	0.25	0.0
5	4	0	0	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
5	4	1/8	1/8	3/8	1	1	V2					c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	1	2	0.3333333333333333	0.0	0.25	0.0
5	4	1/4	1/4	3/8	1	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	2	0.0	0.0	0.25	0.0
6	5	0	0	3/8	1	1	ii%65					c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	3	3	0.5	0.1875	0.3125	0.375
6	5	1/4	1/4	3/8	1	1	ii7					c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2	0	3	0.0	0.0	0.25	0.0
7	6	0	0	3/8	1	1	III+M7(9)					c	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3	1	6	0.14285714285714285	0.0	0.5	0.0
7	6	1/4	1/4	3/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
8	7	0	0	3/8	1	1	ii65					c	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1	0	3	0.0	0.0	0.25	0.0
8	7	1/8	1/8	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.3125	0.0
8	7	1/4	1/4	3/8	1	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	2	0.3333333333333333	0.03125	0.15625	0.16666666666666666
9	8	0	0	3/8	1	1	i|PAC}					c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.5	0.0
