mc	mn	volta	barline	repeats	markers	jump_bwd	jump_fwd	play_until	next	comment
<	0			firstMeasure					2, 2, 2
2	1								3, 3, 3
3	2			end					1, 4, 4	D.C.: senza rep.
4	2			start					5, 6, 7	to volta 1, 2, 3
5	2	1		end					4
6	2	2	double						8
7	3	3	end		fine				-1
8	4			end					8, 9	repeats although start repeat is not printed
9	5			start	segno & coda				10, 10, 13	leap to coda only after the D.S. leap
10	6			startend					10, 11, 10, 11	repeated bar nested in the middle of repeated 3 bars: here, repeated both times
11	7			end					9, 12
12	8		end			segno	codab	coda	9
13	9				codab				14, 15
14	9	1		end					13
15	10	2		lastMeasure		start		fine	1
