mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0		0	3/4	Tempo	4/4	1	1	0					𝅗𝅥 =160	320.0	𝅗𝅥 	160.0	1.0
1	0	0	0	0.0		0	3/4	StaffText	4/4	1	1	0				A					
1	0	0	0	1.0		0	3/4	Chord	4/4	1	1	1/4	1/4	1	0						
2	1	1	1	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	1						
2	1	2	2	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	2						
2	1	3	3	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	3						
2	1	4	4	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4						
3	2	5	5	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	5						
4	2	6	6	0.0		0	0	StaffText	4/4	1	1	0				B					
4	2	6	6	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	6						
5	2		7	0.0	1	0	0	StaffText	4/4	1	1	0				C					
5	2		7	1.0	1	0	0	Chord	4/4	1	1	1/4	1/4	1	7						
5	2		8	1.0	1	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	8						
6	2	7	9	0.0	2	0	0	StaffText	4/4	1	1	0				D					
6	2	7	9	1.0	2	0	0	Chord	4/4	1	1	1/4	1/4	1	9						
7	3		10	0.0	3	0	0	StaffText	4/4	1	1	0				E					
7	3		10	1.0	3	0	0	Chord	4/4	1	1	1/4	1/4	1	10						
7	3		11	1.0	3	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	11						
8	4	8	12	0.0		0	0	StaffText	4/4	1	1	0				F					
8	4	8	12	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	12						
8	4	9	13	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	13						
8	4	10	14	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14						
8	4	11	15	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	15						
9	5	12	16	0.0		0	0	StaffText	4/4	1	1	0				G					
9	5	12	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	16						
9	5	13	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	17						
9	5	14	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18						
9	5	15	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19						
10	6	16	20	0.0		0	0	StaffText	4/4	1	1	0				H					
10	6	16	20	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	20						
10	6	17	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21						
10	6	18	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	22						
10	6	19	23	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	23						
11	7	20	24	0.0		0	0	StaffText	4/4	1	1	0				I					
11	7	20	24	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	24						
11	7	21	25	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	25						
11	7	22	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26						
11	7	23	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	27						
12	8	24	28	0.0		0	0	StaffText	4/4	1	1	0				J					
12	8	24	28	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	28						
12	8	25	29	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29						
13	9	26	30	0.0		0	0	StaffText	4/4	1	1	0				K					
13	9	26	30	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	30						
13	9	27	31	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	31						
14	9		32	0.0	1	0	1/2	StaffText	4/4	1	1	0				L					
14	9		32	1.0	1	0	1/2	Chord	4/4	1	1	1/4	1/4	1	32						
14	9		33	1.0	1	1/4	3/4	Chord	4/4	1	1	1/4	1/4	1	33						
15	10	28	34	0.0	2	0	0	StaffText	4/4	1	1	0				M					
15	10	28	34	1.0	2	0	0	Chord	4/4	1	1	1/4	1/4	1	34						
15	10	29	35	1.0	2	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35						
15	10	30	36	1.0	2	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36						
