mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0	1.0	-7	4/4	1/4	3/4			1			firstMeasure					2
2	1	1	1	4.0	-7	4/4	1	0											3
3	2	5	5	1.0	-7	4/4	1/4	0						end					1, 4
4	2	6	6	1.0	-7	4/4	1/4	0			1			start					5, 6, 7
5	2		7	2.0	-7	4/4	1/2	0	1		1			end					4
6	2	7	9	1.0	-7	4/4	1/4	0	2		1	double							8
7	3		10	2.0	-7	4/4	1/2	0	3			end	line		fine				-1
8	4	8	12	4.0	-7	4/4	1	0						end					9
9	5	12	16	4.0	-7	4/4	1	0						start	segno & coda				9, 10, 13
10	6	16	20	4.0	-7	4/4	1	0						startend					10, 11
11	7	20	24	4.0	-7	4/4	1	0						end					11, 12
12	8	24	28	2.0	-7	4/4	1/2	0				end	line			segno	codab	coda	9
13	9	26	30	2.0	-7	4/4	1/2	0							codab				14, 15
14	9		32	2.0	-7	4/4	1/2	1/2	1		1			end					12
15	10	28	34	3.0	-7	4/4	3/4	0	2					lastMeasure		start		fine	1
