mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		-4	44	Ab2	2	0
2	1	1	1	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	46	Bb2	2	1
2	1	2	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-7	47	Cb3	3	2
2	1	3	3	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-5	49	Db3	3	3
2	1	4	4	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-3	51	Eb3	3	4
3	2	5	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-8	52	Fb3	3	5
4	2	6	6	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	54	Gb3	3	6
5	2		7	1.0	1	0	0	4/4	1	1	1/4	1/4	1		-4	56	Ab3	3	7
5	2		8	1.0	1	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	58	Bb3	3	8
6	2	7	9	1.0	2	0	0	4/4	1	1	1/4	1/4	1		-7	59	Cb4	4	9
7	3		10	1.0	3	0	0	4/4	1	1	1/4	1/4	1		-5	61	Db4	4	10
7	3		11	1.0	3	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	11
8	4	8	12	1.0		0	0	4/4	1	1	1/4	1/4	1		-8	64	Fb4	4	12
8	4	9	13	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-6	66	Gb4	4	13
8	4	10	14	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	14
8	4	11	15	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	15
9	5	12	16	1.0		0	0	4/4	1	1	1/4	1/4	1		-7	71	Cb5	5	16
9	5	13	17	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-5	73	Db5	5	17
9	5	14	18	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	18
9	5	15	19	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-8	76	Fb5	5	19
10	6	16	20	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	78	Gb5	5	20
10	6	17	21	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-4	80	Ab5	5	21
10	6	18	22	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5	22
10	6	19	23	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-7	83	Cb6	6	23
11	7	20	24	1.0		0	0	4/4	1	1	1/4	1/4	1		-5	85	Db6	6	24
11	7	21	25	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-3	87	Eb6	6	25
11	7	22	26	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-8	88	Fb6	6	26
11	7	23	27	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-6	90	Gb6	6	27
12	8	24	28	1.0		0	0	4/4	1	1	1/4	1/4	1		1	91	G6	6	28
12	8	25	29	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		4	88	E6	6	29
13	9	26	30	1.0		0	0	4/4	1	1	1/4	1/4	1		1	91	G6	6	30
13	9	27	31	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		4	88	E6	6	31
14	9		32	1.0	1	0	1/2	4/4	1	1	1/4	1/4	1		0	84	C6	6	32
14	9		33	1.0	1	1/4	3/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	33
15	10	28	34	1.0	2	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	34
15	10	29	35	1.0	2	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	35
15	10	30	36	1.0	2	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	36
