mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	1	0a	0	0	0.0		0	3/4	Tempo	4/4	1	1	0					𝅗𝅥 =160	320.0	𝅗𝅥 	160.0	1.0
1	0	1	0a	0	0	0.0		0	3/4	StaffText	4/4	1	1	0				A					
1	0	1	0a	0	0	1.0		0	3/4	Chord	4/4	1	1	1/4	1/4	1	0						
2	1	2	1a	1	1	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	1						
2	1	2	1a	2	2	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	2						
2	1	2	1a	3	3	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	3						
2	1	2	1a	4	4	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4						
3	2	3	2a	5	5	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	5						
1	0	4	2a	6	0	0.0		0	3/4	Tempo	4/4	1	1	0					𝅗𝅥 =160	320.0	𝅗𝅥 	160.0	1.0
1	0	4	2a	6	0	0.0		0	3/4	StaffText	4/4	1	1	0				A					
1	0	4	2a	6	0	1.0		0	3/4	Chord	4/4	1	1	1/4	1/4	1	0						
2	1	5	1b	7	1	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	1						
2	1	5	1b	8	2	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	2						
2	1	5	1b	9	3	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	3						
2	1	5	1b	10	4	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4						
3	2	6	2b	11	5	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	5						
4	2	7	2b	12	6	0.0		0	0	StaffText	4/4	1	1	0				B					
4	2	7	2b	12	6	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	6						
5	2	8	2b	13	7	0.0	1	0	0	StaffText	4/4	1	1	0				C					
5	2	8	2b	13	7	1.0	1	0	0	Chord	4/4	1	1	1/4	1/4	1	7						
5	2	8	2b	14	8	1.0	1	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	8						
4	2	9	2b	15	6	0.0		0	0	StaffText	4/4	1	1	0				B					
4	2	9	2b	15	6	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	6						
6	2	10	2b	16	9	0.0	2	0	0	StaffText	4/4	1	1	0				D					
6	2	10	2b	16	9	1.0	2	0	0	Chord	4/4	1	1	1/4	1/4	1	9						
8	4	11	4a	17	12	0.0		0	0	StaffText	4/4	1	1	0				F					
8	4	11	4a	17	12	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	12						
8	4	11	4a	18	13	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	13						
8	4	11	4a	19	14	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14						
8	4	11	4a	20	15	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	15						
9	5	12	5a	21	16	0.0		0	0	StaffText	4/4	1	1	0				G					
9	5	12	5a	21	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	16						
9	5	12	5a	22	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	17						
9	5	12	5a	23	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18						
9	5	12	5a	24	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19						
9	5	13	5a	25	16	0.0		0	0	StaffText	4/4	1	1	0				G					
9	5	13	5a	25	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	16						
9	5	13	5a	26	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	17						
9	5	13	5a	27	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18						
9	5	13	5a	28	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19						
10	6	14	6a	29	20	0.0		0	0	StaffText	4/4	1	1	0				H					
10	6	14	6a	29	20	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	20						
10	6	14	6a	30	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21						
10	6	14	6a	31	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	22						
10	6	14	6a	32	23	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	23						
10	6	15	6a	33	20	0.0		0	0	StaffText	4/4	1	1	0				H					
10	6	15	6a	33	20	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	20						
10	6	15	6a	34	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21						
10	6	15	6a	35	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	22						
10	6	15	6a	36	23	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	23						
11	7	16	7a	37	24	0.0		0	0	StaffText	4/4	1	1	0				I					
11	7	16	7a	37	24	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	24						
11	7	16	7a	38	25	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	25						
11	7	16	7a	39	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26						
11	7	16	7a	40	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	27						
11	7	17	7a	41	24	0.0		0	0	StaffText	4/4	1	1	0				I					
11	7	17	7a	41	24	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	24						
11	7	17	7a	42	25	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	25						
11	7	17	7a	43	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26						
11	7	17	7a	44	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	27						
12	8	18	8a	45	28	0.0		0	0	StaffText	4/4	1	1	0				J					
12	8	18	8a	45	28	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	28						
12	8	18	8a	46	29	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29						
9	5	19	5b	47	16	0.0		0	0	StaffText	4/4	1	1	0				G					
9	5	19	5b	47	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	16						
9	5	19	5b	48	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	17						
9	5	19	5b	49	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18						
9	5	19	5b	50	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19						
13	9	20	9a	51	30	0.0		0	0	StaffText	4/4	1	1	0				K					
