mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1	0a	0	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		-4	44	Ab2	2	0
2	1	2	1a	1	1	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	46	Bb2	2	1
2	1	2	1a	2	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-7	47	Cb3	3	2
2	1	2	1a	3	3	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-5	49	Db3	3	3
2	1	2	1a	4	4	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-3	51	Eb3	3	4
3	2	3	2a	5	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-8	52	Fb3	3	5
1	0	4	2a	6	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		-4	44	Ab2	2	0
2	1	5	1b	7	1	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	46	Bb2	2	1
2	1	5	1b	8	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-7	47	Cb3	3	2
2	1	5	1b	9	3	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-5	49	Db3	3	3
2	1	5	1b	10	4	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-3	51	Eb3	3	4
3	2	6	2b	11	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-8	52	Fb3	3	5
4	2	7	2b	12	6	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	54	Gb3	3	6
5	2	8	2b	13	7	1.0	1	0	0	4/4	1	1	1/4	1/4	1		-4	56	Ab3	3	7
5	2	8	2b	14	8	1.0	1	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	58	Bb3	3	8
4	2	9	2b	15	6	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	54	Gb3	3	6
6	2	10	2b	16	9	1.0	2	0	0	4/4	1	1	1/4	1/4	1		-7	59	Cb4	4	9
8	4	11	4a	17	12	1.0		0	0	4/4	1	1	1/4	1/4	1		-8	64	Fb4	4	12
8	4	11	4a	18	13	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-6	66	Gb4	4	13
8	4	11	4a	19	14	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	14
8	4	11	4a	20	15	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	15
9	5	12	5a	21	16	1.0		0	0	4/4	1	1	1/4	1/4	1		-7	71	Cb5	5	16
9	5	12	5a	22	17	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-5	73	Db5	5	17
9	5	12	5a	23	18	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	18
9	5	12	5a	24	19	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-8	76	Fb5	5	19
9	5	13	5a	25	16	1.0		0	0	4/4	1	1	1/4	1/4	1		-7	71	Cb5	5	16
9	5	13	5a	26	17	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-5	73	Db5	5	17
9	5	13	5a	27	18	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	18
9	5	13	5a	28	19	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-8	76	Fb5	5	19
10	6	14	6a	29	20	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	78	Gb5	5	20
10	6	14	6a	30	21	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-4	80	Ab5	5	21
10	6	14	6a	31	22	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5	22
10	6	14	6a	32	23	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-7	83	Cb6	6	23
10	6	15	6a	33	20	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	78	Gb5	5	20
10	6	15	6a	34	21	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-4	80	Ab5	5	21
10	6	15	6a	35	22	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5	22
10	6	15	6a	36	23	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-7	83	Cb6	6	23
11	7	16	7a	37	24	1.0		0	0	4/4	1	1	1/4	1/4	1		-5	85	Db6	6	24
11	7	16	7a	38	25	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-3	87	Eb6	6	25
11	7	16	7a	39	26	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-8	88	Fb6	6	26
11	7	16	7a	40	27	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-6	90	Gb6	6	27
11	7	17	7a	41	24	1.0		0	0	4/4	1	1	1/4	1/4	1		-5	85	Db6	6	24
11	7	17	7a	42	25	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-3	87	Eb6	6	25
11	7	17	7a	43	26	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-8	88	Fb6	6	26
11	7	17	7a	44	27	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-6	90	Gb6	6	27
12	8	18	8a	45	28	1.0		0	0	4/4	1	1	1/4	1/4	1		1	91	G6	6	28
12	8	18	8a	46	29	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		4	88	E6	6	29
9	5	19	5b	47	16	1.0		0	0	4/4	1	1	1/4	1/4	1		-7	71	Cb5	5	16
9	5	19	5b	48	17	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-5	73	Db5	5	17
9	5	19	5b	49	18	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	18
9	5	19	5b	50	19	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-8	76	Fb5	5	19
13	9	20	9a	51	30	1.0		0	0	4/4	1	1	1/4	1/4	1		1	91	G6	6	30
13	9	20	9a	52	31	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		4	88	E6	6	31
14	9	21	9a	53	32	1.0	1	0	1/2	4/4	1	1	1/4	1/4	1		0	84	C6	6	32
14	9	21	9a	54	33	1.0	1	1/4	3/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	33
12	8	22	8b	55	28	1.0		0	0	4/4	1	1	1/4	1/4	1		1	91	G6	6	28
12	8	22	8b	56	29	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		4	88	E6	6	29
9	5	23	5c	57	16	1.0		0	0	4/4	1	1	1/4	1/4	1		-7	71	Cb5	5	16
9	5	23	5c	58	17	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-5	73	Db5	5	17
9	5	23	5c	59	18	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	18
9	5	23	5c	60	19	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-8	76	Fb5	5	19
13	9	24	9b	61	30	1.0		0	0	4/4	1	1	1/4	1/4	1		1	91	G6	6	30
13	9	24	9b	62	31	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		4	88	E6	6	31
15	10	25	10a	63	34	1.0	2	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	34
15	10	25	10a	64	35	1.0	2	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	35
15	10	25	10a	65	36	1.0	2	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	36
1	0	26	10a	66	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		-4	44	Ab2	2	0
2	1	27	1c	67	1	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	46	Bb2	2	1
2	1	27	1c	68	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-7	47	Cb3	3	2
2	1	27	1c	69	3	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-5	49	Db3	3	3
2	1	27	1c	70	4	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-3	51	Eb3	3	4
3	2	28	2c	71	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-8	52	Fb3	3	5
4	2	29	2c	72	6	1.0		0	0	4/4	1	1	1/4	1/4	1		-6	54	Gb3	3	6
7	3	30	3a	73	10	1.0	3	0	0	4/4	1	1	1/4	1/4	1		-5	61	Db4	4	10
7	3	30	3a	74	11	1.0	3	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	11
