mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0		0	5/4	Tempo	12/8	1	1	0				𝅘𝅥. =25	38.0	𝅘𝅥. 	25.0	0.0
1	0	0	0	0.21428571428571427		0	5/4	Chord	12/8	1	1	3/56	1/8	3/7	0					
1	0	3/14	3/14	0.21428571428571427		3/56	73/56	Chord	12/8	1	1	3/56	1/8	3/7	1					
1	0	3/7	3/7	0.21428571428571427		3/28	19/14	Chord	12/8	1	1	3/56	1/8	3/7	2					
1	0	9/14	9/14	0.21428571428571427		9/56	79/56	Chord	12/8	1	1	3/56	1/8	3/7	3					
1	0	6/7	6/7	0.21428571428571427		3/14	41/28	Chord	12/8	1	1	3/56	1/8	3/7	4					
1	0	15/14	15/14	0.21428571428571427		15/56	85/56	Chord	12/8	1	1	3/56	1/8	3/7	5					
1	0	9/7	9/7	0.21428571428571427		9/28	11/7	Chord	12/8	1	1	3/56	1/8	3/7	6					
1	0	0	0	0.25		0	5/4	Chord	12/8	2	1	1/16	1/16	1	7					
1	0	1/4	1/4	0.25		1/16	21/16	Chord	12/8	2	1	1/16	1/16	1	8					
1	0	1/2	1/2	0.25		1/8	11/8	Chord	12/8	2	1	1/16	1/16	1	9					
1	0	3/4	3/4	0.25		3/16	23/16	Chord	12/8	2	1	1/16	1/16	1	10					
1	0	1	1	0.25		1/4	3/2	Chord	12/8	2	1	1/16	1/16	1	11					
1	0	0	0	0.25		0	5/4	Chord	12/8	3	1	1/16	1/16	1	12					
1	0	1/4	1/4	0.25		1/16	21/16	Chord	12/8	3	1	1/16	1/16	1	13					
1	0	1/2	1/2	0.25		1/8	11/8	Chord	12/8	3	1	1/16	1/16	1	14					
1	0	3/4	3/4	0.25		3/16	23/16	Chord	12/8	3	1	1/16	1/16	1	15					
1	0	0	0	0.15		0	5/4	Chord	12/8	4	1	3/80	1/16	3/5	16					
1	0	3/20	3/20	0.15		3/80	103/80	Chord	12/8	4	1	3/80	1/16	3/5	17					
1	0	3/10	3/10	0.15		3/40	53/40	Chord	12/8	4	1	3/80	1/16	3/5	18					
1	0	9/20	9/20	0.15		9/80	109/80	Chord	12/8	4	1	3/80	1/16	3/5	19					
1	0	3/5	3/5	0.15		3/20	7/5	Chord	12/8	4	1	3/80	1/16	3/5	20					
2	1	1	1	6.0		0	0	Chord	12/8	1	1	3/2	1	3/2	21					
2	1	1	1	3.0		0	0	Chord	12/8	2	1	3/4	1/2	3/2	22					
2	1	4	4	2.0		3/4	3/4	Chord	12/8	2	1	1/2	1/2	1	23					
2	1	1	1	4.0		0	0	Chord	12/8	3	1	1	1	1	24					
2	1	1	1	3.0		0	0	Chord	12/8	4	1	3/4	1/2	3/2	25					
3	2	7	7	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	26					
3	2	15/2	15/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	27					
3	2	8	8	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	28					
3	2	7	7	0.25		0	0	Chord	12/8	2	1	1/16	1/16	1	29					
3	2	29/4	29/4	0.25		1/16	1/16	Chord	12/8	2	1	1/16	1/16	1	30					
3	2	15/2	15/2	0.25		1/8	1/8	Chord	12/8	2	1	1/16	1/16	1	31					
3	2	31/4	31/4	0.25		3/16	3/16	Chord	12/8	2	1	1/16	1/16	1	32					
3	2	8	8	0.25		1/4	1/4	Chord	12/8	2	1	1/16	1/16	1	33					
3	2	7	7	0.5		0	0	Chord	12/8	3	1	1/8	1/8	1	34					
3	2	15/2	15/2	0.5		1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	35					
3	2	7	7	0.25		0	0	Chord	12/8	4	1	1/16	1/16	1	36					
3	2	29/4	29/4	0.25		1/16	1/16	Chord	12/8	4	1	1/16	1/16	1	37					
3	2	15/2	15/2	0.25		1/8	1/8	Chord	12/8	4	1	1/16	1/16	1	38					
