mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	1	0a	0	1.0	-7	12/8	1/4	5/4			1			firstMeasure					2
2	1	2	1a	1	6.0	-7	12/8	3/2	0											3
3	2	3	2a	7	1.0	-7	12/8	1/4	0						end					1, 4
1	0	4	2a	8	1.0	-7	12/8	1/4	5/4			1			firstMeasure					2
2	1	5	1b	9	6.0	-7	12/8	3/2	0											3
3	2	6	2b	15	1.0	-7	12/8	1/4	0						end					1, 4
4	2	7	2b	16	1.0	-7	12/8	1/4	0			1			start					5, 6, 7
5	2	8	2b	17	2.0	-7	12/8	1/2	0	1		1			end					4
4	2	9	2b	19	1.0	-7	12/8	1/4	0			1			start					5, 6, 7
6	2	10	2b	20	1.0	-7	12/8	1/4	0	2		1	double							8
8	4	11	4a	21	6.0	-7	12/8	3/2	0						end					9
9	5	12	5a	27	6.0	-7	12/8	3/2	0						start	segno & coda				9, 10, 13
9	5	13	5a	33	6.0	-7	12/8	3/2	0						start	segno & coda				9, 10, 13
10	6	14	6a	39	6.0	-7	12/8	3/2	0						startend					10, 11
10	6	15	6a	45	6.0	-7	12/8	3/2	0						startend					10, 11
11	7	16	7a	51	6.0	-7	12/8	3/2	0						end					11, 12
11	7	17	7a	57	6.0	-7	12/8	3/2	0						end					11, 12
12	8	18	8a	63	2.0	-7	12/8	1/2	0				end	line			segno	codab	coda	9
9	5	19	5b	65	6.0	-7	12/8	3/2	0						start	segno & coda				9, 10, 13
13	9	20	9a	71	2.0	-7	12/8	1/2	0							codab				14, 15
14	9	21	9a	73	2.0	-7	12/8	1/2	0	1		1			end					12
12	8	22	8b	75	2.0	-7	12/8	1/2	0				end	line			segno	codab	coda	9
9	5	23	5c	77	6.0	-7	12/8	3/2	0						start	segno & coda				9, 10, 13
13	9	24	9b	83	2.0	-7	12/8	1/2	0							codab				14, 15
15	10	25	10a	85	3.0	-7	12/8	3/4	0	2					lastMeasure		start		fine	1
1	0	26	10a	88	1.0	-7	12/8	1/4	5/4			1			firstMeasure					2
2	1	27	1c	89	6.0	-7	12/8	3/2	0											3
3	2	28	2c	95	1.0	-7	12/8	1/4	0						end					1, 4
4	2	29	2c	96	1.0	-7	12/8	1/4	0			1			start					5, 6, 7
7	3	30	3a	97	2.0	-7	12/8	1/2	0	3			end	line		fine				-1
