mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1	0a	0	0	0.15		0	5/4	12/8	4	1	3/80	1/16	3/5		-4	32	Ab1	1	16
1	0	1	0a	0	0	0.25		0	5/4	12/8	3	1	1/16	1/16	1		-7	47	Cb3	3	12
1	0	1	0a	0	0	0.25		0	5/4	12/8	2	1	1/16	1/16	1		-3	51	Eb3	3	7
1	0	1	0a	0	0	0.21428571428571427		0	5/4	12/8	1	1	3/56	1/8	3/7		-7	83	Cb6	6	0
1	0	1	0a	3/20	3/20	0.15		3/80	103/80	12/8	4	1	3/80	1/16	3/5		-3	39	Eb2	2	17
1	0	1	0a	3/14	3/14	0.21428571428571427		3/56	73/56	12/8	1	1	3/56	1/8	3/7		-4	80	Ab5	5	1
1	0	1	0a	1/4	1/4	0.25		1/16	21/16	12/8	3	1	1/16	1/16	1		-3	51	Eb3	3	13
1	0	1	0a	1/4	1/4	0.25		1/16	21/16	12/8	2	1	1/16	1/16	1		-4	56	Ab3	3	8
1	0	1	0a	3/10	3/10	0.15		3/40	53/40	12/8	4	1	3/80	1/16	3/5		-4	44	Ab2	2	18
1	0	1	0a	3/7	3/7	0.21428571428571427		3/28	19/14	12/8	1	1	3/56	1/8	3/7		-3	75	Eb5	5	2
1	0	1	0a	9/20	9/20	0.15		9/80	109/80	12/8	4	1	3/80	1/16	3/5		-3	51	Eb3	3	19
1	0	1	0a	1/2	1/2	0.25		1/8	11/8	12/8	3	1	1/16	1/16	1		-4	56	Ab3	3	14
1	0	1	0a	1/2	1/2	0.25		1/8	11/8	12/8	2	1	1/16	1/16	1		-7	59	Cb4	4	9
1	0	1	0a	3/5	3/5	0.15		3/20	7/5	12/8	4	1	3/80	1/16	3/5		-4	56	Ab3	3	20
1	0	1	0a	9/14	9/14	0.21428571428571427		9/56	79/56	12/8	1	1	3/56	1/8	3/7		-7	71	Cb5	5	3
1	0	1	0a	3/4	3/4	0.25		3/16	23/16	12/8	3	1	1/16	1/16	1		-7	59	Cb4	4	15
1	0	1	0a	3/4	3/4	0.25		3/16	23/16	12/8	2	1	1/16	1/16	1		-3	63	Eb4	4	10
1	0	1	0a	6/7	6/7	0.21428571428571427		3/14	41/28	12/8	1	1	3/56	1/8	3/7		-4	68	Ab4	4	4
1	0	1	0a	1	1	0.25		1/4	3/2	12/8	2	1	1/16	1/16	1		-4	68	Ab4	4	11
1	0	1	0a	15/14	15/14	0.21428571428571427		15/56	85/56	12/8	1	1	3/56	1/8	3/7		-3	63	Eb4	4	5
1	0	1	0a	9/7	9/7	0.21428571428571427		9/28	11/7	12/8	1	1	3/56	1/8	3/7		-7	59	Cb4	4	6
2	1	2	1a	1	1	6.0		0	0	12/8	1	1	3/2	1	3/2		-4	56	Ab3	3	21
2	1	2	1a	1	1	3.0		0	0	12/8	4	1	3/4	1/2	3/2	1	-7	59	Cb4	4	25
2	1	2	1a	1	1	4.0		0	0	12/8	3	1	1	1	1	1	-3	63	Eb4	4	24
2	1	2	1a	1	1	3.0		0	0	12/8	2	1	3/4	1/2	3/2		-7	71	Cb5	5	22
2	1	2	1a	4	4	2.0		3/4	3/4	12/8	2	1	1/2	1/2	1	1	0	72	C5	5	23
3	2	3	2a	7	7	0.5		0	0	12/8	1	1	1/8	1/8	1		1	55	G3	3	26
3	2	3	2a	7	7	0.25		0	0	12/8	4	1	1/16	1/16	1	-1	-7	59	Cb4	4	36
3	2	3	2a	7	7	0.5		0	0	12/8	3	1	1/8	1/8	1	-1	-3	63	Eb4	4	34
3	2	3	2a	7	7	0.25		0	0	12/8	2	1	1/16	1/16	1	-1	0	72	C5	5	29
3	2	3	2a	29/4	29/4	0.25		1/16	1/16	12/8	4	1	1/16	1/16	1		1	55	G3	3	37
3	2	3	2a	29/4	29/4	0.25		1/16	1/16	12/8	2	1	1/16	1/16	1		1	67	G4	4	30
3	2	3	2a	15/2	15/2	0.25		1/8	1/8	12/8	4	1	1/16	1/16	1		0	48	C3	3	38
3	2	3	2a	15/2	15/2	0.25		1/8	1/8	12/8	2	1	1/16	1/16	1		4	64	E4	4	31
3	2	3	2a	15/2	15/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		4	64	E4	4	27
3	2	3	2a	15/2	15/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		4	64	E4	4	35
3	2	3	2a	31/4	31/4	0.25		3/16	3/16	12/8	2	1	1/16	1/16	1		0	60	C4	4	32
3	2	3	2a	8	8	0.25		1/4	1/4	12/8	2	1	1/16	1/16	1		1	55	G3	3	33
3	2	3	2a	8	8	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		0	72	C5	5	28
1	0	4	2a	8	0	0.15		0	5/4	12/8	4	1	3/80	1/16	3/5		-4	32	Ab1	1	16
1	0	4	2a	8	0	0.25		0	5/4	12/8	3	1	1/16	1/16	1		-7	47	Cb3	3	12
1	0	4	2a	8	0	0.25		0	5/4	12/8	2	1	1/16	1/16	1		-3	51	Eb3	3	7
1	0	4	2a	8	0	0.21428571428571427		0	5/4	12/8	1	1	3/56	1/8	3/7		-7	83	Cb6	6	0
1	0	4	2a	163/20	3/20	0.15		3/80	103/80	12/8	4	1	3/80	1/16	3/5		-3	39	Eb2	2	17
1	0	4	2a	115/14	3/14	0.21428571428571427		3/56	73/56	12/8	1	1	3/56	1/8	3/7		-4	80	Ab5	5	1
1	0	4	2a	33/4	1/4	0.25		1/16	21/16	12/8	3	1	1/16	1/16	1		-3	51	Eb3	3	13
1	0	4	2a	33/4	1/4	0.25		1/16	21/16	12/8	2	1	1/16	1/16	1		-4	56	Ab3	3	8
1	0	4	2a	83/10	3/10	0.15		3/40	53/40	12/8	4	1	3/80	1/16	3/5		-4	44	Ab2	2	18
1	0	4	2a	59/7	3/7	0.21428571428571427		3/28	19/14	12/8	1	1	3/56	1/8	3/7		-3	75	Eb5	5	2
1	0	4	2a	169/20	9/20	0.15		9/80	109/80	12/8	4	1	3/80	1/16	3/5		-3	51	Eb3	3	19
1	0	4	2a	17/2	1/2	0.25		1/8	11/8	12/8	3	1	1/16	1/16	1		-4	56	Ab3	3	14
1	0	4	2a	17/2	1/2	0.25		1/8	11/8	12/8	2	1	1/16	1/16	1		-7	59	Cb4	4	9
1	0	4	2a	43/5	3/5	0.15		3/20	7/5	12/8	4	1	3/80	1/16	3/5		-4	56	Ab3	3	20
1	0	4	2a	121/14	9/14	0.21428571428571427		9/56	79/56	12/8	1	1	3/56	1/8	3/7		-7	71	Cb5	5	3
1	0	4	2a	35/4	3/4	0.25		3/16	23/16	12/8	3	1	1/16	1/16	1		-7	59	Cb4	4	15
1	0	4	2a	35/4	3/4	0.25		3/16	23/16	12/8	2	1	1/16	1/16	1		-3	63	Eb4	4	10
1	0	4	2a	62/7	6/7	0.21428571428571427		3/14	41/28	12/8	1	1	3/56	1/8	3/7		-4	68	Ab4	4	4
