mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	0a	0	1.0	-7	12/8	1/4	5/4		1			firstMeasure	2
2	1	2	1a	1	6.0	-7	12/8	3/2	0						3
3	2	3	2a	7	1.0	-7	12/8	1/4	0						4
4	2	4	2a	8	1.0	-7	12/8	1/4	0		1				5
5	2	5	2a	9	2.0	-7	12/8	1/2	0		1				6
6	2	6	2a	11	1.0	-7	12/8	1/4	0		1				7
7	3	7	3a	12	2.0	-7	12/8	1/2	0				line		8
8	4	8	4a	14	6.0	-7	12/8	3/2	0						9
9	5	9	5a	20	6.0	-7	12/8	3/2	0						10
10	6	10	6a	26	6.0	-7	12/8	3/2	0						11
11	7	11	7a	32	6.0	-7	12/8	3/2	0				line		12
12	8	12	8a	38	2.0	-7	12/8	1/2	0						13
13	8	13	8a	40	2.0	-7	12/8	1/2	0		1				14
14	9	14	9a	42	3.0	-7	12/8	3/4	0					lastMeasure	-1
