mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0									Moderato	80.0	1.0							
1	1	0	0	0.0	0	0	Dynamic	2/2	13	1	0						pp												
1	1	0	0	0.0	0	0	Spanner	2/2	13	1	0																0		
1	1	0	0	4.0	0	0	Chord	2/2	13	1	1			1	1	0		articTenutoAbove									0		
1	1	0	0	4.0	0	0	Chord	2/2	14	1	1			1	1	1													
1	1	2	2	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	2		articAccentAbove											
2	2	4	4	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>poco a poco cresc.</i>"								0		
2	2	4	4	4.0	0	0	Chord	2/2	13	1	1			1	1	3		articTenutoAbove									0		
2	2	4	4	4.0	0	0	Chord	2/2	14	1	1			1	1	4													
2	2	6	6	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	5		articAccentAbove											
3	3	8	8	4.0	0	0	Chord	2/2	13	1	1			1	1	6		articTenutoAbove									0		
3	3	8	8	4.0	0	0	Chord	2/2	14	1	1			1	1	7													
3	3	10	10	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	8		articAccentAbove											
4	4	12	12	4.0	0	0	Chord	2/2	13	1	1			1	1	9		articTenutoAbove									0		
4	4	12	12	4.0	0	0	Chord	2/2	14	1	1			1	1	10													
4	4	14	14	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	11		articAccentAbove											
5	5	16	16	4.0	0	0	Chord	2/2	13	1	1			1	1	12		articAccentBelow									0		
5	5	16	16	4.0	0	0	Chord	2/2	14	1	1			1	1	13		articAccentAbove											
5	5	18	18	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	14		articAccentAbove											
6	6	20	20	4.0	0	0	Chord	2/2	13	1	1			1	1	15		articAccentBelow									0		
6	6	20	20	4.0	0	0	Chord	2/2	14	1	1			1	1	16		articAccentAbove											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	17		articAccentAbove											
7	7	24	24	4.0	0	0	Chord	2/2	13	1	1			1	1	18		articAccentAbove									0		
7	7	24	24	4.0	0	0	Chord	2/2	14	1	1			1	1	19		articAccentAbove											
7	7	26	26	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	20		articAccentBelow											
8	8	28	28	0.0	0	0	Tempo	2/2	1	1	0									rit.	70.0	1.0							
8	8	30	30	0.0	1/2	1/2	Tempo	2/2	1	1	0									60	60.0	0.0							
8	8	32	32	0.0	1	1	Tempo	2/2	1	1	0									152	152.0	0.0							
8	8	28	28	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>rit.</i>"								0		
8	8	28	28	4.0	0	0	Chord	2/2	13	1	1			1	1	21		articAccentAbove									0		
8	8	32	32	0.0	1	1	Spanner	2/2	13	1	0																		
8	8	29	29	1.0	1/4	1/4	Chord	2/2	13	2	1/4			1/4	1	22		articAccentBelow											
8	8	30	30	1.0	1/2	1/2	Chord	2/2	13	2	1/4			1/4	1	23		articAccentBelow											
8	8	31	31	1.0	3/4	3/4	Chord	2/2	13	2	1/4			1/4	1	24		articAccentBelow											
8	8	28	28	4.0	0	0	Chord	2/2	14	1	1			1	1	25		articAccentAbove											
8	8	31	31	0.0	3/4	3/4	Spanner	2/2	14	1	0														0	0			
8	8	32	32	0.0	1	1	Spanner	2/2	14	1	0																		
8	8	32	32	0.5	1	1	Chord	2/2	14	1	1/8			1/8	1	26		articAccentBelow											
8	8	29	29	1.0	1/4	1/4	Chord	2/2	14	2	1/4			1/4	1	27		articAccentBelow											
8	8	30	30	1.0	1/2	1/2	Chord	2/2	14	2	1/4			1/4	1	28		articAccentBelow											
8	8	31	31	1.0	3/4	3/4	Chord	2/2	14	2	1/4			1/4	1	29		articAccentBelow											
9	9	65/2	65/2	0.0	0	0	Tempo	2/2	1	1	0									atempo	152.0	1.0							
9	9	65/2	65/2	0.0	0	0	Dynamic	2/2	13	1	0						ff												
9	9	65/2	65/2	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>a tempo</i>"										
9	9	65/2	65/2	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>con passione</i>"										
9	9	65/2	65/2	4.0	0	0	Chord	2/2	13	1	1			1	1	30		articAccentAbove											
9	9	65/2	65/2	0.0	0	0	Spanner	2/2	14	1	0														1	1			
9	9	65/2	65/2	0.25	0	0	Chord	2/2	14	1	1/16			1/8	1/2	31		articAccentBelow					0		1	1			
9	9	131/4	131/4	0.0	1/16	1/16	Dynamic	2/2	14	1	0						f						0		1	1			
9	9	131/4	131/4	0.25	1/16	1/16	Chord	2/2	14	1	1/16			1/8	1/2	32							0		1	1			
9	9	33	33	0.25	1/8	1/8	Chord	2/2	14	1	1/16			1/8	1/2	33							0		1	1			
9	9	133/4	133/4	0.25	3/16	3/16	Chord	2/2	14	1	1/16			1/8	1/2	34							0		1	1			
9	9	67/2	67/2	0.25	1/4	1/4	Chord	2/2	14	1	1/16			1/8	1/2	35							0		1	1			
9	9	135/4	135/4	0.25	5/16	5/16	Chord	2/2	14	1	1/16			1/8	1/2	36							0		1	1			
9	9	34	34	0.25	3/8	3/8	Chord	2/2	14	1	1/16			1/8	1/2	37							0		1	1			
9	9	137/4	137/4	0.25	7/16	7/16	Chord	2/2	14	1	1/16			1/8	1/2	38									1	1			
9	9	69/2	69/2	0.0	1/2	1/2	Dynamic	2/2	14	1	0						ff												
9	9	69/2	69/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
9	9	69/2	69/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														2	2			
9	9	69/2	69/2	0.25	1/2	1/2	Chord	2/2	14	1	1/16			1/8	1/2	39		articAccentBelow					1		2	2			
9	9	139/4	139/4	0.0	9/16	9/16	Dynamic	2/2	14	1	0						f						1		2	2			
9	9	139/4	139/4	0.25	9/16	9/16	Chord	2/2	14	1	1/16			1/8	1/2	40							1		2	2			
9	9	35	35	0.25	5/8	5/8	Chord	2/2	14	1	1/16			1/8	1/2	41							1		2	2			
9	9	141/4	141/4	0.25	11/16	11/16	Chord	2/2	14	1	1/16			1/8	1/2	42							1		2	2			
9	9	71/2	71/2	0.25	3/4	3/4	Chord	2/2	14	1	1/16			1/8	1/2	43							1		2	2			
9	9	143/4	143/4	0.25	13/16	13/16	Chord	2/2	14	1	1/16			1/8	1/2	44							1		2	2			
9	9	36	36	0.25	7/8	7/8	Chord	2/2	14	1	1/16			1/8	1/2	45							1		2	2			
9	9	145/4	145/4	0.25	15/16	15/16	Chord	2/2	14	1	1/16			1/8	1/2	46									2	2			
9	9	65/2	65/2	0.0	0	0	Chord	2/2	14	2	0	acciaccatura		1/8	1	47									2	2			
9	9	65/2	65/2	0.5	0	0	Chord	2/2	14	2	1/8			1/8	1	48									2	2			
10	10	73/2	73/2	0.0	0	0	Dynamic	2/2	14	1	0						ff												
10	10	73/2	73/2	0.0	0	0	Spanner	2/2	14	1	0																		
10	10	73/2	73/2	0.0	0	0	Spanner	2/2	14	1	0														3	3			
10	10	73/2	73/2	0.2222222222222222	0	0	Chord	2/2	14	1	1/18			1/8	4/9	49		articAccentBelow					2		3	3			
10	10	661/18	661/18	0.0	1/18	1/18	Dynamic	2/2	14	1	0						f						2		3	3			
10	10	661/18	661/18	0.2222222222222222	1/18	1/18	Chord	2/2	14	1	1/18			1/8	4/9	50							2		3	3			
10	10	665/18	665/18	0.2222222222222222	1/9	1/9	Chord	2/2	14	1	1/18			1/8	4/9	51							2		3	3			
10	10	223/6	223/6	0.2222222222222222	1/6	1/6	Chord	2/2	14	1	1/18			1/8	4/9	52							2		3	3			
10	10	673/18	673/18	0.2222222222222222	2/9	2/9	Chord	2/2	14	1	1/18			1/8	4/9	53							2		3	3			
10	10	677/18	677/18	0.2222222222222222	5/18	5/18	Chord	2/2	14	1	1/18			1/8	4/9	54							2		3	3			
10	10	227/6	227/6	0.2222222222222222	1/3	1/3	Chord	2/2	14	1	1/18			1/8	4/9	55							2		3	3			
10	10	685/18	685/18	0.2222222222222222	7/18	7/18	Chord	2/2	14	1	1/18			1/8	4/9	56							2		3	3			
10	10	689/18	689/18	0.2222222222222222	4/9	4/9	Chord	2/2	14	1	1/18			1/8	4/9	57									3	3			
10	10	77/2	77/2	0.0	1/2	1/2	Dynamic	2/2	14	1	0						ff												
10	10	77/2	77/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
10	10	77/2	77/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														4	4			
10	10	77/2	77/2	0.25	1/2	1/2	Chord	2/2	14	1	1/16			1/8	1/2	58		articAccentBelow					3		4	4			
10	10	155/4	155/4	0.0	9/16	9/16	Dynamic	2/2	14	1	0						f						3		4	4			
10	10	155/4	155/4	0.25	9/16	9/16	Chord	2/2	14	1	1/16			1/8	1/2	59							3		4	4			
10	10	39	39	0.25	5/8	5/8	Chord	2/2	14	1	1/16			1/8	1/2	60							3		4	4			
10	10	157/4	157/4	0.25	11/16	11/16	Chord	2/2	14	1	1/16			1/8	1/2	61							3		4	4			
10	10	79/2	79/2	0.25	3/4	3/4	Chord	2/2	14	1	1/16			1/8	1/2	62							3		4	4			
10	10	159/4	159/4	0.25	13/16	13/16	Chord	2/2	14	1	1/16			1/8	1/2	63							3		4	4			
10	10	40	40	0.25	7/8	7/8	Chord	2/2	14	1	1/16			1/8	1/2	64							3		4	4			
