mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	-3	2/2	1	0					firstMeasure	2
2	2	4	4.0	-3	2/2	1	0						3
3	3	8	4.0	-3	2/2	1	0						4
4	4	12	4.0	-3	2/2	1	0						5
5	5	16	4.0	-3	2/2	1	0						6
6	6	20	4.0	-3	2/2	1	0						7
7	7	24	4.0	-3	2/2	1	0						8
8	8	28	4.5	-3	2/2	9/8	0						9
9	9	65/2	4.0	-3	2/2	1	0				line		10
10	10	73/2	4.0	-3	2/2	1	0						11
11	11	81/2	4.0	-3	2/2	1	0						12
12	12	89/2	4.0	-3	2/2	1	0						13
13	13	97/2	4.0	-3	2/2	1	0				line		14
14	14	105/2	4.0	-3	2/2	1	0						15
15	15	113/2	4.0	-3	2/2	1	0						16
16	16	121/2	4.0	-3	2/2	1	0						17
17	17	129/2	4.0	-3	2/2	1	0				line		18
18	18	137/2	4.0	-3	2/2	1	0						19
19	19	145/2	4.0	-3	2/2	1	0						20
20	20	153/2	4.0	-3	2/2	1	0						21
21	21	161/2	4.0	-3	2/2	1	0				line		22
22	22	169/2	4.0	-3	2/2	1	0						23
23	23	177/2	4.0	-3	2/2	1	0						24
24	24	185/2	4.0	-3	2/2	1	0						25
25	25	193/2	4.0	-3	2/2	1	0				line		26
26	26	201/2	4.0	-3	2/2	1	0						27
27	27	209/2	4.0	-3	2/2	1	0						28
28	28	217/2	4.0	-3	2/2	1	0						29
29	29	225/2	4.0	-3	2/2	1	0						30
30	30	233/2	4.0	-3	2/2	1	0				line		31
31	31	241/2	4.0	-3	2/2	1	0						32
32	32	249/2	4.0	-3	2/2	1	0						33
33	33	257/2	4.0	-3	2/2	1	0						34
34	34	265/2	4.0	-3	2/2	1	0				line		35
35	35	273/2	4.0	-3	2/2	1	0						36
36	36	281/2	4.0	-3	2/2	1	0						37
37	37	289/2	4.0	-3	2/2	1	0						38
38	38	297/2	4.0	-3	2/2	1	0				line		39
39	39	305/2	4.0	-3	2/2	1	0						40
40	40	313/2	4.0	-3	2/2	1	0						41
41	41	321/2	4.0	-3	2/2	1	0						42
42	42	329/2	4.0	-3	2/2	1	0				line		43
43	43	337/2	4.0	-3	2/2	1	0						44
44	44	345/2	4.0	-3	2/2	1	0						45
45	45	353/2	4.0	-3	2/2	1	0						46
46	46	361/2	4.0	-3	2/2	1	0				line		47
47	47	369/2	4.0	-3	2/2	1	0						48
48	48	377/2	4.0	-3	2/2	1	0						49
49	49	385/2	4.0	-3	2/2	1	0						50
50	50	393/2	4.0	-3	2/2	1	0				line		51
51	51	401/2	4.0	-3	2/2	1	0						52
52	52	409/2	4.0	-3	2/2	1	0						53
53	53	417/2	4.0	-3	2/2	1	0						54
54	54	425/2	4.0	-3	2/2	1	0				line		55
55	55	433/2	4.0	-3	2/2	1	0						56
56	56	441/2	4.0	-3	2/2	1	0						57
57	57	449/2	4.0	-3	2/2	1	0						58
58	58	457/2	4.0	-3	2/2	1	0				line		59
59	59	465/2	4.0	-3	2/2	1	0						60
60	60	473/2	4.0	-3	2/2	1	0						61
61	61	481/2	4.0	-3	2/2	1	0						62
62	62	489/2	4.0	-3	2/2	1	0			double	line		63
63	63	497/2	4.0	-3	2/2	1	0						64
64	64	505/2	4.0	-3	2/2	1	0						65
65	65	513/2	4.0	-3	2/2	1	0						66
