mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	1a	0	4.0	-3	2/2	1	0					firstMeasure	2
2	2	2	2a	4	4.0	-3	2/2	1	0						3
3	3	3	3a	8	4.0	-3	2/2	1	0						4
4	4	4	4a	12	4.0	-3	2/2	1	0						5
5	5	5	5a	16	4.0	-3	2/2	1	0						6
6	6	6	6a	20	4.0	-3	2/2	1	0						7
7	7	7	7a	24	4.0	-3	2/2	1	0						8
8	8	8	8a	28	4.5	-3	2/2	9/8	0						9
9	9	9	9a	65/2	4.0	-3	2/2	1	0				line		10
10	10	10	10a	73/2	4.0	-3	2/2	1	0						11
11	11	11	11a	81/2	4.0	-3	2/2	1	0						12
12	12	12	12a	89/2	4.0	-3	2/2	1	0						13
13	13	13	13a	97/2	4.0	-3	2/2	1	0				line		14
14	14	14	14a	105/2	4.0	-3	2/2	1	0						15
15	15	15	15a	113/2	4.0	-3	2/2	1	0						16
16	16	16	16a	121/2	4.0	-3	2/2	1	0						17
17	17	17	17a	129/2	4.0	-3	2/2	1	0				line		18
18	18	18	18a	137/2	4.0	-3	2/2	1	0						19
19	19	19	19a	145/2	4.0	-3	2/2	1	0						20
20	20	20	20a	153/2	4.0	-3	2/2	1	0						21
21	21	21	21a	161/2	4.0	-3	2/2	1	0				line		22
22	22	22	22a	169/2	4.0	-3	2/2	1	0						23
23	23	23	23a	177/2	4.0	-3	2/2	1	0						24
24	24	24	24a	185/2	4.0	-3	2/2	1	0						25
25	25	25	25a	193/2	4.0	-3	2/2	1	0				line		26
26	26	26	26a	201/2	4.0	-3	2/2	1	0						27
27	27	27	27a	209/2	4.0	-3	2/2	1	0						28
28	28	28	28a	217/2	4.0	-3	2/2	1	0						29
29	29	29	29a	225/2	4.0	-3	2/2	1	0						30
30	30	30	30a	233/2	4.0	-3	2/2	1	0				line		31
31	31	31	31a	241/2	4.0	-3	2/2	1	0						32
32	32	32	32a	249/2	4.0	-3	2/2	1	0						33
33	33	33	33a	257/2	4.0	-3	2/2	1	0						34
34	34	34	34a	265/2	4.0	-3	2/2	1	0				line		35
35	35	35	35a	273/2	4.0	-3	2/2	1	0						36
36	36	36	36a	281/2	4.0	-3	2/2	1	0						37
37	37	37	37a	289/2	4.0	-3	2/2	1	0						38
38	38	38	38a	297/2	4.0	-3	2/2	1	0				line		39
39	39	39	39a	305/2	4.0	-3	2/2	1	0						40
40	40	40	40a	313/2	4.0	-3	2/2	1	0						41
41	41	41	41a	321/2	4.0	-3	2/2	1	0						42
42	42	42	42a	329/2	4.0	-3	2/2	1	0				line		43
43	43	43	43a	337/2	4.0	-3	2/2	1	0						44
44	44	44	44a	345/2	4.0	-3	2/2	1	0						45
45	45	45	45a	353/2	4.0	-3	2/2	1	0						46
46	46	46	46a	361/2	4.0	-3	2/2	1	0				line		47
47	47	47	47a	369/2	4.0	-3	2/2	1	0						48
48	48	48	48a	377/2	4.0	-3	2/2	1	0						49
49	49	49	49a	385/2	4.0	-3	2/2	1	0						50
50	50	50	50a	393/2	4.0	-3	2/2	1	0				line		51
51	51	51	51a	401/2	4.0	-3	2/2	1	0						52
52	52	52	52a	409/2	4.0	-3	2/2	1	0						53
53	53	53	53a	417/2	4.0	-3	2/2	1	0						54
54	54	54	54a	425/2	4.0	-3	2/2	1	0				line		55
55	55	55	55a	433/2	4.0	-3	2/2	1	0						56
56	56	56	56a	441/2	4.0	-3	2/2	1	0						57
57	57	57	57a	449/2	4.0	-3	2/2	1	0						58
58	58	58	58a	457/2	4.0	-3	2/2	1	0				line		59
59	59	59	59a	465/2	4.0	-3	2/2	1	0						60
60	60	60	60a	473/2	4.0	-3	2/2	1	0						61
61	61	61	61a	481/2	4.0	-3	2/2	1	0						62
62	62	62	62a	489/2	4.0	-3	2/2	1	0			double	line		63
63	63	63	63a	497/2	4.0	-3	2/2	1	0						64
64	64	64	64a	505/2	4.0	-3	2/2	1	0						65
65	65	65	65a	513/2	4.0	-3	2/2	1	0						66
66	66	66	66a	521/2	4.0	-3	2/2	1	0				line		67
67	67	67	67a	529/2	4.0	-3	2/2	1	0						68
68	68	68	68a	537/2	4.0	-3	2/2	1	0						69
69	69	69	69a	545/2	4.0	-3	2/2	1	0						70
70	70	70	70a	553/2	4.0	-3	2/2	1	0				line		71
71	71	71	71a	561/2	4.0	-3	2/2	1	0						72
72	72	72	72a	569/2	4.0	-3	2/2	1	0						73
73	73	73	73a	577/2	4.0	-3	2/2	1	0						74
74	74	74	74a	585/2	4.0	-3	2/2	1	0				line		75
75	75	75	75a	593/2	4.0	-3	2/2	1	0						76
76	76	76	76a	601/2	4.0	-3	2/2	1	0						77
77	77	77	77a	609/2	4.0	-3	2/2	1	0						78
78	78	78	78a	617/2	4.0	-3	2/2	1	0						79
79	79	79	79a	625/2	4.0	-3	2/2	1	0						80
80	80	80	80a	633/2	4.0	-3	2/2	1	0						81
81	81	81	81a	641/2	4.0	-3	2/2	1	0						82
82	82	82	82a	649/2	4.0	-3	2/2	1	0						83
83	83	83	83a	657/2	4.0	-3	2/2	1	0						84
84	84	84	84a	665/2	4.0	-3	2/2	1	0				line		85
85	85	85	85a	673/2	4.0	-3	2/2	1	0						86
86	86	86	86a	681/2	4.0	-3	2/2	1	0						87
87	87	87	87a	689/2	4.0	-3	2/2	1	0						88
88	88	88	88a	697/2	4.0	-3	2/2	1	0						89
89	89	89	89a	705/2	4.0	-3	2/2	1	0						90
90	90	90	90a	713/2	4.0	-3	2/2	1	0				line		91
91	91	91	91a	721/2	4.0	-3	2/2	1	0						92
92	92	92	92a	729/2	4.0	-3	2/2	1	0						93
93	93	93	93a	737/2	4.0	-3	2/2	1	0						94
94	94	94	94a	745/2	4.0	-3	2/2	1	0						95
95	95	95	95a	753/2	4.0	-3	2/2	1	0						96
96	96	96	96a	761/2	4.0	-3	2/2	1	0				line		97
97	97	97	97a	769/2	4.0	-3	2/2	1	0						98
98	98	98	98a	777/2	4.0	-3	2/2	1	0						99
99	99	99	99a	785/2	4.0	-3	2/2	1	0						100
100	100	100	100a	793/2	4.0	-3	2/2	1	0						101
101	101	101	101a	801/2	4.0	-3	2/2	1	0						102
102	102	102	102a	809/2	4.0	-3	2/2	1	0				line		103
103	103	103	103a	817/2	4.0	-3	2/2	1	0						104
104	104	104	104a	825/2	4.0	-3	2/2	1	0						105
105	105	105	105a	833/2	4.0	-3	2/2	1	0						106
106	106	106	106a	841/2	4.0	-3	2/2	1	0						107
107	107	107	107a	849/2	4.0	-3	2/2	1	0						108
108	108	108	108a	857/2	4.0	-3	2/2	1	0				line		109
109	109	109	109a	865/2	4.0	-3	2/2	1	0						110
110	110	110	110a	873/2	4.0	-3	2/2	1	0						111
111	111	111	111a	881/2	4.0	-3	2/2	1	0						112
112	112	112	112a	889/2	4.0	-3	2/2	1	0				line		113
113	113	113	113a	897/2	4.0	-3	2/2	1	0						114
114	114	114	114a	905/2	4.0	-3	2/2	1	0						115
115	115	115	115a	913/2	4.0	-3	2/2	1	0						116
116	116	116	116a	921/2	4.0	-3	2/2	1	0				line		117
117	117	117	117a	929/2	4.0	-3	2/2	1	0						118
118	118	118	118a	937/2	4.0	-3	2/2	1	0						119
119	119	119	119a	945/2	4.0	-3	2/2	1	0						120
120	120	120	120a	953/2	4.0	-3	2/2	1	0				line		121
121	121	121	121a	961/2	4.0	-1	2/2	1	0						122
122	122	122	122a	969/2	4.0	-1	2/2	1	0						123
123	123	123	123a	977/2	4.0	-1	2/2	1	0						124
124	124	124	124a	985/2	4.0	-1	2/2	1	0						125
125	125	125	125a	993/2	4.0	-1	2/2	1	0						126
126	126	126	126a	1001/2	4.0	-1	2/2	1	0				line		127
127	127	127	127a	1009/2	4.0	-1	2/2	1	0						128
128	128	128	128a	1017/2	4.0	-1	2/2	1	0						129
129	129	129	129a	1025/2	4.0	-1	2/2	1	0						130
130	130	130	130a	1033/2	4.0	-1	2/2	1	0						131
131	131	131	131a	1041/2	4.0	-1	2/2	1	0						132
132	132	132	132a	1049/2	4.0	-1	2/2	1	0						133
133	133	133	133a	1057/2	4.0	-1	2/2	1	0				line		134
134	134	134	134a	1065/2	4.0	-1	2/2	1	0						135
135	135	135	135a	1073/2	4.0	-1	2/2	1	0						136
136	136	136	136a	1081/2	4.0	-1	2/2	1	0						137
137	137	137	137a	1089/2	4.0	-1	2/2	1	0						138
138	138	138	138a	1097/2	4.0	-1	2/2	1	0				line		139
139	139	139	139a	1105/2	4.0	-1	2/2	1	0						140
140	140	140	140a	1113/2	4.0	-1	2/2	1	0			double			141
141	141	141	141a	1121/2	4.0	-1	2/2	1	0						142
142	142	142	142a	1129/2	4.0	-1	2/2	1	0						143
143	143	143	143a	1137/2	4.0	-1	2/2	1	0				line		144
144	144	144	144a	1145/2	4.0	-1	2/2	1	0						145
145	145	145	145a	1153/2	4.0	-1	2/2	1	0						146
146	146	146	146a	1161/2	4.0	-1	2/2	1	0						147
147	147	147	147a	1169/2	4.0	-1	2/2	1	0				line		148
148	148	148	148a	1177/2	4.0	-1	2/2	1	0						149
149	149	149	149a	1185/2	4.0	-1	2/2	1	0						150
150	150	150	150a	1193/2	4.0	-1	2/2	1	0						151
151	151	151	151a	1201/2	4.0	-1	2/2	1	0				line		152
152	152	152	152a	1209/2	4.0	-1	2/2	1	0						153
153	153	153	153a	1217/2	4.0	-1	2/2	1	0						154
154	154	154	154a	1225/2	4.0	-1	2/2	1	0						155
155	155	155	155a	1233/2	4.0	-1	2/2	1	0				line		156
156	156	156	156a	1241/2	4.0	-1	2/2	1	0						157
157	157	157	157a	1249/2	4.0	-1	2/2	1	0						158
158	158	158	158a	1257/2	4.0	-1	2/2	1	0				line		159
159	159	159	159a	1265/2	4.0	-1	2/2	1	0						160
160	160	160	160a	1273/2	4.0	-1	2/2	1	0			double			161
161	161	161	161a	1281/2	4.0	-1	2/2	1	0						162
162	162	162	162a	1289/2	4.0	-1	2/2	1	0						163
163	163	163	163a	1297/2	4.0	-1	2/2	1	0						164
164	164	164	164a	1305/2	4.0	-1	2/2	1	0				line		165
165	165	165	165a	1313/2	4.0	-1	2/2	1	0						166
166	166	166	166a	1321/2	4.0	-1	2/2	1	0						167
167	167	167	167a	1329/2	4.0	-1	2/2	1	0						168
168	168	168	168a	1337/2	4.0	-1	2/2	1	0						169
169	169	169	169a	1345/2	4.0	-1	2/2	1	0						170
170	170	170	170a	1353/2	4.0	-1	2/2	1	0						171
171	171	171	171a	1361/2	4.0	-1	2/2	1	0						172
172	172	172	172a	1369/2	4.0	-1	2/2	1	0						173
173	173	173	173a	1377/2	4.0	-1	2/2	1	0				line		174
174	174	174	174a	1385/2	4.0	-1	2/2	1	0						175
175	175	175	175a	1393/2	4.0	-1	2/2	1	0						176
176	176	176	176a	1401/2	4.0	-1	2/2	1	0			double			177
177	177	177	177a	1409/2	4.0	-1	2/2	1	0						178
178	178	178	178a	1417/2	4.0	-1	2/2	1	0						179
179	179	179	179a	1425/2	4.0	-1	2/2	1	0				line		180
