mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	1
1	1	1	1a	0	0	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	1
1	1	1	1a	0	0	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	1
1	1	1	1a	0	0	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	0
1	1	1	1a	0	0	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	0
1	1	1	1a	0	0	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	0
1	1	1	1a	0	0	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	0
1	1	1	1a	2	2	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	2
2	2	2	2a	4	4	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	4
2	2	2	2a	4	4	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	4
2	2	2	2a	4	4	4.0	0	0	2/2	14	1	1			1	1		-5	49	Db3	3	4
2	2	2	2a	4	4	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	4
2	2	2	2a	4	4	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	3
2	2	2	2a	4	4	4.0	0	0	2/2	13	1	1			1	1		-5	61	Db4	4	3
2	2	2	2a	4	4	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	3
2	2	2	2a	4	4	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	3
2	2	2	2a	4	4	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	3
2	2	2	2a	6	6	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	5
3	3	3	3a	8	8	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	7
3	3	3	3a	8	8	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	7
3	3	3	3a	8	8	4.0	0	0	2/2	14	1	1			1	1		2	50	D3	3	7
3	3	3	3a	8	8	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	7
3	3	3	3a	8	8	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	6
3	3	3	3a	8	8	4.0	0	0	2/2	13	1	1			1	1		2	62	D4	4	6
3	3	3	3a	8	8	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	6
3	3	3	3a	8	8	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	6
3	3	3	3a	8	8	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	6
3	3	3	3a	10	10	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	8
4	4	4	4a	12	12	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	10
4	4	4	4a	12	12	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	10
4	4	4	4a	12	12	4.0	0	0	2/2	14	1	1			1	1		-3	51	Eb3	3	10
4	4	4	4a	12	12	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	10
4	4	4	4a	12	12	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	9
4	4	4	4a	12	12	4.0	0	0	2/2	13	1	1			1	1		-3	63	Eb4	4	9
4	4	4	4a	12	12	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	9
4	4	4	4a	12	12	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	9
4	4	4	4a	12	12	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	9
4	4	4	4a	14	14	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	11
5	5	5	5a	16	16	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	13
5	5	5	5a	16	16	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	13
5	5	5	5a	16	16	4.0	0	0	2/2	14	1	1			1	1		-3	51	Eb3	3	13
5	5	5	5a	16	16	4.0	0	0	2/2	14	1	1			1	1		3	57	A3	3	13
5	5	5	5a	16	16	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	12
5	5	5	5a	16	16	4.0	0	0	2/2	13	1	1			1	1		-3	63	Eb4	4	12
5	5	5	5a	16	16	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	12
5	5	5	5a	16	16	4.0	0	0	2/2	13	1	1			1	1		3	69	A4	4	12
5	5	5	5a	16	16	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	12
5	5	5	5a	18	18	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	14
6	6	6	6a	20	20	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	16
6	6	6	6a	20	20	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	16
6	6	6	6a	20	20	4.0	0	0	2/2	14	1	1			1	1		-3	51	Eb3	3	16
6	6	6	6a	20	20	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	16
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	15
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		-3	63	Eb4	4	15
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	15
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	15
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	15
6	6	6	6a	22	22	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	17
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	19
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	19
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		2	50	D3	3	19
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	19
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		2	62	D4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	18
7	7	7	7a	26	26	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	20
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	25
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	25
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		-5	49	Db3	3	25
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	25
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		-5	61	Db4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	21
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	14	2	1/4			1/4	1		-4	32	Ab1	1	27
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	14	2	1/4			1/4	1		-4	44	Ab2	2	27
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	13	2	1/4			1/4	1		-4	56	Ab3	3	22
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	14	2	1/4			1/4	1		-1	29	F1	1	28
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	14	2	1/4			1/4	1		-1	41	F2	2	28
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	13	2	1/4			1/4	1		-1	53	F3	3	23
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	14	2	1/4			1/4	1		1	31	G1	1	29
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	14	2	1/4			1/4	1		1	43	G2	2	29
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	13	2	1/4			1/4	1		1	55	G3	3	24
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		1	43	G2	2	26
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		0	48	C3	3	26
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		-3	51	Eb3	3	26
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		1	55	G3	3	26
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		1	43	G2	2	47
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		0	48	C3	3	47
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		-3	51	Eb3	3	47
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		1	55	G3	3	47
9	9	9	9a	65/2	65/2	0.25	0	0	2/2	14	1	1/16			1/8	1/2		0	24	C1	1	31
9	9	9	9a	65/2	65/2	0.25	0	0	2/2	14	1	1/16			1/8	1/2		0	36	C2	2	31
9	9	9	9a	65/2	65/2	0.5	0	0	2/2	14	2	1/8			1/8	1		-3	51	Eb3	3	48
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	30
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		-3	63	Eb4	4	30
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		1	67	G4	4	30
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	30
9	9	9	9a	131/4	131/4	0.25	1/16	1/16	2/2	14	1	1/16			1/8	1/2		1	43	G2	2	32
9	9	9	9a	33	33	0.25	1/8	1/8	2/2	14	1	1/16			1/8	1/2		0	48	C3	3	33
