mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	1	StaffText	9/8	1	1	0								"<font size=""8.9291""/><b>Lebhaft</b>"									
1	1	0	0	0.0	0	1	Tempo	9/8	1	1	0									𝅘𝅥 =120	120.0	𝅘𝅥 	120.0	1.0				
1	1	0	0	0.125	0	1	Chord	9/8	2	1	1/32			1/32	1	0									0			
1	1	1/8	1/8	0.0	1/32	33/32	Dynamic	9/8	2	1	0						f								0			
1	1	1/8	1/8	0.125	1/32	33/32	Chord	9/8	2	1	1/32			1/32	1	1									0			
1	1	1/4	1/4	0.125	1/16	17/16	Chord	9/8	2	1	1/32			1/32	1	2									0			
1	1	3/8	3/8	0.125	3/32	35/32	Chord	9/8	2	1	1/32			1/32	1	3												
2	2	1/2	1/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	4									1			
2	2	3/4	3/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	5									1			
2	2	1	1	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	6									1			
2	2	5/4	5/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	7									1			
2	2	3/2	3/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	8									1			
2	2	7/4	7/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	9									1			
2	2	2	2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	10									1			
2	2	9/4	9/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	11									1			
2	2	5/2	5/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	12									1			
2	2	11/4	11/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	13									1			
2	2	3	3	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	14									1			
2	2	13/4	13/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	15									1			
2	2	7/2	7/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	16									1			
2	2	15/4	15/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	17									1			
2	2	4	4	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	18												
2	2	9/2	9/2	0.0	1	1	Dynamic	9/8	2	1	0						f											
2	2	9/2	9/2	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	19									2			
2	2	37/8	37/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	20									2			
2	2	19/4	19/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	21									2			
2	2	39/8	39/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	22												
