mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0.5	2	9/8	1/8	1					firstMeasure	2
2	2	1/2	4.5	2	9/8	9/8	0						3
3	3	5	4.5	2	9/8	9/8	0						4
4	4	19/2	4.5	2	9/8	9/8	0				line		5
5	5	14	4.5	2	9/8	9/8	0						6
6	6	37/2	4.5	2	9/8	9/8	0						7
7	7	23	4.5	2	9/8	9/8	0				line		8
8	8	55/2	4.5	2	9/8	9/8	0						9
9	9	32	4.5	2	9/8	9/8	0						10
10	10	73/2	4.5	2	9/8	9/8	0				line		11
11	11	41	4.5	2	9/8	9/8	0						12
12	12	91/2	4.5	2	9/8	9/8	0						13
13	13	50	4.5	2	9/8	9/8	0				line		14
14	14	109/2	4.5	2	9/8	9/8	0						15
15	15	59	4.5	2	9/8	9/8	0						16
16	16	127/2	4.5	2	9/8	9/8	0				line		17
17	17	68	4.5	2	9/8	9/8	0						18
18	18	145/2	4.5	2	9/8	9/8	0						19
19	19	77	4.5	2	9/8	9/8	0				line		20
20	20	163/2	4.5	2	9/8	9/8	0						21
21	21	86	4.5	2	9/8	9/8	0						22
22	22	181/2	4.5	2	9/8	9/8	0				line		23
23	23	95	4.5	2	9/8	9/8	0						24
24	24	199/2	4.5	2	9/8	9/8	0						25
25	25	104	4.5	2	9/8	9/8	0				line		26
26	26	217/2	4.5	2	9/8	9/8	0						27
27	27	113	4.5	2	9/8	9/8	0						28
28	28	235/2	4.5	2	9/8	9/8	0				page		29
29	29	122	4.5	2	9/8	9/8	0						30
30	30	253/2	4.5	2	9/8	9/8	0						31
31	31	131	4.5	2	9/8	9/8	0				line		32
32	32	271/2	4.5	2	9/8	9/8	0						33
33	33	140	4.5	2	9/8	9/8	0						34
34	34	289/2	4.5	2	9/8	9/8	0				line		35
35	35	149	4.5	2	9/8	9/8	0						36
36	36	307/2	4.5	2	9/8	9/8	0						37
37	37	158	4.5	2	9/8	9/8	0				line		38
38	38	325/2	4.5	2	9/8	9/8	0						39
39	39	167	4.5	2	9/8	9/8	0						40
40	40	343/2	4.5	2	9/8	9/8	0				line		41
41	41	176	4.5	2	9/8	9/8	0						42
42	42	361/2	4.5	2	9/8	9/8	0						43
43	43	185	4.5	2	9/8	9/8	0				line		44
44	44	379/2	4.5	2	9/8	9/8	0						45
45	45	194	4.5	2	9/8	9/8	0						46
46	46	397/2	4.5	2	9/8	9/8	0						47
47	47	203	4.5	2	9/8	9/8	0				line		48
48	48	415/2	4.5	2	9/8	9/8	0						49
49	49	212	4.5	2	9/8	9/8	0						50
50	50	433/2	4.5	2	9/8	9/8	0						51
51	51	221	4.5	2	9/8	9/8	0				line		52
52	52	451/2	4.5	2	9/8	9/8	0						53
53	53	230	4.5	2	9/8	9/8	0						54
54	54	469/2	4.5	2	9/8	9/8	0						55
55	55	239	4.5	2	9/8	9/8	0				line		56
56	56	487/2	4.5	2	9/8	9/8	0						57
57	57	248	4.5	2	9/8	9/8	0						58
58	58	505/2	4.5	2	9/8	9/8	0				page		59
59	59	257	4.5	2	9/8	9/8	0			double			60
60	60	523/2	4.5	5	9/8	9/8	0						61
61	61	266	4.5	5	9/8	9/8	0				line		62
62	62	541/2	4.5	5	9/8	9/8	0						63
63	63	275	4.5	5	9/8	9/8	0						64
64	64	559/2	4.5	5	9/8	9/8	0				line		65
65	65	284	4.5	5	9/8	9/8	0						66
66	66	577/2	4.5	5	9/8	9/8	0						67
67	67	293	4.5	5	9/8	9/8	0				line		68
68	68	595/2	4.5	5	9/8	9/8	0						69
69	69	302	4.5	5	9/8	9/8	0						70
70	70	613/2	4.5	5	9/8	9/8	0				line		71
71	71	311	4.5	5	9/8	9/8	0						72
72	72	631/2	4.5	5	9/8	9/8	0						73
73	73	320	4.5	5	9/8	9/8	0				line		74
74	74	649/2	4.5	5	9/8	9/8	0						75
75	75	329	4.5	5	9/8	9/8	0						76
76	76	667/2	4.5	5	9/8	9/8	0						77
77	77	338	4.5	5	9/8	9/8	0				line		78
78	78	685/2	4.5	5	9/8	9/8	0						79
79	79	347	4.5	5	9/8	9/8	0			double			80
80	80	703/2	4.5	2	9/8	9/8	0						81
81	81	356	4.5	2	9/8	9/8	0				line		82
82	82	721/2	4.5	2	9/8	9/8	0						83
83	83	365	4.5	2	9/8	9/8	0						84
84	84	739/2	4.5	2	9/8	9/8	0						85
