mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.125	0	1	9/8	2	1	1/32			1/32	1		5	59	B3	3	0
1	1	1/8	1/8	0.125	1/32	33/32	9/8	2	1	1/32			1/32	1		7	61	C#4	4	1
1	1	1/4	1/4	0.125	1/16	17/16	9/8	2	1	1/32			1/32	1		2	62	D4	4	2
1	1	3/8	3/8	0.125	3/32	35/32	9/8	2	1	1/32			1/32	1		4	64	E4	4	3
2	2	1/2	1/2	0.25	0	0	9/8	1	1	1/16			1/16	1		6	66	F#4	4	4
2	2	3/4	3/4	0.25	1/16	1/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	5
2	2	1	1	0.25	1/8	1/8	9/8	1	1	1/16			1/16	1		6	66	F#4	4	6
2	2	5/4	5/4	0.25	3/16	3/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	7
2	2	3/2	3/2	0.25	1/4	1/4	9/8	1	1	1/16			1/16	1		6	66	F#4	4	8
2	2	7/4	7/4	0.25	5/16	5/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	9
2	2	2	2	0.25	3/8	3/8	9/8	1	1	1/16			1/16	1		6	66	F#4	4	10
2	2	9/4	9/4	0.25	7/16	7/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	11
2	2	5/2	5/2	0.25	1/2	1/2	9/8	1	1	1/16			1/16	1		6	66	F#4	4	12
2	2	11/4	11/4	0.25	9/16	9/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	13
2	2	3	3	0.25	5/8	5/8	9/8	1	1	1/16			1/16	1		6	66	F#4	4	14
2	2	13/4	13/4	0.25	11/16	11/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	15
2	2	7/2	7/2	0.25	3/4	3/4	9/8	1	1	1/16			1/16	1		6	66	F#4	4	16
2	2	15/4	15/4	0.25	13/16	13/16	9/8	1	1	1/16			1/16	1		1	67	G4	4	17
2	2	4	4	0.5	7/8	7/8	9/8	1	1	1/8			1/8	1		6	66	F#4	4	18
2	2	9/2	9/2	0.125	1	1	9/8	2	1	1/32			1/32	1		2	50	D3	3	19
2	2	37/8	37/8	0.125	33/32	33/32	9/8	2	1	1/32			1/32	1		4	52	E3	3	20
2	2	19/4	19/4	0.125	17/16	17/16	9/8	2	1	1/32			1/32	1		6	54	F#3	3	21
2	2	39/8	39/8	0.125	35/32	35/32	9/8	2	1	1/32			1/32	1		1	55	G3	3	22
3	3	5	5	0.25	0	0	9/8	1	1	1/16			1/16	1		6	78	F#5	5	23
3	3	21/4	21/4	0.25	1/16	1/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	24
3	3	11/2	11/2	0.25	1/8	1/8	9/8	1	1	1/16			1/16	1		6	78	F#5	5	25
3	3	23/4	23/4	0.25	3/16	3/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	26
3	3	6	6	0.25	1/4	1/4	9/8	1	1	1/16			1/16	1		6	78	F#5	5	27
3	3	25/4	25/4	0.25	5/16	5/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	28
3	3	13/2	13/2	0.25	3/8	3/8	9/8	1	1	1/16			1/16	1		6	78	F#5	5	29
3	3	27/4	27/4	0.25	7/16	7/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	30
3	3	7	7	0.25	1/2	1/2	9/8	1	1	1/16			1/16	1		6	78	F#5	5	31
3	3	29/4	29/4	0.25	9/16	9/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	32
3	3	15/2	15/2	0.25	5/8	5/8	9/8	1	1	1/16			1/16	1		6	78	F#5	5	33
3	3	31/4	31/4	0.25	11/16	11/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	34
3	3	8	8	0.25	3/4	3/4	9/8	1	1	1/16			1/16	1		6	78	F#5	5	35
3	3	33/4	33/4	0.25	13/16	13/16	9/8	1	1	1/16			1/16	1		1	79	G5	5	36
3	3	17/2	17/2	0.5	7/8	7/8	9/8	1	1	1/8			1/8	1		6	78	F#5	5	37
3	3	9	9	0.125	1	1	9/8	2	1	1/32			1/32	1		2	62	D4	4	38
3	3	73/8	73/8	0.125	33/32	33/32	9/8	2	1	1/32			1/32	1		4	64	E4	4	39
3	3	37/4	37/4	0.125	17/16	17/16	9/8	2	1	1/32			1/32	1		6	66	F#4	4	40
3	3	75/8	75/8	0.125	35/32	35/32	9/8	2	1	1/32			1/32	1		1	67	G4	4	41
4	4	19/2	19/2	0.25	0	0	9/8	1	1	1/16			1/16	1		6	90	F#6	6	42
4	4	39/4	39/4	0.25	1/16	1/16	9/8	1	1	1/16			1/16	1		1	91	G6	6	43
4	4	10	10	0.25	1/8	1/8	9/8	1	1	1/16			1/16	1		6	90	F#6	6	44
4	4	41/4	41/4	0.25	3/16	3/16	9/8	1	1	1/16			1/16	1		1	91	G6	6	45
4	4	21/2	21/2	0.25	1/4	1/4	9/8	1	1	1/16			1/16	1		6	90	F#6	6	46
4	4	43/4	43/4	0.25	5/16	5/16	9/8	1	1	1/16			1/16	1		1	91	G6	6	47
4	4	11	11	0.25	3/8	3/8	9/8	1	1	1/16			1/16	1		6	90	F#6	6	48
4	4	45/4	45/4	0.25	7/16	7/16	9/8	1	1	1/16			1/16	1		1	91	G6	6	49
4	4	23/2	23/2	0.25	1/2	1/2	9/8	1	1	1/16			1/16	1		6	90	F#6	6	50
4	4	47/4	47/4	0.25	9/16	9/16	9/8	1	1	1/16			1/16	1		1	91	G6	6	51
