mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	1a	0	0.5	2	9/8	1/8	1					firstMeasure	2
2	2	2	2a	1/2	4.5	2	9/8	9/8	0						3
3	3	3	3a	5	4.5	2	9/8	9/8	0						4
4	4	4	4a	19/2	4.5	2	9/8	9/8	0				line		5
5	5	5	5a	14	4.5	2	9/8	9/8	0						6
6	6	6	6a	37/2	4.5	2	9/8	9/8	0						7
7	7	7	7a	23	4.5	2	9/8	9/8	0				line		8
8	8	8	8a	55/2	4.5	2	9/8	9/8	0						9
9	9	9	9a	32	4.5	2	9/8	9/8	0						10
10	10	10	10a	73/2	4.5	2	9/8	9/8	0				line		11
11	11	11	11a	41	4.5	2	9/8	9/8	0						12
12	12	12	12a	91/2	4.5	2	9/8	9/8	0						13
13	13	13	13a	50	4.5	2	9/8	9/8	0				line		14
14	14	14	14a	109/2	4.5	2	9/8	9/8	0						15
15	15	15	15a	59	4.5	2	9/8	9/8	0						16
16	16	16	16a	127/2	4.5	2	9/8	9/8	0				line		17
17	17	17	17a	68	4.5	2	9/8	9/8	0						18
18	18	18	18a	145/2	4.5	2	9/8	9/8	0						19
19	19	19	19a	77	4.5	2	9/8	9/8	0				line		20
20	20	20	20a	163/2	4.5	2	9/8	9/8	0						21
21	21	21	21a	86	4.5	2	9/8	9/8	0						22
22	22	22	22a	181/2	4.5	2	9/8	9/8	0				line		23
23	23	23	23a	95	4.5	2	9/8	9/8	0						24
24	24	24	24a	199/2	4.5	2	9/8	9/8	0						25
25	25	25	25a	104	4.5	2	9/8	9/8	0				line		26
26	26	26	26a	217/2	4.5	2	9/8	9/8	0						27
27	27	27	27a	113	4.5	2	9/8	9/8	0						28
28	28	28	28a	235/2	4.5	2	9/8	9/8	0				page		29
29	29	29	29a	122	4.5	2	9/8	9/8	0						30
30	30	30	30a	253/2	4.5	2	9/8	9/8	0						31
31	31	31	31a	131	4.5	2	9/8	9/8	0				line		32
32	32	32	32a	271/2	4.5	2	9/8	9/8	0						33
33	33	33	33a	140	4.5	2	9/8	9/8	0						34
34	34	34	34a	289/2	4.5	2	9/8	9/8	0				line		35
35	35	35	35a	149	4.5	2	9/8	9/8	0						36
36	36	36	36a	307/2	4.5	2	9/8	9/8	0						37
37	37	37	37a	158	4.5	2	9/8	9/8	0				line		38
38	38	38	38a	325/2	4.5	2	9/8	9/8	0						39
39	39	39	39a	167	4.5	2	9/8	9/8	0						40
40	40	40	40a	343/2	4.5	2	9/8	9/8	0				line		41
41	41	41	41a	176	4.5	2	9/8	9/8	0						42
42	42	42	42a	361/2	4.5	2	9/8	9/8	0						43
43	43	43	43a	185	4.5	2	9/8	9/8	0				line		44
44	44	44	44a	379/2	4.5	2	9/8	9/8	0						45
45	45	45	45a	194	4.5	2	9/8	9/8	0						46
46	46	46	46a	397/2	4.5	2	9/8	9/8	0						47
47	47	47	47a	203	4.5	2	9/8	9/8	0				line		48
48	48	48	48a	415/2	4.5	2	9/8	9/8	0						49
49	49	49	49a	212	4.5	2	9/8	9/8	0						50
50	50	50	50a	433/2	4.5	2	9/8	9/8	0						51
51	51	51	51a	221	4.5	2	9/8	9/8	0				line		52
52	52	52	52a	451/2	4.5	2	9/8	9/8	0						53
53	53	53	53a	230	4.5	2	9/8	9/8	0						54
54	54	54	54a	469/2	4.5	2	9/8	9/8	0						55
55	55	55	55a	239	4.5	2	9/8	9/8	0				line		56
56	56	56	56a	487/2	4.5	2	9/8	9/8	0						57
57	57	57	57a	248	4.5	2	9/8	9/8	0						58
58	58	58	58a	505/2	4.5	2	9/8	9/8	0				page		59
59	59	59	59a	257	4.5	2	9/8	9/8	0			double			60
60	60	60	60a	523/2	4.5	5	9/8	9/8	0						61
61	61	61	61a	266	4.5	5	9/8	9/8	0				line		62
62	62	62	62a	541/2	4.5	5	9/8	9/8	0						63
63	63	63	63a	275	4.5	5	9/8	9/8	0						64
64	64	64	64a	559/2	4.5	5	9/8	9/8	0				line		65
65	65	65	65a	284	4.5	5	9/8	9/8	0						66
66	66	66	66a	577/2	4.5	5	9/8	9/8	0						67
67	67	67	67a	293	4.5	5	9/8	9/8	0				line		68
68	68	68	68a	595/2	4.5	5	9/8	9/8	0						69
69	69	69	69a	302	4.5	5	9/8	9/8	0						70
70	70	70	70a	613/2	4.5	5	9/8	9/8	0				line		71
71	71	71	71a	311	4.5	5	9/8	9/8	0						72
72	72	72	72a	631/2	4.5	5	9/8	9/8	0						73
73	73	73	73a	320	4.5	5	9/8	9/8	0				line		74
74	74	74	74a	649/2	4.5	5	9/8	9/8	0						75
75	75	75	75a	329	4.5	5	9/8	9/8	0						76
76	76	76	76a	667/2	4.5	5	9/8	9/8	0						77
77	77	77	77a	338	4.5	5	9/8	9/8	0				line		78
78	78	78	78a	685/2	4.5	5	9/8	9/8	0						79
79	79	79	79a	347	4.5	5	9/8	9/8	0			double			80
80	80	80	80a	703/2	4.5	2	9/8	9/8	0						81
81	81	81	81a	356	4.5	2	9/8	9/8	0				line		82
82	82	82	82a	721/2	4.5	2	9/8	9/8	0						83
83	83	83	83a	365	4.5	2	9/8	9/8	0						84
84	84	84	84a	739/2	4.5	2	9/8	9/8	0						85
85	85	85	85a	374	4.5	2	9/8	9/8	0						86
86	86	86	86a	757/2	4.5	2	9/8	9/8	0				line		87
87	87	87	87a	383	4.5	2	9/8	9/8	0						88
88	88	88	88a	775/2	4.5	2	9/8	9/8	0						89
89	89	89	89a	392	4.5	2	9/8	9/8	0						90
90	90	90	90a	793/2	4.5	2	9/8	9/8	0						91
91	91	91	91a	401	4.5	2	9/8	9/8	0				page		92
92	92	92	92a	811/2	4.5	2	9/8	9/8	0						93
93	93	93	93a	410	4.5	2	9/8	9/8	0						94
94	94	94	94a	829/2	4.5	2	9/8	9/8	0						95
95	95	95	95a	419	4.5	2	9/8	9/8	0						96
96	96	96	96a	847/2	4.5	2	9/8	9/8	0				line		97
97	97	97	97a	428	4.5	2	9/8	9/8	0						98
98	98	98	98a	865/2	4.5	2	9/8	9/8	0						99
99	99	99	99a	437	4.5	2	9/8	9/8	0				line		100
100	100	100	100a	883/2	4.5	2	9/8	9/8	0						101
101	101	101	101a	446	4.5	2	9/8	9/8	0						102
102	102	102	102a	901/2	4.5	2	9/8	9/8	0				line		103
103	103	103	103a	455	4.5	2	9/8	9/8	0						104
104	104	104	104a	919/2	4.5	2	9/8	9/8	0						105
105	105	105	105a	464	4.5	2	9/8	9/8	0				line		106
106	106	106	106a	937/2	4.5	2	9/8	9/8	0						107
107	107	107	107a	473	4.5	2	9/8	9/8	0						108
108	108	108	108a	955/2	4.5	2	9/8	9/8	0				line		109
109	109	109	109a	482	4.5	2	9/8	9/8	0						110
110	110	110	110a	973/2	4.5	2	9/8	9/8	0						111
111	111	111	111a	491	4.5	2	9/8	9/8	0				line		112
112	112	112	112a	991/2	4.5	2	9/8	9/8	0						113
113	113	113	113a	500	4.5	2	9/8	9/8	0						114
114	114	114	114a	1009/2	4.5	2	9/8	9/8	0				line		115
115	115	115	115a	509	4.5	2	9/8	9/8	0						116
116	116	116	116a	1027/2	4.5	2	9/8	9/8	0						117
117	117	117	117a	518	4.5	2	9/8	9/8	0				line		118
118	118	118	118a	1045/2	4.5	2	9/8	9/8	0						119
119	119	119	119a	527	4.5	2	9/8	9/8	0						120
120	120	120	120a	1063/2	4.5	2	9/8	9/8	0				page		121
121	121	121	121a	536	4.5	2	9/8	9/8	0			double			122
122	122	122	122a	1081/2	4.5	5	9/8	9/8	0						123
123	123	123	123a	545	4.5	5	9/8	9/8	0				line		124
124	124	124	124a	1099/2	4.5	5	9/8	9/8	0						125
125	125	125	125a	554	4.5	5	9/8	9/8	0						126
126	126	126	126a	1117/2	4.5	5	9/8	9/8	0				line		127
127	127	127	127a	563	4.5	5	9/8	9/8	0						128
128	128	128	128a	1135/2	4.5	5	9/8	9/8	0						129
129	129	129	129a	572	4.5	5	9/8	9/8	0				line		130
130	130	130	130a	1153/2	4.5	5	9/8	9/8	0						131
131	131	131	131a	581	4.5	5	9/8	9/8	0						132
132	132	132	132a	1171/2	4.5	5	9/8	9/8	0				line		133
133	133	133	133a	590	4.5	5	9/8	9/8	0						134
134	134	134	134a	1189/2	4.5	5	9/8	9/8	0						135
135	135	135	135a	599	4.5	5	9/8	9/8	0				line		136
136	136	136	136a	1207/2	4.5	5	9/8	9/8	0						137
137	137	137	137a	608	4.5	5	9/8	9/8	0						138
138	138	138	138a	1225/2	4.5	5	9/8	9/8	0				line		139
139	139	139	139a	617	4.5	5	9/8	9/8	0						140
140	140	140	140a	1243/2	4.5	5	9/8	9/8	0			double			141
141	141	141	141a	626	4.5	2	9/8	9/8	0						142
142	142	142	142a	1261/2	4.5	2	9/8	9/8	0				line		143
143	143	143	143a	635	4.5	2	9/8	9/8	0						144
144	144	144	144a	1279/2	4.5	2	9/8	9/8	0						145
145	145	145	145a	644	4.5	2	9/8	9/8	0						146
146	146	146	146a	1297/2	4.5	2	9/8	9/8	0				line		147
147	147	147	147a	653	4.5	2	9/8	9/8	0						148
148	148	148	148a	1315/2	4.5	2	9/8	9/8	0						149
149	149	149	149a	662	4.5	2	9/8	9/8	0						150
150	150	150	150a	1333/2	4.5	2	9/8	9/8	0				page		151
151	151	151	151a	671	4.5	2	9/8	9/8	0						152
152	152	152	152a	1351/2	4.5	2	9/8	9/8	0						153
153	153	153	153a	680	4.5	2	9/8	9/8	0						154
154	154	154	154a	1369/2	4.5	2	9/8	9/8	0				line		155
155	155	155	155a	689	4.5	2	9/8	9/8	0						156
156	156	156	156a	1387/2	4.5	2	9/8	9/8	0						157
157	157	157	157a	698	4.5	2	9/8	9/8	0						158
158	158	158	158a	1405/2	4.5	2	9/8	9/8	0				line		159
159	159	159	159a	707	4.5	2	9/8	9/8	0						160
160	160	160	160a	1423/2	4.5	2	9/8	9/8	0						161
161	161	161	161a	716	4.5	2	9/8	9/8	0						162
162	162	162	162a	1441/2	4.5	2	9/8	9/8	0				line		163
163	163	163	163a	725	4.5	2	9/8	9/8	0						164
164	164	164	164a	1459/2	4.5	2	9/8	9/8	0						165
165	165	165	165a	734	4.5	2	9/8	9/8	0				line		166
166	166	166	166a	1477/2	4.5	2	9/8	9/8	0						167
167	167	167	167a	743	4.5	2	9/8	9/8	0						168
168	168	168	168a	1495/2	4.5	2	9/8	9/8	0						169
169	169	169	169a	752	4.5	2	9/8	9/8	0				line		170
170	170	170	170a	1513/2	4.5	2	9/8	9/8	0						171
171	171	171	171a	761	4.5	2	9/8	9/8	0						172
172	172	172	172a	1531/2	4.5	2	9/8	9/8	0						173
173	173	173	173a	770	4.5	2	9/8	9/8	0				line		174
174	174	174	174a	1549/2	4.5	2	9/8	9/8	0						175
175	175	175	175a	779	4.5	2	9/8	9/8	0						176
176	176	176	176a	1567/2	4.5	2	9/8	9/8	0				line		177
177	177	177	177a	788	4.5	2	9/8	9/8	0						178
178	178	178	178a	1585/2	4.5	2	9/8	9/8	0						179
179	179	179	179a	797	4.5	2	9/8	9/8	0				line		180
180	180	180	180a	1603/2	4.5	2	9/8	9/8	0						181
181	181	181	181a	806	4.5	2	9/8	9/8	0						182
182	182	182	182a	1621/2	4.5	2	9/8	9/8	0				page		183
183	183	183	183a	815	4.5	2	9/8	9/8	0						184
184	184	184	184a	1639/2	4.5	2	9/8	9/8	0						185
185	185	185	185a	824	4.5	2	9/8	9/8	0						186
186	186	186	186a	1657/2	4.5	2	9/8	9/8	0				line		187
187	187	187	187a	833	4.5	2	9/8	9/8	0						188
188	188	188	188a	1675/2	4.5	2	9/8	9/8	0						189
189	189	189	189a	842	4.5	2	9/8	9/8	0						190
190	190	190	190a	1693/2	4.5	2	9/8	9/8	0				line		191
191	191	191	191a	851	4.5	2	9/8	9/8	0						192
192	192	192	192a	1711/2	4.5	2	9/8	9/8	0						193
193	193	193	193a	860	4.5	2	9/8	9/8	0						194
194	194	194	194a	1729/2	4.5	2	9/8	9/8	0						195
195	195	195	195a	869	4.5	2	9/8	9/8	0				line		196
196	196	196	196a	1747/2	4.5	2	9/8	9/8	0						197
197	197	197	197a	878	4.5	2	9/8	9/8	0						198
198	198	198	198a	1765/2	4.5	2	9/8	9/8	0						199
