start;measure
0.533333333;0.888
1.002666666;1
2.887104166;2
4.782104166;3
6.725291666;4
8.730104166;5
10.824;6
12.69;7
14.631;8
16.481;9
18.413;10
20.345;11
22.305;12
24.21;13
26.168;14
28.166;15
30.083;16
32.076;17
34.035;18
35.991;19
37.938;20
39.987;21
41.952;22
43.989;23
45.971;24
47.914;25
49.886;26
51.837;27
53.847;28
55.81;29
57.838;30
59.827;31
61.804;32
63.832;33
65.833;34
67.842;35
69.801;36
71.821;37
73.849;38
75.77;39
77.687;40
79.763;41
81.686;42
83.61;43
85.631;44
87.606;45
89.592;46
91.662;47
93.613;48
95.611;49
97.517;50
99.61;51
101.54;52
103.62;53
105.7;54
107.7;55
109.72;56
111.7;57
113.78;58
115.9;59
118.02;60
119.99;61
121.98;62
124.05;63
126.09;64
128.16;65
130.15;66
132.24;67
134.3;68
136.35;69
138.32;70
140.4;71
142.44;72
144.48;73
146.5;74
148.57;75
150.6;76
152.64;77
154.5;78
156.35;79
158.4;80
160.27;81
162.28;82
164.26;83
166.19;84
168.1;85
170.09;86
172.12;87
174.11;88
176.12;89
178.19;90
180.26;91
182.21;92
184.2;93
186.24;94
188.23;95
190.2;96
192.18;97
194.26;98
196.23;99
198.38;100
200.22;101
202.07;102
204.16;103
206.1;104
208.01;105
209.91;106
211.87;107
213.89;108
215.88;109
217.77;110
219.75;111
221.69;112
223.66;113
225.68;114
227.57;115
229.42;116
231.34;117
233.48;118
235.45;119
237.34;120
239.34;121
241.33;122
243.39;123
245.5;124
247.84;125
250.11;126
252.27;127
254.56;128
256.61;129
258.75;130
260.86;131
263.06;132
265.21;133
267.4;134
269.47;135
271.67;136
273.78;137
275.9;138
277.96;139
280.29;140
282.36;141
284.47;142
286.53;143
288.6;144
290.61;145
292.82;146
294.82;147
296.97;148
299.08;149
301.11;150
303.14;151
305.21;152
307.15;153
309.32;154
311.42;155
313.514666666;156
315.45;157
317.23;158
319.29;159
321.19;160
323.2;161
325.15;162
327.1;163
329.22;164
331.23;165
333.1;166
335.07;167
337.2;168
339.07;169
341.08;170
343.14;171
345.06;172
347.08;173
349.08;174
351.02;175
353.01;176
354.86;177
356.85;178
358.88;179
360.78;180
362.95;181
365.056;182
367.16;183
369.12;184
371.2;185
373.27;186
374.954666666;187
376.95;188
378.82;189
380.87;190
382.74;191
384.67;192
386.58;193
388.55;194
390.54;195
392.51;196
394.49;197
396.53;198
398.42;199
400.34;200
402.36;201
404.41;202
406.39;203
408.32;204
410.18;205
412.09;206
413.93;207
415.96;208
418.07;209
420.02;210
421.99;211
424.04;212
426.14;213
428.15;214
430.16;215
432.23;216
433.8;217
435.27;218
436.75;219
438.25;220
439.72;221
441.21;222
442.7;223
444.13;224
445.59;225
447.04;226
448.6;227
450.09;228
451.53;229
452.94;230
454.55;231
455.96;232
457.35;233
458.87;234
460.31;235
461.58;236
462.96;237
464.3;238
465.68;239
467.09;240
468.49;241
469.91;242
471.03;243
472.65;244
474.08;245
475.61;246
476.89;247
478.4;248
479.74;249
481.08;250
482.53;251
484.12;252
485.84;253
487.74;254
489.82;255
491.77;256
493.68;257
495.57;258
497.34;259
499.1;260
500.88;261
502.66;262
504.65;263
506.66;264
508.629333333;265
510.656;266
512.490666666;267
513.92;268
515.45;269
516.93;270
518.54;271
520.01;272
521.98;273
523.81;274
525.46;275
527.2;276
528.9;277
530.51;278
532.47;279
534.29;280
535.94;281
537.63;282
539.29;283
540.93;284
542.64;285
544.23;286
546.05;287
547.76;288
549.55;289
551.41;290
553.25;291
555.08;292
556.93;293
558.49;294
560.52;295
562.16;296
563.87;297
565.504;298
567.23;299
568.81;300
570.5;301
572.33;302
574.07;303
575.63;304
577.36;305
579.08;306
580.67;307
582.84;308
585.05;309
587.02;310
588.95;311
590.95;312
592.88;313
594.85;314
596.69;315
598.6;316
600.57;317
602.57;318
605.098666666;319
607.35;320
609.23;321
611.46;322
613.44;323
615.850666666;324
618.25;325
620.41;326
622.63;327
624.76;328
627.04;329
629.7;330
632;331
634.11;332
636.16;333
638.19;334
640.16;335
642.29;336
644.2;337
646.208;338
648.149333333;339
650.08;340
651.93;341
653.93;342
655.78;343
657.51;344
659.17;345
660.94;346
662.83;347
664.54;348
666.31;349
668.12;350
669.99;351
671.97;352
673.81;353
676.05;354
678.2;355
680.13;356
682.18;357
684.23;358
686.24;359
688.24;360
690.33;361
692.42;362
694.64;363
696.54;364
698.66;365
701.03;366
703.38;367
705.41;368
707.38;369
709.64;370
711.81;371
714.09;372
716.27;373
718.65;374
721.77;375
724.41;376
727.15;377
729.59;378
733.14;379
735.76;380
738.81;381
742.94;382
746.66;383
750.04;384
754.282666666;385
757.74;386
761.002666666;387
765.376;388
768.87;389
772.1;390
775.26;391
778.25;392
781.37;393
784.55;394
787.43;395
790.73;396
793.61;397
795.93;398
798.19;399
800.57;400
803.13;401
805.6;402
808.46;403
811.23;404
814.67;405
818.12;406
821.21;407
824.36;408
828.58;409
830.8;410
833.05;411
835.02;412
837.1;413
839.13;414
841.08;415
843.11;416
845.09;417
847.05;418
848.97;419
850.97;420
852.87;421
854.9;422
856.93;423
858.68;424
860.63;425
862.77;426
864.57;427
866.49;428
868.35;429
870.24;430
872.12;431
873.96;432
875.95;433
877.88;434
879.78;435
881.81;436
884.43;437
886.78;438
888.58;439
890.47;440
892.63;441
895.02;442
